name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,25344,140922,OPTIMAL,50,0.319084,1.73392,2.05301,78.94531
GEOM100a.col,100,992,91,48194,311841,OPTIMAL,66,1.1796,248.264,249.443,112.70312
GEOM100b.col,100,1050,121,54312,353390,OPTIMAL,71,3.06572,214.445,217.511,120.48828
GEOM110.col,110,638,64,29080,163619,OPTIMAL,50,0.322855,1.86911,2.19197,82.07422
GEOM110a.col,110,1207,109,58850,392372,OPTIMAL,69,2.40063,159.762,162.162,126.25391
GEOM110b.col,110,1256,121,67504,451683,OPTIMAL,77,3.15575,1173.77,1176.92,147.32422
GEOM120.col,120,773,73,39944,232085,OPTIMAL,59,0.44767,5.01437,5.46204,91.67969
GEOM120a.col,120,1434,109,85144,566036,OPTIMAL,82,2.12387,2019.34,2021.46,161.33984
GEOM120b.col,120,1491,123,85400,577696,SATISFIABLE,83,3.71537,3596.3,3600.02,184.51953
GEOM20.col,20,20,24,1152,3743,OPTIMAL,21,0.00308208,0.0192736,0.0223557,45.82812
GEOM20a.col,20,37,24,1279,4762,OPTIMAL,20,0.00574805,0.0271988,0.0329468,45.82031
GEOM20b.col,20,32,16,664,2294,OPTIMAL,13,0.00174744,0.0169069,0.0186543,45.98438
GEOM30.col,30,50,33,2710,10394,OPTIMAL,28,0.0121305,0.0415561,0.0536867,45.43359
GEOM30a.col,30,81,32,2806,12318,OPTIMAL,27,0.00935104,0.045364,0.054715,45.39453
GEOM30b.col,30,81,27,2864,12261,OPTIMAL,26,0.00451894,0.0174858,0.0220048,45.39453
GEOM40.col,40,78,33,3759,14875,OPTIMAL,28,0.014907,0.0505883,0.0654953,45.30859
GEOM40a.col,40,146,50,6056,29442,OPTIMAL,37,0.0522324,0.166198,0.21843,58.14453
GEOM40b.col,40,157,40,5776,28122,OPTIMAL,33,0.0309283,0.104935,0.135864,62.23828
GEOM50.col,50,127,36,5135,21737,OPTIMAL,28,0.027099,0.0869948,0.114094,53.69531
GEOM50a.col,50,238,61,11188,61470,OPTIMAL,50,0.100603,0.943823,1.04443,67.47266
GEOM50b.col,50,249,54,8802,45395,OPTIMAL,35,0.127238,0.350161,0.477399,56.36328
GEOM60.col,60,185,36,7604,35168,OPTIMAL,33,0.0191318,0.0540567,0.0731885,45.18359
GEOM60a.col,60,339,61,14542,83734,OPTIMAL,50,0.128604,0.910036,1.03864,70.66797
GEOM60b.col,60,366,63,13282,74185,OPTIMAL,41,0.242294,1.35603,1.59832,70.78906
GEOM70.col,70,267,44,11604,56550,OPTIMAL,38,0.0536383,0.136298,0.189937,55.94141
GEOM70a.col,70,459,72,23234,139247,OPTIMAL,61,0.206551,3.07502,3.28158,77.93359
GEOM70b.col,70,488,76,19720,112838,OPTIMAL,47,0.491629,4.55236,5.04399,77.41406
GEOM80.col,80,349,54,14882,76863,OPTIMAL,41,0.145179,0.356006,0.501185,66.875
GEOM80a.col,80,612,79,31370,191462,OPTIMAL,63,0.402728,7.34432,7.74705,87.25391
GEOM80b.col,80,663,98,30928,190822,OPTIMAL,60,1.0746,10.9888,12.0634,90.65625
GEOM90.col,90,441,54,20954,109307,OPTIMAL,46,0.124371,0.477809,0.60218,72.64453
GEOM90a.col,90,789,80,39012,242933,OPTIMAL,63,0.545909,16.5065,17.0524,93.27734
GEOM90b.col,90,860,109,43688,281349,OPTIMAL,69,1.77783,97.4325,99.2104,106.98438
c21_1_d1.col,21,105,8,231,948,OPTIMAL,7,0.000508525,0.0112036,0.0117121,45.74219
c21_1_d2.col,21,105,8,231,948,OPTIMAL,7,0.000487887,0.00988518,0.0103731,45.39453
c21_2_d1.col,21,105,11,315,1918,OPTIMAL,9,0.00145906,0.013682,0.015141,45.82031
c21_2_d2.col,21,105,11,315,1918,OPTIMAL,9,0.00164307,0.0149198,0.0165629,45.98438
c21_3_d1.col,21,105,8,231,948,OPTIMAL,7,0.000435971,0.011054,0.01149,45.43359
c21_3_d2.col,21,105,8,231,948,OPTIMAL,7,0.000477391,0.010634,0.0111114,45.82031
c21_4_d1.col,21,105,11,315,1918,OPTIMAL,9,0.00144836,0.0130918,0.0145402,45.94531
c21_4_d2.col,21,105,11,315,1918,OPTIMAL,9,0.00145491,0.0147424,0.0161973,45.43359
c21_5_d1.col,21,105,8,231,948,OPTIMAL,7,0.000387708,0.0118499,0.0122376,45.45312
c21_5_d2.col,21,105,8,231,948,OPTIMAL,7,0.000321595,0.0104467,0.0107683,45.88281
c21_6_d1.col,21,105,11,315,1918,OPTIMAL,9,0.00147621,0.013312,0.0147882,45.43359
c21_6_d2.col,21,105,11,315,1918,OPTIMAL,9,0.000960508,0.0130727,0.0140332,45.88281
c21_7_d1.col,21,105,8,231,948,OPTIMAL,7,0.000478432,0.010329,0.0108074,45.49609
c21_7_d2.col,21,105,8,231,948,OPTIMAL,7,0.00048863,0.0104777,0.0109663,45.26953
c21_8_d1.col,21,105,11,315,1918,OPTIMAL,9,0.00141647,0.0131703,0.0145868,45.39453
c21_8_d2.col,21,105,11,315,1918,OPTIMAL,9,0.00147607,0.013651,0.0151271,45.45703
c55_1_d1.col,55,362,8,605,3000,OPTIMAL,7,0.00112074,0.0177726,0.0188933,45.94531
c55_2_d2.col,55,362,8,605,3000,OPTIMAL,7,0.00108285,0.0181337,0.0192165,45.40234
