name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,38389,207222,OPTIMAL,50,0.0627505,0.913388,0.976139,98.00391
GEOM100a.col,100,992,91,80217,494282,OPTIMAL,66,0.130821,154.773,154.904,176.21875
GEOM100b.col,100,1050,121,114137,707359,OPTIMAL,71,0.178445,153.923,154.101,197.36328
GEOM110.col,110,638,64,43808,239404,OPTIMAL,50,0.0677949,0.957453,1.02525,104.33203
GEOM110a.col,110,1207,109,114236,719635,OPTIMAL,69,0.200952,126.657,126.858,198.92969
GEOM110b.col,110,1256,121,133698,837544,OPTIMAL,77,0.243881,728.079,728.323,223.15234
GEOM120.col,120,773,73,58712,328158,OPTIMAL,59,0.0847377,2.75023,2.83497,121.45703
GEOM120a.col,120,1434,109,131945,843762,OPTIMAL,82,0.242836,518.964,519.207,228.98828
GEOM120b.col,120,1491,123,156562,998547,SATISFIABLE,83,0.261526,3599.74,3600.0,333.80078
GEOM20.col,20,20,24,1234,4258,OPTIMAL,21,0.001707,0.00176581,0.00347282,45.40625
GEOM20a.col,20,37,24,1544,6227,OPTIMAL,20,0.00242703,0.00276121,0.00518824,45.89062
GEOM20b.col,20,32,16,979,3644,OPTIMAL,13,0.000902302,0.000826898,0.0017292,45.39453
GEOM30.col,30,50,33,2995,12269,OPTIMAL,28,0.00342271,0.00468792,0.00811063,45.33203
GEOM30a.col,30,81,32,3759,16923,OPTIMAL,27,0.0042612,0.00433326,0.00859446,45.40234
GEOM30b.col,30,81,27,3422,14693,OPTIMAL,26,0.00441072,0.00205794,0.00646867,45.76562
GEOM40.col,40,78,33,4311,18148,OPTIMAL,28,0.00458723,0.00563144,0.0102187,45.33203
GEOM40a.col,40,146,50,9411,46784,OPTIMAL,37,0.0125405,0.0362958,0.0488363,45.89062
GEOM40b.col,40,157,40,8059,39292,OPTIMAL,33,0.0104193,0.0267519,0.0371712,45.76562
GEOM50.col,50,127,36,6815,30387,OPTIMAL,28,0.0122281,0.0130089,0.025237,45.33984
GEOM50a.col,50,238,61,16201,86603,OPTIMAL,50,0.0232287,0.555415,0.578644,71.22656
GEOM50b.col,50,249,54,16196,83303,OPTIMAL,35,0.0226708,0.182814,0.205485,66.375
GEOM60.col,60,185,36,9287,42734,OPTIMAL,33,0.0161076,0.0107062,0.0268139,45.33203
GEOM60a.col,60,339,61,21525,119078,OPTIMAL,50,0.0321148,0.608574,0.640689,79.19531
GEOM60b.col,60,366,63,25787,139061,OPTIMAL,41,0.0356639,0.8235,0.859164,80.58203
GEOM70.col,70,267,44,14782,72971,OPTIMAL,38,0.01843,0.0530376,0.0714675,45.76562
GEOM70a.col,70,459,72,33511,189862,OPTIMAL,61,0.0516584,4.56918,4.62084,92.22656
GEOM70b.col,70,488,76,38264,216891,OPTIMAL,47,0.05602,2.6743,2.73032,93.80078
GEOM80.col,80,349,54,22527,115458,OPTIMAL,41,0.0355462,0.120006,0.155552,71.26953
GEOM80a.col,80,612,79,45201,268795,OPTIMAL,63,0.0778139,8.75644,8.83425,114.13281
GEOM80b.col,80,663,98,64065,374818,OPTIMAL,60,0.101175,6.02383,6.125,122.62109
GEOM90.col,90,441,54,27881,144291,OPTIMAL,46,0.0390751,0.202406,0.241481,79.09375
GEOM90a.col,90,789,80,58925,352121,OPTIMAL,63,0.0938127,10.5916,10.6854,124.06641
GEOM90b.col,90,860,109,86915,526288,OPTIMAL,69,0.147578,52.8713,53.0189,161.41016
c21_1_d1.col,21,105,8,315,1323,OPTIMAL,7,0.000679112,0.00461025,0.00528936,45.33594
c21_1_d2.col,21,105,8,315,1323,OPTIMAL,7,0.000692464,0.00503083,0.00572329,45.40234
c21_2_d1.col,21,105,11,561,3420,OPTIMAL,9,0.00116957,0.003207,0.00437657,45.33984
c21_2_d2.col,21,105,11,561,3420,OPTIMAL,9,0.000935459,0.00292215,0.00385761,45.33203
c21_3_d1.col,21,105,8,315,1323,OPTIMAL,7,0.000676177,0.00443161,0.00510779,45.33203
c21_3_d2.col,21,105,8,315,1323,OPTIMAL,7,0.000692643,0.00456772,0.00526036,45.76562
c21_4_d1.col,21,105,11,561,3420,OPTIMAL,9,0.000925428,0.00290044,0.00382587,45.82812
c21_4_d2.col,21,105,11,561,3420,OPTIMAL,9,0.00133343,0.00436252,0.00569595,45.33203
c21_5_d1.col,21,105,8,315,1323,OPTIMAL,7,0.00068613,0.00522568,0.00591181,45.40234
c21_5_d2.col,21,105,8,315,1323,OPTIMAL,7,0.000683682,0.0056577,0.00634138,45.89062
c21_6_d1.col,21,105,11,561,3420,OPTIMAL,9,0.00135427,0.00421819,0.00557246,45.33203
c21_6_d2.col,21,105,11,561,3420,OPTIMAL,9,0.000885213,0.00285428,0.00373949,45.76562
c21_7_d1.col,21,105,8,315,1323,OPTIMAL,7,0.000696859,0.00463413,0.00533099,45.38281
c21_7_d2.col,21,105,8,315,1323,OPTIMAL,7,0.000673501,0.00444906,0.00512256,44.58984
c21_8_d1.col,21,105,11,561,3420,OPTIMAL,9,0.00138144,0.00405549,0.00543693,45.70312
c21_8_d2.col,21,105,11,561,3420,OPTIMAL,9,0.000922153,0.00291208,0.00383424,45.70312
c55_1_d1.col,55,362,8,825,4161,OPTIMAL,7,0.00230947,0.0063018,0.00861127,46.01562
c55_2_d2.col,55,362,8,825,4161,OPTIMAL,7,0.00208821,0.00454146,0.00662967,45.83203
