name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,32933,185430,OPTIMAL,50,0.050582,0.747383,0.797965,92.17578
GEOM100a.col,100,992,91,67189,442216,OPTIMAL,66,0.112565,109.76,109.873,151.81641
GEOM100b.col,100,1050,121,92339,620228,OPTIMAL,71,0.173049,165.888,166.061,168.94531
GEOM110.col,110,638,64,37856,215628,OPTIMAL,50,0.0558398,0.830607,0.886447,100.03516
GEOM110a.col,110,1207,109,95568,645018,OPTIMAL,69,0.175301,173.989,174.165,185.41406
GEOM110b.col,110,1256,121,107170,731493,OPTIMAL,77,0.19599,1161.5,1161.7,224.77344
GEOM120.col,120,773,73,50144,293923,OPTIMAL,59,0.0770688,2.81783,2.8949,114.60156
GEOM120a.col,120,1434,109,110897,759625,OPTIMAL,82,0.205119,891.677,891.882,223.12109
GEOM120b.col,120,1491,123,125602,874769,OPTIMAL,83,0.233759,1498.4,1498.63,265.83203
GEOM20.col,20,20,24,1234,4270,OPTIMAL,21,0.00168737,0.0016245,0.00331187,45.39844
GEOM20a.col,20,37,24,1432,5791,OPTIMAL,20,0.00213256,0.00221836,0.00435092,45.14844
GEOM20b.col,20,32,16,847,3124,OPTIMAL,13,0.00088292,0.000844187,0.00172711,45.82031
GEOM30.col,30,50,33,2947,12094,OPTIMAL,28,0.00423904,0.00431939,0.00855843,45.33203
GEOM30a.col,30,81,32,3297,15091,OPTIMAL,27,0.00538819,0.00623598,0.0116242,45.39844
GEOM30b.col,30,81,27,2950,12819,OPTIMAL,26,0.00322628,0.00198551,0.00521179,45.33594
GEOM40.col,40,78,33,4059,17157,OPTIMAL,28,0.0053916,0.00527264,0.0106642,45.33203
GEOM40a.col,40,146,50,8057,41393,OPTIMAL,37,0.0114492,0.0309341,0.0423833,45.33594
GEOM40b.col,40,157,40,7009,35112,OPTIMAL,33,0.00961995,0.0219858,0.0316058,45.27344
GEOM50.col,50,127,36,6181,27869,OPTIMAL,28,0.0109632,0.0125982,0.0235614,45.76172
GEOM50a.col,50,238,61,13763,76882,OPTIMAL,50,0.0220141,0.494862,0.516876,69.91797
GEOM50b.col,50,249,54,13940,74306,OPTIMAL,35,0.0196968,0.146823,0.16652,65.96094
GEOM60.col,60,185,36,8297,38792,OPTIMAL,33,0.010227,0.00878459,0.0190116,45.26953
GEOM60a.col,60,339,61,17831,104333,OPTIMAL,50,0.0278602,0.571805,0.599665,75.8125
GEOM60b.col,60,366,63,21629,122461,OPTIMAL,41,0.0332421,0.696016,0.729258,76.41016
GEOM70.col,70,267,44,13022,65953,OPTIMAL,38,0.0179299,0.0405759,0.0585057,45.33594
GEOM70a.col,70,459,72,28219,168730,OPTIMAL,61,0.0445692,2.94961,2.99418,90.55469
GEOM70b.col,70,488,76,31566,190137,OPTIMAL,47,0.0579965,2.3815,2.43949,92.10547
GEOM80.col,80,349,54,19767,104445,OPTIMAL,41,0.0356342,0.078285,0.113919,70.3125
GEOM80a.col,80,612,79,38341,241395,OPTIMAL,63,0.0592897,5.71049,5.76978,105.01562
GEOM80b.col,80,663,98,51841,325971,OPTIMAL,60,0.0844311,6.03178,6.11622,115.14453
GEOM90.col,90,441,54,23907,128422,OPTIMAL,46,0.0398789,0.160685,0.200564,72.55078
GEOM90a.col,90,789,80,49495,314441,OPTIMAL,63,0.0949427,10.4265,10.5215,123.11719
GEOM90b.col,90,860,109,70303,459895,OPTIMAL,69,0.123661,56.2652,56.3889,141.64062
c21_1_d1.col,21,105,8,315,1327,OPTIMAL,7,0.000465656,0.00366402,0.00412967,45.33594
c21_1_d2.col,21,105,8,315,1327,OPTIMAL,7,0.000469389,0.003689,0.00415838,45.33594
c21_2_d1.col,21,105,11,441,2946,OPTIMAL,9,0.00103017,0.00255967,0.00358984,45.33594
c21_2_d2.col,21,105,11,441,2946,OPTIMAL,9,0.00102359,0.00258998,0.00361356,45.69531
c21_3_d1.col,21,105,8,315,1327,OPTIMAL,7,0.000500211,0.00314797,0.00364818,45.33203
c21_3_d2.col,21,105,8,315,1327,OPTIMAL,7,0.000468347,0.00364848,0.00411682,45.33594
c21_4_d1.col,21,105,11,441,2946,OPTIMAL,9,0.0010662,0.00196939,0.00303559,45.27344
c21_4_d2.col,21,105,11,441,2946,OPTIMAL,9,0.00111391,0.00186329,0.0029772,45.33203
c21_5_d1.col,21,105,8,315,1327,OPTIMAL,7,0.000466118,0.00361143,0.00407755,45.33594
c21_5_d2.col,21,105,8,315,1327,OPTIMAL,7,0.000495607,0.00364749,0.0041431,45.33594
c21_6_d1.col,21,105,11,441,2946,OPTIMAL,9,0.00106042,0.0025436,0.00360402,44.95703
c21_6_d2.col,21,105,11,441,2946,OPTIMAL,9,0.00101912,0.00263402,0.00365314,45.33594
c21_7_d1.col,21,105,8,315,1327,OPTIMAL,7,0.000341591,0.00278402,0.00312561,45.88281
c21_7_d2.col,21,105,8,315,1327,OPTIMAL,7,0.000485912,0.00374962,0.00423553,45.39844
c21_8_d1.col,21,105,11,441,2946,OPTIMAL,9,0.00104897,0.00191642,0.00296539,45.21094
c21_8_d2.col,21,105,11,441,2946,OPTIMAL,9,0.00102772,0.00250115,0.00352886,45.21094
c55_1_d1.col,55,362,8,825,4165,OPTIMAL,7,0.00130262,0.00603023,0.00733285,45.39844
c55_2_d2.col,55,362,8,825,4165,OPTIMAL,7,0.00132315,0.00601959,0.00734273,45.39844
