name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,28830,154199,OPTIMAL,50,3.40416,0.786273,4.19043,94.32812
GEOM100a.col,100,992,91,56930,345689,OPTIMAL,66,13.6174,130.99,144.608,168.20312
GEOM100b.col,100,1050,121,66678,402170,OPTIMAL,71,35.7786,134.899,170.677,193.39062
GEOM110.col,110,638,64,32892,178226,OPTIMAL,50,3.88376,1.26604,5.1498,105.77344
GEOM110a.col,110,1207,109,70341,437793,OPTIMAL,69,29.5696,214.602,244.172,200.76172
GEOM110b.col,110,1256,121,83691,515633,OPTIMAL,77,38.6892,656.111,694.801,232.96484
GEOM120.col,120,773,73,45891,255042,OPTIMAL,59,5.57947,4.98351,10.563,131.37109
GEOM120a.col,120,1434,109,100673,627665,OPTIMAL,82,26.1567,845.561,871.717,254.66797
GEOM120b.col,120,1491,123,104988,655185,OPTIMAL,83,43.4291,2893.29,2936.72,393.83594
GEOM20.col,20,20,24,1028,3395,OPTIMAL,21,0.0206445,0.00144056,0.0220851,45.42969
GEOM20a.col,20,37,24,1213,4670,OPTIMAL,20,0.0339088,0.00265702,0.0365658,45.85547
GEOM20b.col,20,32,16,708,2510,OPTIMAL,13,0.0142418,0.000966744,0.0152085,45.36328
GEOM30.col,30,50,33,2428,9598,OPTIMAL,28,0.0822997,0.0058937,0.0881934,45.42578
GEOM30a.col,30,81,32,3031,13255,OPTIMAL,27,0.109746,0.00544077,0.115187,55.88281
GEOM30b.col,30,81,27,3110,13315,OPTIMAL,26,0.0412216,0.00200937,0.043231,45.36719
GEOM40.col,40,78,33,3506,14281,OPTIMAL,28,0.125276,0.00779757,0.133074,55.76953
GEOM40a.col,40,146,50,6901,32852,OPTIMAL,37,0.649451,0.0313505,0.680802,59.6875
GEOM40b.col,40,157,40,6384,30534,OPTIMAL,33,0.334516,0.0375884,0.372104,58.875
GEOM50.col,50,127,36,5007,21598,OPTIMAL,28,0.291575,0.0108761,0.302451,58.02344
GEOM50a.col,50,238,61,12886,67800,OPTIMAL,50,1.1253,0.614035,1.73933,73.82031
GEOM50b.col,50,249,54,9898,49674,OPTIMAL,35,1.49006,0.169606,1.65967,65.12891
GEOM60.col,60,185,36,8020,36853,OPTIMAL,33,0.217828,0.0115863,0.229414,59.49219
GEOM60a.col,60,339,61,17126,93338,OPTIMAL,50,1.54391,0.933253,2.47716,82.36328
GEOM60b.col,60,366,63,15734,83625,OPTIMAL,41,2.97812,1.43729,4.41541,81.30859
GEOM70.col,70,267,44,12413,59936,OPTIMAL,38,0.590052,0.058302,0.648354,64.53516
GEOM70a.col,70,459,72,27045,153922,OPTIMAL,61,2.54923,5.72168,8.27091,96.84766
GEOM70b.col,70,488,76,23398,127281,OPTIMAL,47,6.08048,3.08658,9.16707,93.93359
GEOM80.col,80,349,54,16195,81935,OPTIMAL,41,1.70278,0.0864441,1.78922,71.15625
GEOM80a.col,80,612,79,35771,208395,OPTIMAL,63,5.01657,9.23703,14.2536,118.1875
GEOM80b.col,80,663,98,37786,217521,OPTIMAL,60,14.1578,9.2601,23.4179,122.94922
GEOM90.col,90,441,54,23189,118300,OPTIMAL,46,1.50137,0.20524,1.70661,80.30859
GEOM90a.col,90,789,80,45688,268809,OPTIMAL,63,6.87366,11.6082,18.4819,134.48828
GEOM90b.col,90,860,109,53595,320138,OPTIMAL,69,21.5263,57.1261,78.6524,161.23047
c21_1_d1.col,21,105,8,231,945,OPTIMAL,7,0.00744449,0.00365118,0.0110957,45.42969
c21_1_d2.col,21,105,8,231,945,OPTIMAL,7,0.00810973,0.00562529,0.013735,45.36719
c21_2_d1.col,21,105,11,555,2874,OPTIMAL,9,0.0134829,0.00278413,0.016267,45.85547
c21_2_d2.col,21,105,11,555,2874,OPTIMAL,9,0.0129854,0.00258633,0.0155718,45.42578
c21_3_d1.col,21,105,8,231,945,OPTIMAL,7,0.00793476,0.00492022,0.012855,45.91406
c21_3_d2.col,21,105,8,231,945,OPTIMAL,7,0.00614603,0.0036302,0.00977622,45.36719
c21_4_d1.col,21,105,11,555,2874,OPTIMAL,9,0.0126859,0.00288325,0.0155691,45.91797
c21_4_d2.col,21,105,11,555,2874,OPTIMAL,9,0.0125929,0.00268246,0.0152753,45.36328
c21_5_d1.col,21,105,8,231,945,OPTIMAL,7,0.00559226,0.00388097,0.00947323,45.98047
c21_5_d2.col,21,105,8,231,945,OPTIMAL,7,0.00574738,0.00397301,0.00972039,45.91797
c21_6_d1.col,21,105,11,555,2874,OPTIMAL,9,0.0123454,0.00262916,0.0149745,45.36328
c21_6_d2.col,21,105,11,555,2874,OPTIMAL,9,0.0129587,0.0028762,0.0158349,45.91797
c21_7_d1.col,21,105,8,231,945,OPTIMAL,7,0.00630396,0.00375899,0.0100629,45.41016
c21_7_d2.col,21,105,8,231,945,OPTIMAL,7,0.00600676,0.00381538,0.00982214,45.36719
c21_8_d1.col,21,105,11,555,2874,OPTIMAL,9,0.0126685,0.00275795,0.0154265,45.42969
c21_8_d2.col,21,105,11,555,2874,OPTIMAL,9,0.0151213,0.00289703,0.0180184,45.42969
c55_1_d1.col,55,362,8,605,2997,OPTIMAL,7,0.0180879,0.00373145,0.0218193,45.36719
c55_2_d2.col,55,362,8,605,2997,OPTIMAL,7,0.0183658,0.00386216,0.0222279,45.91797
