name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,28830,154199,OPTIMAL,50,0.303701,1.62152,1.92522,79.55859
GEOM100a.col,100,992,91,56930,345689,OPTIMAL,66,1.25063,126.241,127.492,113.08594
GEOM100b.col,100,1050,121,66678,402170,OPTIMAL,71,3.42319,205.823,209.246,125.91016
GEOM110.col,110,638,64,32892,178226,OPTIMAL,50,0.346319,1.67891,2.02523,83.1875
GEOM110a.col,110,1207,109,70341,437793,OPTIMAL,69,2.73644,184.51,187.246,133.41406
GEOM110b.col,110,1256,121,83691,515633,OPTIMAL,77,3.50546,1263.37,1266.88,152.95312
GEOM120.col,120,773,73,45891,255042,OPTIMAL,59,0.489371,3.96504,4.45441,93.76562
GEOM120a.col,120,1434,109,100673,627665,OPTIMAL,82,2.42156,1659.1,1661.52,164.14844
GEOM120b.col,120,1491,123,104988,655185,SATISFIABLE,83,3.90628,3595.28,3599.18,191.77344
GEOM20.col,20,20,24,1028,3395,OPTIMAL,21,0.00362475,0.0184308,0.0220556,45.43359
GEOM20a.col,20,37,24,1213,4670,OPTIMAL,20,0.0042101,0.0247404,0.0289505,45.37109
GEOM20b.col,20,32,16,708,2510,OPTIMAL,13,0.00262721,0.0173285,0.0199557,45.42188
GEOM30.col,30,50,33,2428,9598,OPTIMAL,28,0.00952686,0.037518,0.0470449,45.84766
GEOM30a.col,30,81,32,3031,13255,OPTIMAL,27,0.0109855,0.0477876,0.0587731,45.37109
GEOM30b.col,30,81,27,3110,13315,OPTIMAL,26,0.00442825,0.0182952,0.0227234,45.49609
GEOM40.col,40,78,33,3506,14281,OPTIMAL,28,0.0160597,0.0472696,0.0633294,45.42188
GEOM40a.col,40,146,50,6901,32852,OPTIMAL,37,0.0619269,0.194897,0.256824,54.54688
GEOM40b.col,40,157,40,6384,30534,OPTIMAL,33,0.0316404,0.113482,0.145123,54.16406
GEOM50.col,50,127,36,5007,21598,OPTIMAL,28,0.0346732,0.0892685,0.123942,61.79688
GEOM50a.col,50,238,61,12886,67800,OPTIMAL,50,0.102017,0.846395,0.948412,68.53125
GEOM50b.col,50,249,54,9898,49674,OPTIMAL,35,0.140887,0.486158,0.627045,66.73047
GEOM60.col,60,185,36,8020,36853,OPTIMAL,33,0.0236059,0.056143,0.0797489,45.91016
GEOM60a.col,60,339,61,17126,93338,OPTIMAL,50,0.144231,1.18523,1.32946,71.63672
GEOM60b.col,60,366,63,15734,83625,OPTIMAL,41,0.265398,1.38745,1.65285,72.5625
GEOM70.col,70,267,44,12413,59936,OPTIMAL,38,0.0570405,0.161471,0.218511,66.02344
GEOM70a.col,70,459,72,27045,153922,OPTIMAL,61,0.23684,6.24305,6.47989,80.07422
GEOM70b.col,70,488,76,23398,127281,OPTIMAL,47,0.568407,5.12418,5.69259,79.70703
GEOM80.col,80,349,54,16195,81935,OPTIMAL,41,0.166007,0.383409,0.549416,58.58594
GEOM80a.col,80,612,79,35771,208395,OPTIMAL,63,0.477963,13.0482,13.5262,88.80859
GEOM80b.col,80,663,98,37786,217521,OPTIMAL,60,1.33765,10.9264,12.264,94.59375
GEOM90.col,90,441,54,23189,118300,OPTIMAL,46,0.13668,0.491205,0.627886,73.83203
GEOM90a.col,90,789,80,45688,268809,OPTIMAL,63,0.610464,14.2319,14.8423,95.64062
GEOM90b.col,90,860,109,53595,320138,OPTIMAL,69,2.0408,75.7832,77.824,109.83203
c21_1_d1.col,21,105,8,231,945,OPTIMAL,7,0.00104999,0.0165097,0.0175597,45.91406
c21_1_d2.col,21,105,8,231,945,OPTIMAL,7,0.00109561,0.0154472,0.0165428,45.43359
c21_2_d1.col,21,105,11,555,2874,OPTIMAL,9,0.00229117,0.0166819,0.018973,45.55859
c21_2_d2.col,21,105,11,555,2874,OPTIMAL,9,0.00193612,0.0166621,0.0185982,45.04688
c21_3_d1.col,21,105,8,231,945,OPTIMAL,7,0.00105209,0.0147781,0.0158302,46.03516
c21_3_d2.col,21,105,8,231,945,OPTIMAL,7,0.00107894,0.0155644,0.0166433,45.37109
c21_4_d1.col,21,105,11,555,2874,OPTIMAL,9,0.00226058,0.0160541,0.0183147,45.37109
c21_4_d2.col,21,105,11,555,2874,OPTIMAL,9,0.00145274,0.0158239,0.0172766,45.35938
c21_5_d1.col,21,105,8,231,945,OPTIMAL,7,0.0010617,0.0159613,0.017023,45.30469
c21_5_d2.col,21,105,8,231,945,OPTIMAL,7,0.000650257,0.0141733,0.0148236,45.98438
c21_6_d1.col,21,105,11,555,2874,OPTIMAL,9,0.00172214,0.0165795,0.0183017,45.97266
c21_6_d2.col,21,105,11,555,2874,OPTIMAL,9,0.00164805,0.0162664,0.0179145,45.37109
c21_7_d1.col,21,105,8,231,945,OPTIMAL,7,0.00108534,0.0154776,0.016563,45.78516
c21_7_d2.col,21,105,8,231,945,OPTIMAL,7,0.00111332,0.0143342,0.0154476,45.43359
c21_8_d1.col,21,105,11,555,2874,OPTIMAL,9,0.00177854,0.0163606,0.0181391,45.18359
c21_8_d2.col,21,105,11,555,2874,OPTIMAL,9,0.0022686,0.0162968,0.0185654,45.43359
c55_1_d1.col,55,362,8,605,2997,OPTIMAL,7,0.0024154,0.0200031,0.0224185,45.37109
c55_2_d2.col,55,362,8,605,2997,OPTIMAL,7,0.00259738,0.0206828,0.0232802,45.43359
