name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,24606,137303,OPTIMAL,50,0.279809,1.20946,1.48927,78.26953
GEOM100a.col,100,992,91,47582,308297,OPTIMAL,66,1.18682,235.911,237.098,110.88281
GEOM100b.col,100,1050,121,53824,350754,OPTIMAL,71,3.14362,193.938,197.082,120.53906
GEOM110.col,110,638,64,28278,159770,OPTIMAL,50,0.319895,1.73289,2.05279,82.23047
GEOM110a.col,110,1207,109,58489,390385,OPTIMAL,69,2.48739,153.461,155.948,126.55469
GEOM110b.col,110,1256,121,66927,448577,OPTIMAL,77,3.10699,1243.71,1246.82,153.16016
GEOM120.col,120,773,73,38995,227458,OPTIMAL,59,0.459159,4.34426,4.80342,90.60547
GEOM120a.col,120,1434,109,84605,563393,OPTIMAL,82,2.22279,2264.95,2267.17,163.1875
GEOM120b.col,120,1491,123,84548,573425,SATISFIABLE,83,3.60223,3596.31,3599.91,182.17188
GEOM20.col,20,20,24,1028,3395,OPTIMAL,21,0.00365731,0.0191389,0.0227962,45.46484
GEOM20a.col,20,37,24,1125,4318,OPTIMAL,20,0.0042346,0.0247761,0.0290107,45.89062
GEOM20b.col,20,32,16,602,2086,OPTIMAL,13,0.00243348,0.0177316,0.020165,45.92969
GEOM30.col,30,50,33,2388,9438,OPTIMAL,28,0.0111765,0.0389735,0.05015,45.92969
GEOM30a.col,30,81,32,2653,11743,OPTIMAL,27,0.010515,0.0420878,0.0526028,46.01562
GEOM30b.col,30,81,27,2682,11603,OPTIMAL,26,0.00439683,0.0171569,0.0215537,45.40234
GEOM40.col,40,78,33,3294,13433,OPTIMAL,28,0.0134977,0.0428646,0.0563622,45.44141
GEOM40a.col,40,146,50,5887,28796,OPTIMAL,37,0.0562293,0.220915,0.277145,62.77344
GEOM40b.col,40,157,40,5532,27126,OPTIMAL,33,0.032674,0.11213,0.144804,62.41406
GEOM50.col,50,127,36,4523,19662,OPTIMAL,28,0.0289737,0.08273,0.111704,61.60156
GEOM50a.col,50,238,61,10948,60048,OPTIMAL,50,0.0941406,0.889002,0.983143,68.02344
GEOM50b.col,50,249,54,8474,43978,OPTIMAL,35,0.124635,0.409775,0.53441,66.04688
GEOM60.col,60,185,36,7148,33365,OPTIMAL,33,0.0247257,0.0548155,0.0795411,45.99219
GEOM60a.col,60,339,61,14192,81602,OPTIMAL,50,0.133546,1.16815,1.3017,70.68359
GEOM60b.col,60,366,63,13110,73129,OPTIMAL,41,0.243461,1.81018,2.05364,71.21484
GEOM70.col,70,267,44,10979,54200,OPTIMAL,38,0.0536386,0.148039,0.201677,55.84375
GEOM70a.col,70,459,72,22669,136418,OPTIMAL,61,0.215426,6.5972,6.81262,78.72656
GEOM70b.col,70,488,76,19366,111153,OPTIMAL,47,0.522977,4.51524,5.03822,77.47656
GEOM80.col,80,349,54,14171,73839,OPTIMAL,41,0.151911,0.357534,0.509444,68.30078
GEOM80a.col,80,612,79,30333,186643,OPTIMAL,63,0.433711,11.0617,11.4954,86.44531
GEOM80b.col,80,663,98,30410,188017,OPTIMAL,60,1.17328,10.2701,11.4434,90.48438
GEOM90.col,90,441,54,19859,104980,OPTIMAL,46,0.130634,0.409015,0.539649,71.96094
GEOM90a.col,90,789,80,38326,239361,OPTIMAL,63,0.548293,15.0296,15.5779,93.08594
GEOM90b.col,90,860,109,43055,277978,OPTIMAL,69,1.8068,96.0582,97.865,105.60156
c21_1_d1.col,21,105,8,231,945,OPTIMAL,7,0.000493632,0.0184142,0.0189079,45.58594
c21_1_d2.col,21,105,8,231,945,OPTIMAL,7,0.000466291,0.0148603,0.0153266,45.40234
c21_2_d1.col,21,105,11,315,1914,OPTIMAL,9,0.00150971,0.0138215,0.0153312,45.76562
c21_2_d2.col,21,105,11,315,1914,OPTIMAL,9,0.00153897,0.0155113,0.0170502,45.99219
c21_3_d1.col,21,105,8,231,945,OPTIMAL,7,0.000343406,0.0141312,0.0144746,45.99219
c21_3_d2.col,21,105,8,231,945,OPTIMAL,7,0.000471718,0.0145146,0.0149863,45.76562
c21_4_d1.col,21,105,11,315,1914,OPTIMAL,9,0.00145422,0.0140916,0.0155458,45.40234
c21_4_d2.col,21,105,11,315,1914,OPTIMAL,9,0.00147212,0.0142619,0.0157341,45.37891
c21_5_d1.col,21,105,8,231,945,OPTIMAL,7,0.000486681,0.0142536,0.0147402,45.46094
c21_5_d2.col,21,105,8,231,945,OPTIMAL,7,0.000391709,0.0174756,0.0178673,45.89062
c21_6_d1.col,21,105,11,315,1914,OPTIMAL,9,0.00133837,0.0138296,0.015168,45.44141
c21_6_d2.col,21,105,11,315,1914,OPTIMAL,9,0.00144595,0.0142971,0.0157431,45.33984
c21_7_d1.col,21,105,8,231,945,OPTIMAL,7,0.000429408,0.0162727,0.0167021,45.69141
c21_7_d2.col,21,105,8,231,945,OPTIMAL,7,0.000467448,0.0150158,0.0154832,45.40234
c21_8_d1.col,21,105,11,315,1914,OPTIMAL,9,0.00151066,0.0137437,0.0152544,45.95312
c21_8_d2.col,21,105,11,315,1914,OPTIMAL,9,0.00115647,0.0146234,0.0157798,45.46484
c55_1_d1.col,55,362,8,605,2997,OPTIMAL,7,0.00114429,0.0208922,0.0220365,45.89062
c55_2_d2.col,55,362,8,605,2997,OPTIMAL,7,0.00120464,0.02069,0.0218946,45.46484
