name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,24606,137328,OPTIMAL,50,3.03488,0.869315,3.90419,93.84375
GEOM100a.col,100,992,91,47582,308330,OPTIMAL,66,12.0429,118.788,130.83,149.55469
GEOM100b.col,100,1050,121,53824,350789,OPTIMAL,71,30.5324,153.805,184.337,169.98047
GEOM110.col,110,638,64,28278,159795,OPTIMAL,50,3.47295,1.05566,4.52861,100.81641
GEOM110a.col,110,1207,109,58489,390419,OPTIMAL,69,26.1639,152.228,178.392,176.41797
GEOM110b.col,110,1256,121,66927,448615,OPTIMAL,77,33.3977,730.968,764.365,216.69141
GEOM120.col,120,773,73,38995,227487,OPTIMAL,59,4.98608,3.97772,8.9638,119.19141
GEOM120a.col,120,1434,109,84605,563434,OPTIMAL,82,23.119,1085.99,1109.11,221.10547
GEOM120b.col,120,1491,123,84548,573466,OPTIMAL,83,37.0706,1631.21,1668.29,263.05859
GEOM20.col,20,20,24,1028,3405,OPTIMAL,21,0.0197984,0.00134099,0.0211394,45.42969
GEOM20a.col,20,37,24,1125,4328,OPTIMAL,20,0.0300584,0.00194103,0.0319995,46.04297
GEOM20b.col,20,32,16,602,2092,OPTIMAL,13,0.0135792,0.00108603,0.0146652,46.03906
GEOM30.col,30,50,33,2388,9452,OPTIMAL,28,0.0832069,0.00611726,0.0893241,45.48828
GEOM30a.col,30,81,32,2653,11756,OPTIMAL,27,0.0965938,0.00531611,0.10191,55.05469
GEOM30b.col,30,81,27,2682,11616,OPTIMAL,26,0.0384357,0.00232276,0.0407584,45.91797
GEOM40.col,40,78,33,3294,13447,OPTIMAL,28,0.118935,0.00692839,0.125863,55.28906
GEOM40a.col,40,146,50,5887,28814,OPTIMAL,37,0.566939,0.0280548,0.594994,59.18359
GEOM40b.col,40,157,40,5532,27142,OPTIMAL,33,0.297518,0.0329321,0.330451,57.87109
GEOM50.col,50,127,36,4523,19676,OPTIMAL,28,0.264247,0.010553,0.2748,57.48438
GEOM50a.col,50,238,61,10948,60073,OPTIMAL,50,0.996123,0.588596,1.58472,70.64844
GEOM50b.col,50,249,54,8474,43995,OPTIMAL,35,1.3313,0.143949,1.47525,63.99219
GEOM60.col,60,185,36,7148,33381,OPTIMAL,33,0.199668,0.011799,0.211467,58.93359
GEOM60a.col,60,339,61,14192,81627,OPTIMAL,50,1.35525,1.17294,2.52819,78.44531
GEOM60b.col,60,366,63,13110,73149,OPTIMAL,41,2.53794,1.60652,4.14447,74.94141
GEOM70.col,70,267,44,10979,54219,OPTIMAL,38,0.539745,0.0519899,0.591735,63.28516
GEOM70a.col,70,459,72,22669,136448,OPTIMAL,61,2.25875,3.57208,5.83083,90.96875
GEOM70b.col,70,488,76,19366,111176,OPTIMAL,47,5.26849,4.90167,10.1702,89.63672
GEOM80.col,80,349,54,14171,73859,OPTIMAL,41,1.52642,0.0754869,1.60191,69.48828
GEOM80a.col,80,612,79,30333,186674,OPTIMAL,63,4.44628,6.47261,10.9189,106.21875
GEOM80b.col,80,663,98,30410,188047,OPTIMAL,60,12.0872,8.12089,20.2081,112.31641
GEOM90.col,90,441,54,19859,105003,OPTIMAL,46,1.35285,0.190518,1.54337,76.58984
GEOM90a.col,90,789,80,38326,239392,OPTIMAL,63,6.084,10.5181,16.6021,123.57812
GEOM90b.col,90,860,109,43055,278012,OPTIMAL,69,18.5245,76.5512,95.0756,134.88281
c21_1_d1.col,21,105,8,231,948,OPTIMAL,7,0.00253536,0.00209274,0.0046281,45.36719
c21_1_d2.col,21,105,8,231,948,OPTIMAL,7,0.00302442,0.00217583,0.00520025,45.85547
c21_2_d1.col,21,105,11,315,1918,OPTIMAL,9,0.00741415,0.00143085,0.008845,45.36719
c21_2_d2.col,21,105,11,315,1918,OPTIMAL,9,0.00797002,0.00140357,0.00937359,45.72656
c21_3_d1.col,21,105,8,231,948,OPTIMAL,7,0.00323438,0.00283196,0.00606634,45.42578
c21_3_d2.col,21,105,8,231,948,OPTIMAL,7,0.00326747,0.00287254,0.00614001,45.42969
c21_4_d1.col,21,105,11,315,1918,OPTIMAL,9,0.00777147,0.00159498,0.00936645,45.42969
c21_4_d2.col,21,105,11,315,1918,OPTIMAL,9,0.0106497,0.00202369,0.0126734,45.55078
c21_5_d1.col,21,105,8,231,948,OPTIMAL,7,0.0025497,0.00206086,0.00461056,45.55469
c21_5_d2.col,21,105,8,231,948,OPTIMAL,7,0.00251276,0.0019955,0.00450826,45.36719
c21_6_d1.col,21,105,11,315,1918,OPTIMAL,9,0.00757686,0.00123623,0.0088131,45.78906
c21_6_d2.col,21,105,11,315,1918,OPTIMAL,9,0.00811624,0.00150905,0.00962529,45.67969
c21_7_d1.col,21,105,8,231,948,OPTIMAL,7,0.00263729,0.0021597,0.00479698,45.72266
c21_7_d2.col,21,105,8,231,948,OPTIMAL,7,0.00249471,0.00228972,0.00478443,45.42969
c21_8_d1.col,21,105,11,315,1918,OPTIMAL,9,0.00756147,0.00150945,0.00907091,45.85547
c21_8_d2.col,21,105,11,315,1918,OPTIMAL,9,0.0103557,0.00181994,0.0121756,45.36719
c55_1_d1.col,55,362,8,605,3000,OPTIMAL,7,0.00708518,0.00453504,0.0116202,45.85547
c55_2_d2.col,55,362,8,605,3000,OPTIMAL,7,0.00708069,0.00465937,0.0117401,45.67969
