name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,24606,137328,OPTIMAL,50,0.276589,1.47868,1.75526,79.08984
GEOM100a.col,100,992,91,47582,308330,OPTIMAL,66,1.12664,158.793,159.92,110.875
GEOM100b.col,100,1050,121,53824,350789,OPTIMAL,71,2.90473,206.479,209.383,121.77734
GEOM110.col,110,638,64,28278,159795,OPTIMAL,50,0.316002,2.00167,2.31767,82.60547
GEOM110a.col,110,1207,109,58489,390419,OPTIMAL,69,2.47106,203.695,206.166,127.125
GEOM110b.col,110,1256,121,66927,448615,OPTIMAL,77,3.08532,1177.72,1180.8,147.05078
GEOM120.col,120,773,73,38995,227487,OPTIMAL,59,0.441096,3.8437,4.2848,91.03516
GEOM120a.col,120,1434,109,84605,563434,OPTIMAL,82,2.19117,1668.39,1670.58,161.80469
GEOM120b.col,120,1491,123,84548,573466,SATISFIABLE,83,3.47694,3595.78,3599.26,188.83203
GEOM20.col,20,20,24,1028,3405,OPTIMAL,21,0.00359107,0.0180473,0.0216383,45.96875
GEOM20a.col,20,37,24,1125,4328,OPTIMAL,20,0.00529853,0.0244473,0.0297458,45.40234
GEOM20b.col,20,32,16,602,2092,OPTIMAL,13,0.00236254,0.0166617,0.0190242,45.58203
GEOM30.col,30,50,33,2388,9452,OPTIMAL,28,0.00975629,0.0363388,0.0460951,45.64453
GEOM30a.col,30,81,32,2653,11756,OPTIMAL,27,0.0122273,0.0428839,0.0551112,45.46484
GEOM30b.col,30,81,27,2682,11616,OPTIMAL,26,0.0048949,0.0176147,0.0225096,45.46484
GEOM40.col,40,78,33,3294,13447,OPTIMAL,28,0.0140853,0.0432128,0.0572981,45.64453
GEOM40a.col,40,146,50,5887,28814,OPTIMAL,37,0.0555817,0.173698,0.229279,62.83984
GEOM40b.col,40,157,40,5532,27142,OPTIMAL,33,0.0319158,0.103965,0.135881,53.9375
GEOM50.col,50,127,36,4523,19676,OPTIMAL,28,0.0277172,0.083051,0.110768,57.36328
GEOM50a.col,50,238,61,10948,60073,OPTIMAL,50,0.0958986,0.959828,1.05573,67.75391
GEOM50b.col,50,249,54,8474,43995,OPTIMAL,35,0.128899,0.394498,0.523397,65.50781
GEOM60.col,60,185,36,7148,33381,OPTIMAL,33,0.0196217,0.0516307,0.0712524,45.58203
GEOM60a.col,60,339,61,14192,81627,OPTIMAL,50,0.126312,1.0218,1.14812,70.55859
GEOM60b.col,60,366,63,13110,73149,OPTIMAL,41,0.240886,1.13446,1.37535,70.78125
GEOM70.col,70,267,44,10979,54219,OPTIMAL,38,0.0554617,0.135959,0.19142,55.77344
GEOM70a.col,70,459,72,22669,136448,OPTIMAL,61,0.215168,3.08828,3.30345,77.81641
GEOM70b.col,70,488,76,19366,111176,OPTIMAL,47,0.49969,4.42506,4.92475,77.14844
GEOM80.col,80,349,54,14171,73859,OPTIMAL,41,0.154113,0.354003,0.508116,68.72266
GEOM80a.col,80,612,79,30333,186674,OPTIMAL,63,0.438501,9.07489,9.51339,86.3125
GEOM80b.col,80,663,98,30410,188047,OPTIMAL,60,1.17488,9.83269,11.0076,90.46875
GEOM90.col,90,441,54,19859,105003,OPTIMAL,46,0.123174,0.408766,0.53194,71.97656
GEOM90a.col,90,789,80,38326,239392,OPTIMAL,63,0.54688,15.8608,16.4077,93.31641
GEOM90b.col,90,860,109,43055,278012,OPTIMAL,69,1.78933,98.1117,99.9011,104.99219
c21_1_d1.col,21,105,8,231,948,OPTIMAL,7,0.000589144,0.0103966,0.0109858,45.58594
c21_1_d2.col,21,105,8,231,948,OPTIMAL,7,0.000395673,0.0110931,0.0114888,45.40234
c21_2_d1.col,21,105,11,315,1918,OPTIMAL,9,0.00150739,0.0127713,0.0142787,46.07812
c21_2_d2.col,21,105,11,315,1918,OPTIMAL,9,0.00149459,0.0133848,0.0148794,45.94531
c21_3_d1.col,21,105,8,231,948,OPTIMAL,7,0.00048144,0.010966,0.0114474,45.75781
c21_3_d2.col,21,105,8,231,948,OPTIMAL,7,0.000472838,0.011098,0.0115708,45.65234
c21_4_d1.col,21,105,11,315,1918,OPTIMAL,9,0.00110631,0.0134432,0.0145496,45.40234
c21_4_d2.col,21,105,11,315,1918,OPTIMAL,9,0.00159796,0.0135695,0.0151674,45.39453
c21_5_d1.col,21,105,8,231,948,OPTIMAL,7,0.000334059,0.010412,0.010746,45.82422
c21_5_d2.col,21,105,8,231,948,OPTIMAL,7,0.00055163,0.0106089,0.0111605,45.89062
c21_6_d1.col,21,105,11,315,1918,OPTIMAL,9,0.00148339,0.0134096,0.014893,45.82031
c21_6_d2.col,21,105,11,315,1918,OPTIMAL,9,0.00146512,0.0134533,0.0149184,45.40234
c21_7_d1.col,21,105,8,231,948,OPTIMAL,7,0.000327691,0.0107899,0.0111176,45.80859
c21_7_d2.col,21,105,8,231,948,OPTIMAL,7,0.000482604,0.0102872,0.0107698,45.89062
c21_8_d1.col,21,105,11,315,1918,OPTIMAL,9,0.00149431,0.0131496,0.0146439,45.33984
c21_8_d2.col,21,105,11,315,1918,OPTIMAL,9,0.00149095,0.0128572,0.0143481,45.40234
c55_1_d1.col,55,362,8,605,3000,OPTIMAL,7,0.00140849,0.0171836,0.0185921,45.95312
c55_2_d2.col,55,362,8,605,3000,OPTIMAL,7,0.00127887,0.0189028,0.0201816,46.03125
