name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,restarts,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,restored,minishrunken,decisions,lucky,subsumed,minimized,vivified,strengthened,weakened,fixed,reduced,substituted,chronological,rephased,reactivated,stabilizing,eliminated,shrunken,walked
GEOM100b.col,100,1050,121,12100,144251,OPTIMAL,71,0.0429969,70.5164,70.5594,108.31641,104817.0,6093.0,0.0,848.0,367086000.0,2005500.0,2036340.0,76469800.0,412.0,18575400.0,3865000.0,817.0,149434.0,0.0,611.0,209475.0,897.0,140315.0,1437240.0,3.0,287169.0,146.0,38.0,93.0,79.0,21046800.0,13.0
c21_7_d1.col,21,105,8,168,1051,OPTIMAL,7,0.000444781,0.00202568,0.00247046,46.0,13.0,46.0,0.0,,3148.0,240.0,267.0,1130.0,,6.0,366.0,5.0,41.0,0.0,,45.0,,164.0,,,49.0,,,,,161.0,
GEOM100a.col,100,992,91,9100,101973,OPTIMAL,66,0.0288807,152.836,152.865,136.04297,153361.0,7704.0,0.0,2205.0,789360000.0,3338790.0,3386660.0,140983000.0,339.0,33182600.0,5529290.0,,316209.0,0.0,1701.0,368043.0,885.0,39994.0,2457760.0,86.0,415158.0,153.0,15.0,77.0,48.0,37209600.0,24.0
c21_2_d2.col,21,105,11,231,1450,OPTIMAL,9,0.00062342,0.00276706,0.00339048,46.07422,,3.0,0.0,,5468.0,194.0,198.0,1545.0,,136.0,216.0,7.0,38.0,0.0,,3.0,,311.0,,,24.0,,,,,283.0,
GEOM120.col,120,773,73,8760,66990,OPTIMAL,59,0.0192236,1.21271,1.23193,69.38672,3312.0,360.0,0.0,28.0,7485720.0,62381.0,64086.0,1506120.0,64.0,325683.0,143127.0,81.0,6803.0,0.0,36.0,10169.0,332.0,17083.0,21079.0,11.0,12068.0,17.0,5.0,11.0,22.0,485764.0,
GEOM60b.col,60,366,63,3780,28219,OPTIMAL,41,0.00730555,0.536234,0.54354,59.59375,1310.0,297.0,0.0,115.0,6287900.0,56551.0,58333.0,1383790.0,31.0,340149.0,107139.0,195.0,3720.0,0.0,24.0,4883.0,174.0,18758.0,18389.0,,13928.0,19.0,4.0,17.0,20.0,299014.0,
GEOM20b.col,20,32,16,320,913,OPTIMAL,13,0.000410225,0.00105405,0.00146427,45.89844,,0.0,0.0,,586.0,6.0,7.0,9.0,,0.0,10.0,14.0,,0.0,,,,358.0,,,2.0,,,,,0.0,
GEOM30.col,30,50,33,990,2821,OPTIMAL,28,0.00134979,0.00277558,0.00412536,45.34766,5.0,1.0,0.0,,33796.0,214.0,231.0,2009.0,,210.0,1281.0,,24.0,0.0,,1.0,,1051.0,,,52.0,,,,,763.0,
c21_6_d1.col,21,105,11,231,1450,OPTIMAL,9,0.000640035,0.00276242,0.00340245,45.89844,,3.0,0.0,,5468.0,194.0,198.0,1545.0,,136.0,216.0,7.0,38.0,0.0,,3.0,,311.0,,,24.0,,,,,283.0,
c21_4_d2.col,21,105,11,231,1450,OPTIMAL,9,0.000518055,0.00216866,0.00268671,45.96094,,3.0,0.0,,5468.0,194.0,198.0,1545.0,,136.0,216.0,7.0,38.0,0.0,,3.0,,311.0,,,24.0,,,,,283.0,
GEOM40.col,40,78,33,1320,4135,OPTIMAL,28,0.0012527,0.00318172,0.00443441,45.66016,,1.0,0.0,,43295.0,192.0,207.0,1763.0,,134.0,1582.0,,29.0,0.0,,1.0,,1329.0,,,70.0,,,,,678.0,
c21_3_d1.col,21,105,8,168,1051,OPTIMAL,7,0.000260485,0.00128643,0.00154691,45.53516,13.0,46.0,0.0,,3148.0,240.0,267.0,1130.0,,6.0,366.0,5.0,41.0,0.0,,45.0,,164.0,,,49.0,,,,,161.0,
GEOM60.col,60,185,36,2160,9061,OPTIMAL,33,0.0043259,0.00449955,0.00882545,45.91016,,1.0,0.0,,34847.0,307.0,336.0,3375.0,,188.0,1098.0,5.0,37.0,0.0,,1.0,,1138.0,,,110.0,,,,,1584.0,
GEOM70b.col,70,488,76,5320,44509,OPTIMAL,47,0.01436,1.1617,1.17606,63.64453,3478.0,409.0,0.0,105.0,11314600.0,77788.0,80683.0,1876250.0,74.0,417314.0,193031.0,220.0,5539.0,0.0,28.0,7654.0,550.0,35623.0,29880.0,1.0,20078.0,22.0,8.0,20.0,51.0,489117.0,
