name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,restarts,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,restored,minishrunken,decisions,lucky,weakened,subsumed,minimized,strengthened,vivified,fixed,reduced,substituted,chronological,rephased,reactivated,stabilizing,eliminated,shrunken,walked
GEOM100b.col,100,1050,121,12100,144250,OPTIMAL,71,0.0447067,60.0496,60.0943,107.87109,78195.0,5004.0,0.0,824.0,263916000.0,1487180.0,1511550.0,53639500.0,319.0,12211100.0,4079960.0,817.0,872.0,127079.0,0.0,196218.0,601.0,138268.0,1013130.0,22.0,221682.0,114.0,30.0,74.0,81.0,15557600.0,11.0
c21_7_d1.col,21,105,8,168,1050,OPTIMAL,7,0.000452446,0.00241087,0.00286331,45.77734,10.0,98.0,0.0,,5480.0,340.0,395.0,1643.0,,19.0,538.0,3.0,,57.0,0.0,95.0,,152.0,,,84.0,,,,,146.0,
GEOM100a.col,100,992,91,9100,101972,OPTIMAL,66,0.0304958,185.092,185.123,137.6875,186093.0,8825.0,0.0,3080.0,931722000.0,3979260.0,4037470.0,171627000.0,482.0,40793900.0,7367420.0,,1068.0,345684.0,0.0,385162.0,1674.0,38844.0,3013940.0,94.0,504011.0,181.0,23.0,97.0,40.0,45156700.0,25.0
c21_2_d2.col,21,105,11,231,1449,OPTIMAL,9,0.000638952,0.0032168,0.00385576,45.96875,,5.0,0.0,,11684.0,366.0,376.0,3829.0,,406.0,567.0,4.0,,82.0,0.0,5.0,,257.0,,,66.0,,,,,643.0,
GEOM120.col,120,773,73,8760,66989,OPTIMAL,59,0.0242496,1.28016,1.30441,69.97656,3707.0,492.0,0.0,57.0,8122290.0,72479.0,74755.0,1627560.0,64.0,346534.0,309290.0,81.0,340.0,7580.0,0.0,8172.0,24.0,16726.0,24875.0,14.0,13652.0,19.0,5.0,13.0,23.0,482682.0,
GEOM60b.col,60,366,63,3780,28218,OPTIMAL,41,0.00834911,0.399307,0.407656,59.29297,983.0,173.0,0.0,24.0,4333310.0,39072.0,40690.0,1015900.0,27.0,253203.0,118677.0,209.0,196.0,2760.0,0.0,4671.0,12.0,18222.0,13394.0,1.0,9055.0,12.0,3.0,12.0,22.0,241371.0,
GEOM20b.col,20,32,16,320,912,OPTIMAL,13,0.000427261,0.00109842,0.00152568,45.38281,,3.0,0.0,,542.0,5.0,8.0,9.0,,0.0,37.0,14.0,,,0.0,3.0,,328.0,,,5.0,,,,,0.0,
GEOM30.col,30,50,33,990,2820,OPTIMAL,28,0.00128156,0.00299631,0.00427788,45.26172,,4.0,0.0,,23860.0,278.0,328.0,2920.0,,255.0,7936.0,15.0,,36.0,0.0,4.0,,915.0,,,60.0,,,,,1205.0,
c21_6_d1.col,21,105,11,231,1449,OPTIMAL,9,0.00063027,0.00316967,0.00379994,45.44922,,5.0,0.0,,11684.0,366.0,376.0,3829.0,,406.0,567.0,4.0,,82.0,0.0,5.0,,257.0,,,66.0,,,,,643.0,
c21_4_d2.col,21,105,11,231,1449,OPTIMAL,9,0.000645924,0.003928,0.00457392,45.51172,,5.0,0.0,,11684.0,366.0,376.0,3829.0,,406.0,567.0,4.0,,82.0,0.0,5.0,,257.0,,,66.0,,,,,643.0,
