name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,restarts,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,restored,minishrunken,decisions,lucky,weakened,subsumed,minimized,strengthened,vivified,fixed,reduced,substituted,chronological,rephased,reactivated,stabilizing,eliminated,shrunken,walked
GEOM100b.col,100,1050,121,12100,144251,OPTIMAL,71,0.0431878,65.5836,65.6267,110.13281,97525.0,5997.0,0.0,1207.0,327973000.0,1809140.0,1839620.0,68260300.0,412.0,16482800.0,4718270.0,817.0,936.0,142032.0,0.0,215358.0,701.0,140268.0,1283730.0,14.0,262624.0,131.0,38.0,80.0,77.0,18686700.0,13.0
c21_7_d1.col,21,105,8,168,1051,OPTIMAL,7,0.000445344,0.00280445,0.00324979,45.82812,35.0,72.0,0.0,,5436.0,395.0,433.0,2115.0,,19.0,587.0,5.0,,67.0,0.0,70.0,,182.0,,,83.0,,,,,370.0,
GEOM100a.col,100,992,91,9100,101973,OPTIMAL,66,0.0293487,103.908,103.938,123.22266,150841.0,7515.0,0.0,4068.0,557715000.0,2691130.0,2737510.0,98667900.0,359.0,21898900.0,6004560.0,,773.0,157105.0,0.0,331700.0,1418.0,39264.0,1967750.0,10.0,426841.0,163.0,18.0,93.0,39.0,23703900.0,19.0
c21_2_d2.col,21,105,11,231,1450,OPTIMAL,9,0.000423688,0.00187298,0.00229667,45.97266,,4.0,0.0,,6037.0,202.0,205.0,1795.0,,110.0,248.0,7.0,,56.0,0.0,4.0,,314.0,,,14.0,,,,,425.0,
GEOM120.col,120,773,73,8760,66990,OPTIMAL,59,0.0236072,1.28749,1.3111,69.66016,4536.0,482.0,0.0,44.0,8707130.0,72651.0,74641.0,1514920.0,64.0,308814.0,308959.0,81.0,310.0,6875.0,0.0,9877.0,65.0,17273.0,24303.0,,14220.0,20.0,5.0,18.0,22.0,423421.0,
GEOM60b.col,60,366,63,3780,28219,OPTIMAL,41,0.00872449,0.871832,0.880556,59.51172,2877.0,384.0,0.0,116.0,9102160.0,79280.0,81749.0,2010910.0,31.0,495005.0,170001.0,220.0,206.0,5570.0,0.0,14198.0,36.0,18635.0,32773.0,8.0,17078.0,20.0,4.0,14.0,24.0,447198.0,
GEOM20b.col,20,32,16,320,913,OPTIMAL,13,0.000251106,0.000922298,0.0011734,45.55078,,3.0,0.0,,564.0,5.0,8.0,9.0,,0.0,37.0,14.0,,,0.0,3.0,,353.0,,,5.0,,,,,0.0,
GEOM30.col,30,50,33,990,2821,OPTIMAL,28,0.000849726,0.00269883,0.00354856,46.10156,,4.0,0.0,,23745.0,278.0,328.0,2920.0,,255.0,7730.0,15.0,,36.0,0.0,4.0,,1006.0,,,60.0,,,,,1205.0,
c21_6_d1.col,21,105,11,231,1450,OPTIMAL,9,0.000626213,0.00171595,0.00234216,46.03906,,4.0,0.0,,6037.0,202.0,205.0,1795.0,,110.0,248.0,7.0,,56.0,0.0,4.0,,314.0,,,14.0,,,,,425.0,
c21_4_d2.col,21,105,11,231,1450,OPTIMAL,9,0.000610511,0.00199218,0.00260269,45.48828,,4.0,0.0,,6037.0,202.0,205.0,1795.0,,110.0,248.0,7.0,,56.0,0.0,4.0,,314.0,,,14.0,,,,,425.0,
