name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,restarts,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,minishrunken,decisions,lucky,weakened,subsumed,minimized,strengthened,vivified,fixed,reduced,substituted,chronological,rephased,stabilizing,eliminated,shrunken,walked
GEOM100b.col,100,1050,121,7000,80500,OPTIMAL,71,1.55006,87.5222,89.0723,103.76172,80630.0,4656.0,0.0,264.0,261672000.0,1434080.0,1456560.0,51659000.0,12021100.0,2705440.0,19.0,704.0,141783.0,0.0,178044.0,651.0,6090.0,956034.0,23.0,194814.0,105.0,28.0,64.0,15365700.0,24.0
c21_7_d1.col,21,105,8,126,756,OPTIMAL,7,0.00112679,0.00321,0.00433679,45.44922,32.0,98.0,0.0,,5844.0,414.0,458.0,2218.0,17.0,688.0,1.0,,77.0,0.0,96.0,,90.0,,,70.0,,,,316.0,
GEOM100a.col,100,992,91,6500,70980,OPTIMAL,66,0.612979,218.39,219.003,126.54688,122355.0,5865.0,0.0,1055.0,594431000.0,2576220.0,2613240.0,106012000.0,25168200.0,4255300.0,,608.0,251019.0,0.0,266890.0,1359.0,3439.0,1855790.0,92.0,312363.0,138.0,25.0,32.0,28795400.0,37.0
c21_2_d2.col,21,105,11,168,1008,OPTIMAL,9,0.0016709,0.00313973,0.00481063,45.47266,,12.0,0.0,,10224.0,331.0,342.0,3276.0,194.0,423.0,1.0,,88.0,0.0,12.0,,149.0,,,48.0,,,,710.0,
GEOM120.col,120,773,73,6960,51794,OPTIMAL,59,0.252101,1.58559,1.83769,69.4375,1816.0,449.0,0.0,19.0,6343670.0,55239.0,56900.0,1361490.0,308433.0,148668.0,6.0,284.0,6093.0,0.0,9855.0,24.0,2474.0,19694.0,1.0,9426.0,14.0,8.0,21.0,414623.0,1.0
GEOM60b.col,60,366,63,2400,17040,OPTIMAL,41,0.132055,0.487026,0.619081,59.04688,287.0,229.0,0.0,15.0,2581630.0,26229.0,27291.0,619316.0,143170.0,52827.0,11.0,150.0,2143.0,0.0,2753.0,8.0,1793.0,7220.0,1.0,5908.0,10.0,6.0,16.0,145826.0,
GEOM20b.col,20,32,16,240,624,OPTIMAL,13,0.0016227,0.00109457,0.00271728,45.48047,,3.0,0.0,,342.0,5.0,8.0,9.0,0.0,37.0,4.0,,,0.0,3.0,,128.0,,,5.0,,,,0.0,
GEOM30.col,30,50,33,810,2160,OPTIMAL,28,0.0065918,0.00465914,0.0112509,44.98438,,26.0,0.0,,13437.0,125.0,155.0,1839.0,139.0,4033.0,,,18.0,0.0,26.0,,326.0,,,28.0,,,,389.0,
c21_6_d1.col,21,105,11,168,1008,OPTIMAL,9,0.00199904,0.00445588,0.00645492,45.42188,,12.0,0.0,,10224.0,331.0,342.0,3276.0,194.0,423.0,1.0,,88.0,0.0,12.0,,149.0,,,48.0,,,,710.0,
c21_4_d2.col,21,105,11,168,1008,OPTIMAL,9,0.00197533,0.00429088,0.00626621,45.48438,,12.0,0.0,,10224.0,331.0,342.0,3276.0,194.0,423.0,1.0,,88.0,0.0,12.0,,149.0,,,48.0,,,,710.0,
GEOM40.col,40,78,33,1080,3186,OPTIMAL,28,0.0100359,0.00501506,0.015051,44.10547,,27.0,0.0,,16309.0,145.0,175.0,2227.0,146.0,5124.0,,,17.0,0.0,27.0,,396.0,,,32.0,,,,391.0,
c21_3_d1.col,21,105,8,126,756,OPTIMAL,7,0.00108078,0.00285751,0.00393829,45.23438,32.0,98.0,0.0,,5844.0,414.0,458.0,2218.0,17.0,688.0,1.0,,77.0,0.0,96.0,,90.0,,,70.0,,,,316.0,
GEOM60.col,60,185,36,1920,7840,OPTIMAL,33,0.0108411,0.00513463,0.0159758,45.17188,2.0,21.0,0.0,,22146.0,257.0,285.0,4246.0,241.0,4390.0,1.0,,41.0,0.0,21.0,,433.0,,,41.0,,,,863.0,
GEOM70b.col,70,488,76,3220,25668,OPTIMAL,47,0.264922,1.19917,1.46409,62.75391,1193.0,411.0,0.0,49.0,6273110.0,49015.0,50729.0,1312380.0,315283.0,125265.0,8.0,491.0,4496.0,0.0,7513.0,25.0,2726.0,14886.0,,9873.0,15.0,6.0,48.0,356120.0,1.0
c21_1_d1.col,21,105,8,126,756,OPTIMAL,7,0.0010723,0.00282978,0.00390208,45.42969,32.0,98.0,0.0,,5844.0,414.0,458.0,2218.0,17.0,688.0,1.0,,77.0,0.0,96.0,,90.0,,,70.0,,,,316.0,
GEOM120b.col,120,1491,123,9840,132102,OPTIMAL,83,1.89117,2161.68,2163.57,246.0,559213.0,30491.0,0.0,1298.0,2315310000.0,11401100.0,11548000.0,549452000.0,122605000.0,19777800.0,6.0,463.0,1095160.0,0.0,747232.0,4477.0,5576.0,9101090.0,40.0,1392850.0,270.0,37.0,46.0,168998000.0,78.0
c21_5_d1.col,21,105,8,126,756,OPTIMAL,7,0.00105712,0.00290666,0.00396378,45.01172,32.0,98.0,0.0,,5844.0,414.0,458.0,2218.0,17.0,688.0,1.0,,77.0,0.0,96.0,,90.0,,,70.0,,,,316.0,
GEOM50.col,50,127,36,1350,4779,OPTIMAL,28,0.0149104,0.00668492,0.0215953,45.26172,,58.0,0.0,,28542.0,358.0,420.0,6144.0,477.0,6234.0,3.0,,25.0,0.0,58.0,,638.0,,,75.0,,,,400.0,
GEOM90.col,90,441,54,4050,23895,OPTIMAL,46,0.0674479,0.0509392,0.118387,58.83984,13.0,39.0,0.0,,241942.0,3449.0,3606.0,54305.0,10509.0,23401.0,3.0,,324.0,0.0,39.0,,1178.0,181.0,,793.0,1.0,1.0,,14735.0,
GEOM80.col,80,349,54,3200,17160,OPTIMAL,41,0.076775,0.0367323,0.113507,56.86328,9.0,74.0,0.0,,156917.0,2111.0,2264.0,34750.0,4567.0,22503.0,7.0,,231.0,0.0,74.0,,1452.0,48.0,,514.0,1.0,1.0,,10791.0,
