name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,restarts,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,minishrunken,decisions,lucky,weakened,subsumed,minimized,strengthened,vivified,fixed,reduced,substituted,chronological,rephased,stabilizing,eliminated,shrunken,walked
GEOM100b.col,100,1050,121,7000,80501,OPTIMAL,71,1.57158,94.2458,95.8174,103.1875,85774.0,5399.0,0.0,332.0,267584000.0,1498260.0,1522960.0,53257600.0,12615100.0,2833600.0,19.0,906.0,143830.0,0.0,212909.0,713.0,8231.0,1004590.0,24.0,215273.0,114.0,32.0,81.0,15378600.0,27.0
c21_7_d1.col,21,105,8,126,757,OPTIMAL,7,0.00104441,0.00235751,0.00340192,45.76953,12.0,62.0,0.0,,4048.0,314.0,343.0,1636.0,18.0,418.0,2.0,,64.0,0.0,62.0,,99.0,,,51.0,,,,315.0,
GEOM100a.col,100,992,91,6500,70981,OPTIMAL,66,0.627975,233.468,234.096,127.82812,135408.0,6371.0,0.0,784.0,601550000.0,2637590.0,2677280.0,106378000.0,24124500.0,4467240.0,,552.0,257357.0,0.0,257523.0,1508.0,4433.0,1870890.0,40.0,331411.0,140.0,28.0,41.0,29894700.0,35.0
c21_2_d2.col,21,105,11,168,1009,OPTIMAL,9,0.00156148,0.00213851,0.00369999,45.67969,,9.0,0.0,,5827.0,210.0,224.0,1863.0,110.0,245.0,2.0,,46.0,0.0,9.0,,153.0,,,26.0,,,,296.0,
GEOM120.col,120,773,73,6960,51795,OPTIMAL,59,0.249992,1.43689,1.68688,69.13281,2272.0,424.0,0.0,20.0,5895120.0,52924.0,54447.0,1219350.0,275657.0,139751.0,6.0,194.0,5404.0,0.0,7714.0,26.0,2720.0,17760.0,,9575.0,15.0,9.0,15.0,359192.0,1.0
GEOM60b.col,60,366,63,2400,17041,OPTIMAL,41,0.130629,0.668829,0.799457,59.34766,445.0,233.0,0.0,45.0,3425910.0,35172.0,36260.0,878985.0,209861.0,64100.0,10.0,160.0,2964.0,0.0,5050.0,9.0,2315.0,10418.0,4.0,7038.0,10.0,6.0,19.0,214287.0,
GEOM20b.col,20,32,16,240,625,OPTIMAL,13,0.00158715,0.00105536,0.00264251,45.44141,,3.0,0.0,,368.0,5.0,8.0,9.0,0.0,37.0,4.0,,,0.0,3.0,,159.0,,,5.0,,,,0.0,
GEOM30.col,30,50,33,810,2161,OPTIMAL,28,0.00484172,0.00323937,0.00808109,45.57031,,26.0,0.0,,13437.0,125.0,155.0,1839.0,139.0,3933.0,,,18.0,0.0,26.0,,426.0,,,28.0,,,,389.0,
c21_6_d1.col,21,105,11,168,1009,OPTIMAL,9,0.00173733,0.00220569,0.00394302,45.93359,,9.0,0.0,,5827.0,210.0,224.0,1863.0,110.0,245.0,2.0,,46.0,0.0,9.0,,153.0,,,26.0,,,,296.0,
c21_4_d2.col,21,105,11,168,1009,OPTIMAL,9,0.00168146,0.00221548,0.00389694,45.51172,,9.0,0.0,,5827.0,210.0,224.0,1863.0,110.0,245.0,2.0,,46.0,0.0,9.0,,153.0,,,26.0,,,,296.0,
GEOM40.col,40,78,33,1080,3187,OPTIMAL,28,0.00680128,0.00370699,0.0105083,45.9375,,25.0,0.0,,15784.0,129.0,158.0,1900.0,138.0,5005.0,,,17.0,0.0,25.0,,496.0,,,31.0,,,,389.0,
c21_3_d1.col,21,105,8,126,757,OPTIMAL,7,0.000972494,0.00194995,0.00292244,45.9375,12.0,62.0,0.0,,4048.0,314.0,343.0,1636.0,18.0,418.0,2.0,,64.0,0.0,62.0,,99.0,,,51.0,,,,315.0,
GEOM60.col,60,185,36,1920,7841,OPTIMAL,33,0.0109699,0.00504568,0.0160156,45.57422,1.0,24.0,0.0,,20813.0,244.0,282.0,4311.0,235.0,4253.0,1.0,,40.0,0.0,24.0,,514.0,,,34.0,,,,839.0,
GEOM70b.col,70,488,76,3220,25669,OPTIMAL,47,0.265017,2.31092,2.57594,63.39453,3498.0,397.0,0.0,81.0,11767800.0,86591.0,89013.0,2239480.0,506386.0,166499.0,14.0,535.0,8309.0,0.0,12253.0,55.0,3434.0,36565.0,12.0,16914.0,19.0,8.0,48.0,640081.0,2.0
c21_1_d1.col,21,105,8,126,757,OPTIMAL,7,0.000971494,0.00177071,0.00274221,45.45312,12.0,62.0,0.0,,4048.0,314.0,343.0,1636.0,18.0,418.0,2.0,,64.0,0.0,62.0,,99.0,,,51.0,,,,315.0,
GEOM120b.col,120,1491,123,9840,132103,SATISFIABLE,83,1.90285,3598.1,3600.0,292.80078,822975.0,44457.0,0.0,1246.0,3618010000.0,17169700.0,17382400.0,898707000.0,207468000.0,29174900.0,6.0,401.0,1496060.0,0.0,881391.0,5473.0,7161.0,14297300.0,19.0,1995990.0,332.0,39.0,44.0,275200000.0,96.0
c21_5_d1.col,21,105,8,126,757,OPTIMAL,7,0.00106751,0.00241814,0.00348566,45.64844,12.0,62.0,0.0,,4048.0,314.0,343.0,1636.0,18.0,418.0,2.0,,64.0,0.0,62.0,,99.0,,,51.0,,,,315.0,
