name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,restarts,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,restored,minishrunken,decisions,lucky,subsumed,minimized,vivified,strengthened,weakened,fixed,reduced,substituted,chronological,rephased,reactivated,stabilizing,eliminated,shrunken,walked
GEOM100b.col,100,1050,121,24200,180450,OPTIMAL,71,0.0518715,65.5284,65.5803,126.08203,100765.0,5418.0,0.0,745.0,349583000.0,1708430.0,1737480.0,62196300.0,4965.0,14068100.0,3345000.0,849.0,133421.0,0.0,591.0,187272.0,162079.0,270406.0,1159080.0,1438.0,256537.0,118.0,47.0,72.0,51933.0,17530900.0,11.0
c21_7_d1.col,21,105,8,336,1533,OPTIMAL,7,0.000599259,0.0029034,0.00350266,45.70312,15.0,68.0,0.0,,15026.0,380.0,419.0,1830.0,,26.0,552.0,3.0,71.0,0.0,,67.0,,266.0,,,95.0,,,,,292.0,
GEOM100a.col,100,992,91,18200,129172,OPTIMAL,66,0.0359443,162.701,162.737,149.67969,189534.0,10557.0,0.0,3247.0,957525000.0,4286930.0,4351830.0,170817000.0,7833.0,39309400.0,7419980.0,,272818.0,0.0,2491.0,390806.0,177459.0,72141.0,3296430.0,1837.0,610147.0,198.0,73.0,100.0,56914.0,41087800.0,28.0
c21_2_d2.col,21,105,11,462,2121,OPTIMAL,9,0.000846331,0.00529707,0.0061434,46.08594,,6.0,0.0,,28039.0,459.0,470.0,4137.0,,142.0,596.0,4.0,95.0,0.0,,6.0,,457.0,,,87.0,,,,,844.0,
GEOM120.col,120,773,73,17520,93149,OPTIMAL,59,0.0359118,1.33153,1.36744,77.0625,3899.0,351.0,0.0,42.0,13564500.0,57687.0,59598.0,1332370.0,823.0,270923.0,205189.0,81.0,6215.0,0.0,28.0,7886.0,65757.0,30903.0,17412.0,4.0,12177.0,18.0,311.0,11.0,21633.0,396902.0,
GEOM60b.col,60,366,63,7560,39498,OPTIMAL,41,0.00932965,0.655573,0.664903,62.10547,2421.0,260.0,0.0,54.0,11557900.0,54688.0,56762.0,1343660.0,505.0,303111.0,125567.0,209.0,3433.0,0.0,13.0,7761.0,23171.0,34764.0,17562.0,,13725.0,15.0,119.0,13.0,7610.0,265279.0,
GEOM20b.col,20,32,16,640,1852,OPTIMAL,13,0.000470955,0.000874485,0.00134544,45.97266,,0.0,0.0,,985.0,3.0,4.0,4.0,,0.0,6.0,14.0,,0.0,,,,624.0,,,3.0,,,,,0.0,
GEOM30.col,30,50,33,1980,5760,OPTIMAL,28,0.00179943,0.00395713,0.00575656,45.67188,2.0,0.0,0.0,,71565.0,243.0,265.0,2789.0,,156.0,1395.0,,24.0,0.0,,,,1695.0,,,62.0,,,,,978.0,
c21_6_d1.col,21,105,11,462,2121,OPTIMAL,9,0.000574158,0.00347293,0.00404709,45.48828,,6.0,0.0,,28039.0,459.0,470.0,4137.0,,142.0,596.0,4.0,95.0,0.0,,6.0,,457.0,,,87.0,,,,,844.0,
c21_4_d2.col,21,105,11,462,2121,OPTIMAL,9,0.000534994,0.00363499,0.00416999,45.48828,,6.0,0.0,,28039.0,459.0,470.0,4137.0,,142.0,596.0,4.0,95.0,0.0,,6.0,,457.0,,,87.0,,,,,844.0,
GEOM40.col,40,78,33,2640,8054,OPTIMAL,28,0.00276627,0.00416716,0.00693343,45.36328,2.0,0.0,0.0,,94104.0,248.0,269.0,2837.0,,159.0,1810.0,,24.0,0.0,,,,2185.0,,,72.0,,,,,980.0,
c21_3_d1.col,21,105,8,336,1533,OPTIMAL,7,0.000578166,0.00274022,0.00331839,45.55078,15.0,68.0,0.0,,15026.0,380.0,419.0,1830.0,,26.0,552.0,3.0,71.0,0.0,,67.0,,266.0,,,95.0,,,,,292.0,
GEOM60.col,60,185,36,4320,15480,OPTIMAL,33,0.00466202,0.00513739,0.00979941,45.48828,,4.0,0.0,,67090.0,290.0,313.0,3458.0,,79.0,1165.0,5.0,40.0,0.0,,4.0,,1777.0,,,90.0,,,,,1260.0,
GEOM70b.col,70,488,76,10640,60398,OPTIMAL,47,0.0154398,1.15174,1.16718,67.35156,3033.0,290.0,0.0,77.0,19936800.0,77359.0,80341.0,1947120.0,1211.0,419589.0,201831.0,220.0,5578.0,0.0,26.0,5614.0,42171.0,67453.0,20416.0,,20140.0,20.0,213.0,18.0,13812.0,440141.0,
c21_1_d1.col,21,105,8,336,1533,OPTIMAL,7,0.000599222,0.002803,0.00340222,44.30469,15.0,68.0,0.0,,15026.0,380.0,419.0,1830.0,,26.0,552.0,3.0,71.0,0.0,,67.0,,266.0,,,95.0,,,,,292.0,
