name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,restarts,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,restored,minishrunken,decisions,lucky,subsumed,minimized,vivified,strengthened,weakened,fixed,reduced,substituted,eliminated,chronological,rephased,reactivated,stabilizing,shrunken,walked
GEOM100b.col,100,1050,121,24200,180451,OPTIMAL,71,0.0525995,61.1455,61.1981,115.80859,74518.0,4120.0,0.0,976.0,301869000.0,1394360.0,1419400.0,49139500.0,8812.0,11339700.0,2749260.0,817.0,122638.0,0.0,459.0,171611.0,213410.0,274020.0,912689.0,1843.0,68396.0,212318.0,115.0,62.0,79.0,13984400.0,9.0
c21_7_d1.col,21,105,8,336,1534,OPTIMAL,7,0.000584186,0.00203645,0.00262063,45.87891,2.0,48.0,0.0,,8831.0,260.0,286.0,1139.0,,5.0,323.0,5.0,47.0,0.0,,47.0,,279.0,,,,46.0,,,,186.0,
GEOM100a.col,100,992,91,18200,129173,OPTIMAL,66,0.0449291,69.656,69.7009,114.04688,75858.0,4658.0,0.0,2634.0,355005000.0,1600180.0,1629500.0,56645500.0,8557.0,12498100.0,3009610.0,,118350.0,0.0,653.0,163477.0,199067.0,73936.0,1037420.0,1858.0,63748.0,260567.0,123.0,93.0,87.0,14407500.0,10.0
c21_2_d2.col,21,105,11,462,2122,OPTIMAL,9,0.000822389,0.00209491,0.0029173,45.89844,,7.0,0.0,,12750.0,189.0,197.0,1264.0,,32.0,220.0,7.0,38.0,0.0,,7.0,,468.0,,,,35.0,,,,433.0,
GEOM120.col,120,773,73,17520,93150,OPTIMAL,59,0.0262549,1.43576,1.46202,79.14062,4155.0,414.0,0.0,79.0,14119400.0,64999.0,67145.0,1396680.0,816.0,289320.0,159847.0,81.0,6621.0,0.0,24.0,7051.0,65548.0,32029.0,20926.0,5.0,21560.0,14027.0,16.0,,14.0,392690.0,
GEOM60b.col,60,366,63,7560,39499,OPTIMAL,41,0.01003,0.693505,0.703535,61.47266,2346.0,284.0,0.0,76.0,11083200.0,53018.0,55122.0,1253970.0,457.0,278761.0,124257.0,195.0,3218.0,0.0,10.0,4704.0,23005.0,35823.0,15971.0,3.0,7565.0,13765.0,14.0,114.0,13.0,254636.0,
GEOM20b.col,20,32,16,640,1853,OPTIMAL,13,0.000748662,0.00133024,0.0020789,45.41406,,0.0,0.0,,1141.0,6.0,7.0,9.0,,0.0,10.0,14.0,,0.0,,,,687.0,,,,2.0,,,,0.0,
GEOM30.col,30,50,33,1980,5761,OPTIMAL,28,0.00226208,0.00551285,0.00777493,46.08984,2.0,0.0,0.0,,70883.0,243.0,265.0,2789.0,,156.0,1395.0,,24.0,0.0,,,,1891.0,,,,62.0,,,,978.0,
c21_6_d1.col,21,105,11,462,2122,OPTIMAL,9,0.000852574,0.00299068,0.00384326,45.77734,,7.0,0.0,,12750.0,189.0,197.0,1264.0,,32.0,220.0,7.0,38.0,0.0,,7.0,,468.0,,,,35.0,,,,433.0,
c21_4_d2.col,21,105,11,462,2122,OPTIMAL,9,0.000562999,0.00220885,0.00277185,45.47656,,7.0,0.0,,12750.0,189.0,197.0,1264.0,,32.0,220.0,7.0,38.0,0.0,,7.0,,468.0,,,,35.0,,,,433.0,
