name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,restarts,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,restored,minishrunken,decisions,lucky,subsumed,minimized,vivified,strengthened,weakened,fixed,reduced,substituted,eliminated,chronological,rephased,reactivated,stabilizing,shrunken,walked
GEOM100b.col,100,1050,121,24200,180451,OPTIMAL,71,0.0515278,82.026,82.0775,130.17969,122973.0,6670.0,0.0,997.0,467473000.0,2300820.0,2337230.0,89075800.0,2241.0,21703000.0,4341390.0,817.0,174791.0,0.0,715.0,259153.0,213554.0,271911.0,1670820.0,1865.0,68404.0,331794.0,141.0,49.0,84.0,24479400.0,18.0
c21_7_d1.col,21,105,8,336,1534,OPTIMAL,7,0.000576187,0.00229349,0.00286968,45.94141,2.0,48.0,0.0,,8831.0,260.0,286.0,1139.0,,5.0,323.0,5.0,47.0,0.0,,47.0,,279.0,,,,46.0,,,,186.0,
GEOM100a.col,100,992,91,18200,129173,OPTIMAL,66,0.0386285,200.522,200.56,137.63281,221545.0,10449.0,0.0,3332.0,1184170000.0,4865720.0,4937320.0,199413000.0,2100.0,46631500.0,8279080.0,,388003.0,0.0,2478.0,455424.0,200063.0,72710.0,3665020.0,1915.0,63788.0,638162.0,202.0,893.0,91.0,49409300.0,35.0
c21_2_d2.col,21,105,11,462,2122,OPTIMAL,9,0.000928378,0.00192903,0.00285741,44.35156,,7.0,0.0,,12750.0,189.0,197.0,1264.0,,32.0,220.0,7.0,38.0,0.0,,7.0,,468.0,,,,35.0,,,,433.0,
GEOM120.col,120,773,73,17520,93150,OPTIMAL,59,0.0265013,1.43118,1.45768,79.13672,4155.0,414.0,0.0,79.0,14117900.0,64999.0,67145.0,1396680.0,231.0,289320.0,159847.0,81.0,6621.0,0.0,24.0,7051.0,65548.0,31807.0,20926.0,5.0,21560.0,14027.0,16.0,,14.0,392689.0,
GEOM60b.col,60,366,63,7560,39499,OPTIMAL,41,0.00965812,0.682906,0.692564,62.21875,2312.0,273.0,0.0,63.0,11035000.0,52866.0,54977.0,1253300.0,172.0,280532.0,123697.0,195.0,3354.0,0.0,10.0,4648.0,23008.0,35604.0,15606.0,5.0,7565.0,13644.0,14.0,44.0,13.0,256493.0,
GEOM20b.col,20,32,16,640,1853,OPTIMAL,13,0.000739476,0.00103824,0.00177772,45.49219,,0.0,0.0,,1141.0,6.0,7.0,9.0,,0.0,10.0,14.0,,0.0,,,,687.0,,,,2.0,,,,0.0,
GEOM30.col,30,50,33,1980,5761,OPTIMAL,28,0.00193341,0.00402948,0.00596289,45.42969,2.0,0.0,0.0,,70883.0,243.0,265.0,2789.0,,156.0,1395.0,,24.0,0.0,,,,1891.0,,,,62.0,,,,978.0,
c21_6_d1.col,21,105,11,462,2122,OPTIMAL,9,0.00064455,0.00219801,0.00284256,45.98047,,7.0,0.0,,12750.0,189.0,197.0,1264.0,,32.0,220.0,7.0,38.0,0.0,,7.0,,468.0,,,,35.0,,,,433.0,
c21_4_d2.col,21,105,11,462,2122,OPTIMAL,9,0.000874028,0.00192226,0.00279629,45.98438,,7.0,0.0,,12750.0,189.0,197.0,1264.0,,32.0,220.0,7.0,38.0,0.0,,7.0,,468.0,,,,35.0,,,,433.0,
