name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,restarts,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,minishrunken,decisions,lucky,subsumed,minimized,vivified,strengthened,weakened,fixed,reduced,substituted,chronological,rephased,stabilizing,eliminated,shrunken,walked
GEOM100b.col,100,1050,121,14000,101400,OPTIMAL,71,1.71161,49.9294,51.641,117.58203,57487.0,2900.0,0.0,310.0,191681000.0,872164.0,888306.0,28547000.0,6170530.0,1685420.0,19.0,89064.0,0.0,331.0,128768.0,155289.0,5949.0,527675.0,1417.0,138544.0,85.0,25.0,49781.0,8604040.0,19.0
c21_7_d1.col,21,105,8,252,1113,OPTIMAL,7,0.00118262,0.0027055,0.00388812,45.64062,33.0,57.0,0.0,,14903.0,415.0,443.0,2085.0,13.0,670.0,1.0,77.0,0.0,,56.0,,137.0,,,79.0,,,,350.0,
GEOM100a.col,100,992,91,13000,90380,OPTIMAL,66,0.704268,117.606,118.311,130.14062,95376.0,4468.0,0.0,587.0,419310000.0,1798760.0,1828410.0,63963500.0,14528400.0,3215440.0,,134640.0,0.0,993.0,217871.0,188487.0,3327.0,1231940.0,1815.0,261155.0,131.0,30.0,60335.0,16504900.0,33.0
c21_2_d2.col,21,105,11,336,1491,OPTIMAL,9,0.00264096,0.00526284,0.0079038,45.89844,1.0,4.0,0.0,,21820.0,338.0,344.0,3036.0,180.0,379.0,1.0,68.0,0.0,,4.0,,259.0,,,42.0,,,,880.0,
GEOM120.col,120,773,73,13920,72554,OPTIMAL,59,0.322838,1.98873,2.31157,75.68359,3750.0,309.0,0.0,30.0,13173000.0,61378.0,63260.0,1448180.0,288930.0,115258.0,6.0,6234.0,0.0,26.0,8919.0,64589.0,2188.0,18216.0,13.0,12318.0,19.0,9.0,21262.0,432110.0,1.0
GEOM60b.col,60,366,63,4800,24180,OPTIMAL,41,0.169322,0.669142,0.838464,61.5625,1394.0,152.0,0.0,23.0,7179380.0,27060.0,28295.0,632828.0,122333.0,53313.0,11.0,1745.0,0.0,2.0,2118.0,22459.0,1781.0,3815.0,,7179.0,9.0,6.0,7404.0,131353.0,
GEOM20b.col,20,32,16,480,1324,OPTIMAL,13,0.00247984,0.00113632,0.00361616,45.42188,,0.0,0.0,,584.0,3.0,4.0,4.0,0.0,6.0,4.0,,0.0,,,,224.0,,,3.0,,,,0.0,
GEOM30.col,30,50,33,1620,4560,OPTIMAL,28,0.00895303,0.00370989,0.0126629,45.48828,,3.0,0.0,,22164.0,125.0,130.0,1248.0,47.0,355.0,,17.0,0.0,,3.0,,406.0,,,52.0,,,,561.0,
c21_6_d1.col,21,105,11,336,1491,OPTIMAL,9,0.00255552,0.00485977,0.00741529,45.48828,1.0,4.0,0.0,,21820.0,338.0,344.0,3036.0,180.0,379.0,1.0,68.0,0.0,,4.0,,259.0,,,42.0,,,,880.0,
c21_4_d2.col,21,105,11,336,1491,OPTIMAL,9,0.00227052,0.00395239,0.00622291,45.49219,1.0,4.0,0.0,,21820.0,338.0,344.0,3036.0,180.0,379.0,1.0,68.0,0.0,,4.0,,259.0,,,42.0,,,,880.0,
