name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,restarts,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,minishrunken,decisions,lucky,subsumed,minimized,vivified,strengthened,weakened,fixed,reduced,substituted,chronological,rephased,stabilizing,eliminated,shrunken,walked
GEOM100b.col,100,1050,121,14000,101401,OPTIMAL,71,1.7273,81.8831,83.6104,117.03906,88664.0,4330.0,0.0,512.0,274268000.0,1333820.0,1357330.0,45189400.0,10000300.0,2559260.0,19.0,123646.0,0.0,459.0,175029.0,178030.0,10764.0,872128.0,1628.0,208083.0,108.0,28.0,56993.0,13233300.0,26.0
c21_7_d1.col,21,105,8,252,1114,OPTIMAL,7,0.0014499,0.00201498,0.00346488,46.03516,8.0,41.0,0.0,,7554.0,209.0,237.0,927.0,5.0,293.0,2.0,28.0,0.0,,41.0,,144.0,,,51.0,,,,123.0,
GEOM100a.col,100,992,91,13000,90381,OPTIMAL,66,0.701683,215.843,216.545,130.02344,138069.0,6057.0,0.0,685.0,647479000.0,2695910.0,2737280.0,103139000.0,23688900.0,4541100.0,,262183.0,0.0,1586.0,268540.0,165944.0,5934.0,1856380.0,1632.0,361424.0,152.0,29.0,52990.0,27931200.0,40.0
c21_2_d2.col,21,105,11,336,1492,OPTIMAL,9,0.00209932,0.00257255,0.00467187,45.4375,8.0,9.0,0.0,,17237.0,259.0,271.0,1951.0,71.0,323.0,2.0,55.0,0.0,,8.0,,295.0,,,44.0,,,,656.0,
GEOM120.col,120,773,73,13920,72555,OPTIMAL,59,0.323523,1.72409,2.04761,77.13672,3584.0,259.0,0.0,26.0,11580000.0,49126.0,50559.0,1116920.0,222078.0,102096.0,6.0,5299.0,0.0,34.0,6250.0,64314.0,3474.0,14687.0,5.0,9994.0,13.0,7.0,21174.0,334879.0,1.0
GEOM60b.col,60,366,63,4800,24181,OPTIMAL,41,0.165965,1.24146,1.40742,62.70703,3176.0,250.0,0.0,33.0,9503300.0,54467.0,56179.0,1362320.0,309787.0,98883.0,10.0,3833.0,0.0,23.0,5900.0,14732.0,3015.0,18491.0,1.0,12290.0,15.0,6.0,4842.0,315111.0,2.0
GEOM20b.col,20,32,16,480,1325,OPTIMAL,13,0.00306116,0.00175583,0.00481699,45.25781,,0.0,0.0,,722.0,6.0,7.0,9.0,0.0,10.0,4.0,,0.0,,,,299.0,,,2.0,,,,0.0,
GEOM30.col,30,50,33,1620,4561,OPTIMAL,28,0.00868287,0.00399369,0.0126766,45.25781,,3.0,0.0,,22129.0,125.0,130.0,1248.0,47.0,355.0,,17.0,0.0,,3.0,,620.0,,,52.0,,,,561.0,
c21_6_d1.col,21,105,11,336,1492,OPTIMAL,9,0.00172536,0.0028997,0.00462506,45.50781,8.0,9.0,0.0,,17237.0,259.0,271.0,1951.0,71.0,323.0,2.0,55.0,0.0,,8.0,,295.0,,,44.0,,,,656.0,
c21_4_d2.col,21,105,11,336,1492,OPTIMAL,9,0.00200723,0.00308339,0.00509061,45.44531,8.0,9.0,0.0,,17237.0,259.0,271.0,1951.0,71.0,323.0,2.0,55.0,0.0,,8.0,,295.0,,,44.0,,,,656.0,
