name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,restarts,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,restored,minishrunken,decisions,lucky,subsumed,minimized,vivified,strengthened,weakened,fixed,reduced,substituted,chronological,rephased,reactivated,stabilizing,eliminated,shrunken,walked
GEOM100b.col,100,1050,121,24200,180451,OPTIMAL,71,0.0545753,59.9798,60.0344,118.78516,84428.0,5768.0,0.0,1176.0,373321000.0,1830550.0,1861960.0,67619800.0,1364.0,16146900.0,3825430.0,817.0,143596.0,0.0,668.0,231979.0,189716.0,271107.0,1241790.0,1887.0,280216.0,136.0,33.0,97.0,60872.0,18590000.0,13.0
c21_7_d1.col,21,105,8,336,1534,OPTIMAL,7,0.000595479,0.00220501,0.00280049,45.88672,14.0,54.0,0.0,,11005.0,302.0,332.0,1464.0,,11.0,417.0,5.0,53.0,0.0,,53.0,,265.0,,,57.0,,,,,188.0,
GEOM100a.col,100,992,91,18200,129173,OPTIMAL,66,0.0389228,159.808,159.847,155.23047,196586.0,9812.0,0.0,5476.0,989633000.0,4238660.0,4304470.0,167071000.0,1333.0,38751200.0,7739310.0,,248625.0,0.0,2625.0,392517.0,175947.0,72407.0,3263450.0,1625.0,608077.0,206.0,70.0,106.0,56013.0,38574500.0,27.0
c21_2_d2.col,21,105,11,462,2122,OPTIMAL,9,0.000814273,0.00320093,0.0040152,45.96484,1.0,5.0,0.0,,17750.0,267.0,272.0,2054.0,,115.0,294.0,7.0,65.0,0.0,,5.0,,561.0,,,58.0,,,,,579.0,
GEOM120.col,120,773,73,17520,93150,OPTIMAL,59,0.0264353,1.3885,1.41494,77.5625,4039.0,290.0,0.0,41.0,12609400.0,61520.0,63584.0,1387880.0,208.0,282842.0,163411.0,81.0,5554.0,0.0,46.0,7018.0,65581.0,31965.0,20245.0,15.0,12647.0,14.0,,6.0,21563.0,399806.0,
GEOM60b.col,60,366,63,7560,39499,OPTIMAL,41,0.0117101,0.418051,0.429761,61.16797,1901.0,160.0,0.0,23.0,9713670.0,38573.0,40882.0,922899.0,164.0,188650.0,112201.0,195.0,2550.0,0.0,6.0,3882.0,23039.0,35650.0,8389.0,8.0,10757.0,13.0,,10.0,7569.0,211022.0,
GEOM20b.col,20,32,16,640,1853,OPTIMAL,13,0.000720964,0.00158288,0.00230384,45.91406,,0.0,0.0,,1135.0,6.0,7.0,9.0,,0.0,10.0,14.0,,0.0,,,,677.0,,,2.0,,,,,0.0,
GEOM30.col,30,50,33,1980,5761,OPTIMAL,28,0.0022567,0.00601186,0.00826855,46.03906,2.0,5.0,0.0,,68909.0,211.0,237.0,2589.0,,105.0,6864.0,,31.0,0.0,,5.0,,1846.0,,,61.0,,,,,959.0,
c21_6_d1.col,21,105,11,462,2122,OPTIMAL,9,0.000821987,0.00391736,0.00473934,45.97656,1.0,5.0,0.0,,17750.0,267.0,272.0,2054.0,,115.0,294.0,7.0,65.0,0.0,,5.0,,561.0,,,58.0,,,,,579.0,
c21_4_d2.col,21,105,11,462,2122,OPTIMAL,9,0.000791403,0.00271754,0.00350894,45.61719,1.0,5.0,0.0,,17750.0,267.0,272.0,2054.0,,115.0,294.0,7.0,65.0,0.0,,5.0,,561.0,,,58.0,,,,,579.0,
GEOM40.col,40,78,33,2640,8055,OPTIMAL,28,0.0032046,0.00684419,0.0100488,45.42969,4.0,7.0,0.0,,95900.0,269.0,301.0,3062.0,,275.0,8658.0,,22.0,0.0,,7.0,,2446.0,,,85.0,,,,,740.0,
c21_3_d1.col,21,105,8,336,1534,OPTIMAL,7,0.000564954,0.00281061,0.00337556,45.85938,14.0,54.0,0.0,,11005.0,302.0,332.0,1464.0,,11.0,417.0,5.0,53.0,0.0,,53.0,,265.0,,,57.0,,,,,188.0,
GEOM60.col,60,185,36,4320,15481,OPTIMAL,33,0.0048869,0.00679181,0.0116787,45.49609,3.0,6.0,0.0,,73833.0,390.0,414.0,4162.0,,388.0,2967.0,5.0,33.0,0.0,,6.0,,1905.0,,,165.0,,,,,1010.0,
GEOM70b.col,70,488,76,10640,60399,OPTIMAL,47,0.0156519,1.91101,1.92666,65.42188,6112.0,510.0,0.0,101.0,28101500.0,129454.0,133389.0,3374000.0,394.0,755972.0,433676.0,220.0,9482.0,0.0,89.0,13711.0,42258.0,68671.0,53065.0,12.0,30727.0,29.0,104.0,20.0,13789.0,791633.0,2.0
