name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,restarts,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,restored,minishrunken,decisions,lucky,subsumed,minimized,vivified,strengthened,weakened,fixed,reduced,substituted,chronological,rephased,reactivated,stabilizing,eliminated,shrunken,walked
GEOM100b.col,100,1050,121,24200,180450,OPTIMAL,71,0.0553882,68.7303,68.7857,122.59766,105614.0,5638.0,0.0,1164.0,385117000.0,1901530.0,1932760.0,69505300.0,7435.0,15749100.0,4052100.0,849.0,146205.0,0.0,654.0,247215.0,187626.0,270794.0,1331580.0,1628.0,284877.0,127.0,60.0,76.0,60150.0,19491100.0,13.0
c21_7_d1.col,21,105,8,336,1533,OPTIMAL,7,0.000603762,0.00348533,0.0040891,45.46094,2.0,56.0,0.0,,15439.0,419.0,445.0,2145.0,,60.0,513.0,3.0,104.0,0.0,,56.0,,278.0,,,80.0,,,,,383.0,
GEOM100a.col,100,992,91,18200,129172,OPTIMAL,66,0.0363402,118.326,118.362,133.33594,134510.0,7279.0,0.0,3098.0,661843000.0,2998130.0,3046750.0,110894000.0,6712.0,25328100.0,5457900.0,,196295.0,0.0,1536.0,286440.0,153566.0,73302.0,2210150.0,1657.0,451844.0,170.0,774.0,87.0,49092.0,26451300.0,19.0
c21_2_d2.col,21,105,11,462,2121,OPTIMAL,9,0.000800648,0.00522749,0.00602814,45.42188,,12.0,0.0,,28398.0,421.0,446.0,4050.0,,189.0,572.0,4.0,59.0,0.0,,12.0,,513.0,,,102.0,,,,,484.0,
GEOM120.col,120,773,73,17520,93149,OPTIMAL,59,0.0265895,1.29924,1.32583,79.37891,4705.0,258.0,0.0,53.0,13565700.0,60673.0,62619.0,1398040.0,829.0,310058.0,193881.0,81.0,5719.0,0.0,38.0,7397.0,65742.0,30844.0,19410.0,5.0,12443.0,15.0,,7.0,21630.0,398990.0,
GEOM60b.col,60,366,63,7560,39498,OPTIMAL,41,0.0137693,0.676787,0.690556,62.01172,2747.0,380.0,0.0,52.0,12542000.0,67319.0,69754.0,1638960.0,519.0,386240.0,154654.0,209.0,3948.0,0.0,32.0,6158.0,23160.0,34719.0,22409.0,,16696.0,17.0,5.0,15.0,7612.0,319554.0,
GEOM20b.col,20,32,16,640,1852,OPTIMAL,13,0.000759952,0.0012956,0.00205556,45.49219,,0.0,0.0,,985.0,3.0,4.0,4.0,,0.0,6.0,14.0,,0.0,,,,624.0,,,3.0,,,,,0.0,
GEOM30.col,30,50,33,1980,5760,OPTIMAL,28,0.00227674,0.00582155,0.00809829,45.61719,2.0,5.0,0.0,,69491.0,211.0,237.0,2589.0,,105.0,6503.0,,31.0,0.0,,5.0,,1664.0,,,61.0,,,,,959.0,
c21_6_d1.col,21,105,11,462,2121,OPTIMAL,9,0.00079467,0.00452028,0.00531495,45.79297,,12.0,0.0,,28398.0,421.0,446.0,4050.0,,189.0,572.0,4.0,59.0,0.0,,12.0,,513.0,,,102.0,,,,,484.0,
c21_4_d2.col,21,105,11,462,2121,OPTIMAL,9,0.000797137,0.00361088,0.00440802,45.85938,,12.0,0.0,,28398.0,421.0,446.0,4050.0,,189.0,572.0,4.0,59.0,0.0,,12.0,,513.0,,,102.0,,,,,484.0,
