name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,restarts,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,restored,minishrunken,decisions,lucky,subsumed,minimized,vivified,strengthened,weakened,fixed,reduced,substituted,chronological,rephased,reactivated,stabilizing,eliminated,shrunken,walked
GEOM100b.col,100,1050,121,24200,180451,OPTIMAL,71,0.0526338,58.8106,58.8632,116.29688,81459.0,4988.0,0.0,927.0,322287000.0,1542940.0,1570500.0,55896000.0,8540.0,13176900.0,3443340.0,817.0,116967.0,0.0,540.0,181055.0,189513.0,274117.0,1039730.0,1863.0,241852.0,122.0,874.0,93.0,60843.0,15369700.0,13.0
c21_7_d1.col,21,105,8,336,1534,OPTIMAL,7,0.000588532,0.00248729,0.00307582,46.01953,14.0,54.0,0.0,,11005.0,302.0,332.0,1464.0,,11.0,417.0,5.0,53.0,0.0,,53.0,,265.0,,,57.0,,,,,188.0,
GEOM100a.col,100,992,91,18200,129173,OPTIMAL,66,0.0356639,114.447,114.482,131.39062,138213.0,7186.0,0.0,2741.0,697269000.0,2991000.0,3038180.0,114732000.0,7599.0,26780400.0,5564320.0,,200669.0,0.0,2135.0,295590.0,175477.0,74894.0,2180220.0,1661.0,430567.0,167.0,815.0,96.0,55925.0,27889100.0,24.0
c21_2_d2.col,21,105,11,462,2122,OPTIMAL,9,0.000817153,0.00363794,0.00445509,45.91406,1.0,5.0,0.0,,17750.0,267.0,272.0,2054.0,,115.0,294.0,7.0,65.0,0.0,,5.0,,561.0,,,58.0,,,,,579.0,
GEOM120.col,120,773,73,17520,93150,OPTIMAL,59,0.0274254,1.44039,1.46782,77.61719,4053.0,307.0,0.0,36.0,12644700.0,60949.0,62975.0,1415070.0,822.0,290577.0,162414.0,81.0,5717.0,0.0,44.0,7162.0,65561.0,31886.0,20246.0,5.0,12448.0,14.0,,6.0,21563.0,418714.0,
GEOM60b.col,60,366,63,7560,39499,OPTIMAL,41,0.00991556,0.4463,0.456216,61.22656,1913.0,162.0,0.0,24.0,9820960.0,39980.0,42314.0,945885.0,468.0,191470.0,113592.0,195.0,2993.0,0.0,4.0,4570.0,23019.0,35793.0,8797.0,4.0,11035.0,14.0,,11.0,7570.0,217784.0,
GEOM20b.col,20,32,16,640,1853,OPTIMAL,13,0.000741353,0.00105508,0.00179643,45.98828,,0.0,0.0,,1135.0,6.0,7.0,9.0,,0.0,10.0,14.0,,0.0,,,,677.0,,,2.0,,,,,0.0,
GEOM30.col,30,50,33,1980,5761,OPTIMAL,28,0.00181545,0.00367053,0.00548598,45.5625,2.0,5.0,0.0,,68909.0,211.0,237.0,2589.0,,105.0,6864.0,,31.0,0.0,,5.0,,1846.0,,,61.0,,,,,959.0,
c21_6_d1.col,21,105,11,462,2122,OPTIMAL,9,0.000793457,0.00367481,0.00446827,45.5,1.0,5.0,0.0,,17750.0,267.0,272.0,2054.0,,115.0,294.0,7.0,65.0,0.0,,5.0,,561.0,,,58.0,,,,,579.0,
c21_4_d2.col,21,105,11,462,2122,OPTIMAL,9,0.000811817,0.00313836,0.00395017,45.5,1.0,5.0,0.0,,17750.0,267.0,272.0,2054.0,,115.0,294.0,7.0,65.0,0.0,,5.0,,561.0,,,58.0,,,,,579.0,
GEOM40.col,40,78,33,2640,8055,OPTIMAL,28,0.00237832,0.00430382,0.00668213,45.5,4.0,7.0,0.0,,95900.0,269.0,301.0,3062.0,,275.0,8658.0,,22.0,0.0,,7.0,,2446.0,,,85.0,,,,,740.0,
c21_3_d1.col,21,105,8,336,1534,OPTIMAL,7,0.000576668,0.00248874,0.00306541,45.56641,14.0,54.0,0.0,,11005.0,302.0,332.0,1464.0,,11.0,417.0,5.0,53.0,0.0,,53.0,,265.0,,,57.0,,,,,188.0,
GEOM60.col,60,185,36,4320,15481,OPTIMAL,33,0.00483999,0.00671488,0.0115549,45.56641,3.0,6.0,0.0,,73833.0,390.0,414.0,4162.0,,388.0,2967.0,5.0,33.0,0.0,,6.0,,1905.0,,,165.0,,,,,1010.0,
GEOM70b.col,70,488,76,10640,60399,OPTIMAL,47,0.0165759,1.71029,1.72686,65.82031,6200.0,471.0,0.0,121.0,26549100.0,117011.0,120766.0,3041140.0,1256.0,673800.0,418041.0,220.0,8035.0,0.0,74.0,11811.0,42182.0,69098.0,47053.0,16.0,28313.0,29.0,337.0,20.0,13774.0,739262.0,2.0
c21_1_d1.col,21,105,8,336,1534,OPTIMAL,7,0.000375617,0.00194027,0.00231588,45.44531,14.0,54.0,0.0,,11005.0,302.0,332.0,1464.0,,11.0,417.0,5.0,53.0,0.0,,53.0,,265.0,,,57.0,,,,,188.0,
GEOM120b.col,120,1491,123,29520,247234,SATISFIABLE,83,0.0689261,3599.93,3600.0,320.29297,1072280.0,47071.0,0.0,4288.0,4838980000.0,22631200.0,22896800.0,1179820000.0,17289.0,274520000.0,39220000.0,237.0,1738590.0,0.0,11434.0,1119090.0,367826.0,214807.0,19083900.0,2714.0,2565670.0,378.0,119.0,132.0,118691.0,346294000.0,84.0
c21_5_d1.col,21,105,8,336,1534,OPTIMAL,7,0.00058821,0.00273893,0.00332714,46.02344,14.0,54.0,0.0,,11005.0,302.0,332.0,1464.0,,11.0,417.0,5.0,53.0,0.0,,53.0,,265.0,,,57.0,,,,,188.0,
GEOM50.col,50,127,36,3600,12173,OPTIMAL,28,0.00312181,0.00488023,0.00800204,45.53906,2.0,5.0,0.0,,126116.0,262.0,304.0,3250.0,,143.0,11295.0,27.0,31.0,0.0,,5.0,,5444.0,,,89.0,,,,,979.0,
GEOM90.col,90,441,54,9720,43975,OPTIMAL,46,0.0121117,0.0824803,0.094592,45.66797,45.0,60.0,0.0,,897718.0,4826.0,5156.0,83522.0,,12839.0,21126.0,27.0,537.0,0.0,,60.0,,9890.0,387.0,,1197.0,2.0,,1.0,,20603.0,
GEOM80.col,80,349,54,8640,37167,OPTIMAL,41,0.00998638,0.0599817,0.0699681,45.54297,301.0,43.0,0.0,,1092700.0,5296.0,5793.0,77043.0,,9626.0,33213.0,84.0,628.0,0.0,,43.0,,18824.0,226.0,,1663.0,2.0,,2.0,,22701.0,
GEOM90a.col,90,789,80,14400,93451,OPTIMAL,63,0.0256634,5.16277,5.18844,97.55078,11515.0,781.0,0.0,72.0,38231000.0,185941.0,190514.0,4437380.0,472.0,855279.0,489292.0,,16868.0,0.0,66.0,19833.0,52167.0,33984.0,80202.0,546.0,35255.0,27.0,2.0,19.0,16677.0,1214250.0,1.0
c21_6_d2.col,21,105,11,462,2122,OPTIMAL,9,0.000554983,0.00245316,0.00300814,46.09375,1.0,5.0,0.0,,17750.0,267.0,272.0,2054.0,,115.0,294.0,7.0,65.0,0.0,,5.0,,561.0,,,58.0,,,,,579.0,
GEOM90b.col,90,860,109,19620,136581,OPTIMAL,69,0.0391597,27.5531,27.5922,112.69531,67517.0,4135.0,0.0,786.0,225616000.0,1177380.0,1197980.0,39501100.0,4439.0,9549340.0,2649080.0,467.0,87382.0,0.0,543.0,158142.0,122017.0,161839.0,756641.0,1276.0,186483.0,97.0,580.0,58.0,38905.0,10278100.0,10.0
c55_1_d1.col,55,362,8,880,4712,OPTIMAL,7,0.00107282,0.00645831,0.00753113,45.91016,6.0,68.0,0.0,,82947.0,1026.0,1069.0,11201.0,,396.0,1388.0,,93.0,0.0,,68.0,,636.0,,,152.0,,,,,1359.0,
GEOM50a.col,50,238,61,6100,27269,OPTIMAL,50,0.00721354,0.228708,0.235921,59.64453,745.0,62.0,0.0,3.0,2600290.0,12777.0,13205.0,203383.0,,37804.0,44928.0,46.0,1179.0,0.0,6.0,580.0,7348.0,9348.0,1487.0,,2878.0,4.0,,2.0,2434.0,49854.0,
GEOM20a.col,20,37,24,960,2889,OPTIMAL,20,0.000744768,0.00160344,0.00234821,45.54688,1.0,3.0,0.0,,8881.0,70.0,74.0,659.0,,22.0,166.0,18.0,15.0,0.0,,3.0,,980.0,,,34.0,,,,,337.0,
GEOM100.col,100,547,64,12800,62009,OPTIMAL,50,0.0220181,0.362046,0.384064,67.75,1145.0,128.0,0.0,2.0,4477960.0,20618.0,21416.0,352334.0,,61317.0,74579.0,91.0,1582.0,0.0,4.0,769.0,14907.0,26591.0,3019.0,,4659.0,8.0,,7.0,4892.0,84260.0,
GEOM110.col,110,638,64,14080,70533,OPTIMAL,50,0.0194623,0.314158,0.33362,70.18359,659.0,94.0,0.0,11.0,3457250.0,13185.0,13687.0,201194.0,,30254.0,63949.0,91.0,1383.0,0.0,8.0,554.0,16481.0,29190.0,1615.0,,3172.0,4.0,,2.0,5392.0,55571.0,
c21_5_d2.col,21,105,8,336,1534,OPTIMAL,7,0.000573644,0.00291725,0.00349089,45.48828,14.0,54.0,0.0,,11005.0,302.0,332.0,1464.0,,11.0,417.0,5.0,53.0,0.0,,53.0,,265.0,,,57.0,,,,,188.0,
c21_8_d2.col,21,105,11,462,2122,OPTIMAL,9,0.000567372,0.00245516,0.00302253,45.67578,1.0,5.0,0.0,,17750.0,267.0,272.0,2054.0,,115.0,294.0,7.0,65.0,0.0,,5.0,,561.0,,,58.0,,,,,579.0,
c21_7_d2.col,21,105,8,336,1534,OPTIMAL,7,0.000571215,0.00173033,0.00230155,45.55078,14.0,54.0,0.0,,11005.0,302.0,332.0,1464.0,,11.0,417.0,5.0,53.0,0.0,,53.0,,265.0,,,57.0,,,,,188.0,
GEOM70a.col,70,459,72,10080,53979,OPTIMAL,61,0.014355,1.25863,1.27299,66.35156,6363.0,391.0,0.0,18.0,13982800.0,81294.0,83495.0,1572450.0,176.0,295862.0,211512.0,,8217.0,0.0,78.0,10122.0,25874.0,12836.0,28378.0,,16516.0,15.0,,8.0,8506.0,408314.0,2.0
c21_4_d1.col,21,105,11,462,2122,OPTIMAL,9,0.00059975,0.00358207,0.00418182,46.10156,1.0,5.0,0.0,,17750.0,267.0,272.0,2054.0,,115.0,294.0,7.0,65.0,0.0,,5.0,,561.0,,,58.0,,,,,579.0,
GEOM110b.col,110,1256,121,26620,210057,OPTIMAL,77,0.065951,282.023,282.089,148.05859,171455.0,8832.0,0.0,1489.0,657023000.0,3240380.0,3288670.0,133568000.0,5899.0,30891000.0,6472180.0,583.0,329485.0,0.0,1315.0,352801.0,191920.0,237004.0,2312430.0,1620.0,436068.0,145.0,60.0,75.0,61579.0,41356700.0,22.0
GEOM80a.col,80,612,79,12640,74909,OPTIMAL,63,0.025852,2.79287,2.81873,94.10156,6065.0,490.0,0.0,70.0,27991400.0,116355.0,119535.0,2526930.0,1109.0,520966.0,314472.0,30.0,9951.0,0.0,50.0,11595.0,63264.0,27277.0,46609.0,650.0,24309.0,28.0,256.0,25.0,20099.0,649124.0,1.0
GEOM30a.col,30,81,32,1920,6583,OPTIMAL,27,0.00170525,0.00405821,0.00576346,45.98047,5.0,4.0,0.0,,40331.0,349.0,368.0,4627.0,,404.0,987.0,22.0,38.0,0.0,,4.0,,1959.0,,,144.0,,,,,1006.0,
