name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,restarts,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,minishrunken,decisions,lucky,subsumed,minimized,vivified,strengthened,weakened,fixed,reduced,substituted,chronological,rephased,stabilizing,eliminated,shrunken,walked
GEOM100b.col,100,1050,121,14000,101400,OPTIMAL,71,1.77208,58.2921,60.0642,115.70312,53245.0,3038.0,0.0,213.0,208698000.0,964229.0,980106.0,34595300.0,8206090.0,1734240.0,19.0,91803.0,0.0,310.0,114048.0,155185.0,5721.0,592276.0,1411.0,138807.0,84.0,24.0,49772.0,10238200.0,19.0
c21_7_d1.col,21,105,8,252,1113,OPTIMAL,7,0.00143215,0.00305034,0.00448249,45.77734,32.0,69.0,0.0,,15309.0,395.0,436.0,2121.0,45.0,613.0,1.0,45.0,0.0,,69.0,,174.0,,,64.0,,,,228.0,
GEOM100a.col,100,992,91,13000,90380,OPTIMAL,66,0.711052,212.271,212.982,137.59766,134200.0,5728.0,0.0,558.0,621997000.0,2590520.0,2629560.0,99785800.0,23374200.0,4376680.0,,234557.0,0.0,1345.0,241974.0,166495.0,3276.0,1839250.0,1617.0,337294.0,148.0,29.0,53245.0,26546600.0,38.0
c21_2_d2.col,21,105,11,336,1491,OPTIMAL,9,0.0025365,0.00633595,0.00887245,45.86719,24.0,5.0,0.0,,30245.0,442.0,451.0,3859.0,198.0,602.0,1.0,98.0,0.0,,5.0,,269.0,,,64.0,,,,1170.0,
GEOM120.col,120,773,73,13920,72554,OPTIMAL,59,0.325939,2.11146,2.4374,75.34766,4039.0,303.0,0.0,37.0,14194900.0,59400.0,61251.0,1364760.0,280095.0,117739.0,6.0,6207.0,0.0,30.0,7913.0,86824.0,2324.0,17378.0,3.0,12179.0,17.0,9.0,28588.0,393719.0,1.0
GEOM60b.col,60,366,63,4800,24180,OPTIMAL,41,0.164791,1.00428,1.16907,61.45312,1955.0,194.0,0.0,34.0,9207390.0,40757.0,42428.0,1020050.0,210596.0,78438.0,11.0,2948.0,0.0,9.0,4765.0,22683.0,1831.0,11361.0,4.0,10067.0,13.0,7.0,7466.0,225364.0,
GEOM20b.col,20,32,16,480,1324,OPTIMAL,13,0.00264221,0.00145339,0.00409559,45.44141,,0.0,0.0,,585.0,3.0,4.0,4.0,0.0,6.0,4.0,,0.0,,,,224.0,,,3.0,,,,0.0,
GEOM30.col,30,50,33,1620,4560,OPTIMAL,28,0.0129474,0.00566943,0.0186168,45.45312,,3.0,0.0,,22023.0,120.0,125.0,1225.0,47.0,361.0,,17.0,0.0,,3.0,,406.0,,,50.0,,,,560.0,
c21_6_d1.col,21,105,11,336,1491,OPTIMAL,9,0.00253175,0.00608359,0.00861534,45.39062,24.0,5.0,0.0,,30245.0,442.0,451.0,3859.0,198.0,602.0,1.0,98.0,0.0,,5.0,,269.0,,,64.0,,,,1170.0,
c21_4_d2.col,21,105,11,336,1491,OPTIMAL,9,0.00223218,0.00448542,0.00671761,45.64062,24.0,5.0,0.0,,30245.0,442.0,451.0,3859.0,198.0,602.0,1.0,98.0,0.0,,5.0,,269.0,,,64.0,,,,1170.0,
GEOM40.col,40,78,33,2160,6386,OPTIMAL,28,0.0126575,0.004868,0.0175255,45.51562,,3.0,0.0,,27034.0,129.0,133.0,1309.0,51.0,459.0,,17.0,0.0,,3.0,,476.0,,,56.0,,,,581.0,
c21_3_d1.col,21,105,8,252,1113,OPTIMAL,7,0.00107724,0.00222275,0.00329999,45.57812,32.0,69.0,0.0,,15309.0,395.0,436.0,2121.0,45.0,613.0,1.0,45.0,0.0,,69.0,,174.0,,,64.0,,,,228.0,
GEOM60.col,60,185,36,3840,13540,OPTIMAL,33,0.0210871,0.00790303,0.0289901,45.64453,2.0,7.0,0.0,,49626.0,297.0,315.0,4709.0,323.0,739.0,1.0,48.0,0.0,,7.0,,604.0,,,77.0,,,,1260.0,
GEOM70b.col,70,488,76,6440,35258,OPTIMAL,47,0.331353,1.84498,2.17634,66.35156,3789.0,299.0,0.0,62.0,14940100.0,64123.0,66252.0,1582960.0,314801.0,125397.0,8.0,4970.0,0.0,29.0,5859.0,30288.0,2506.0,19492.0,12.0,14934.0,19.0,9.0,9922.0,410914.0,1.0
c21_1_d1.col,21,105,8,252,1113,OPTIMAL,7,0.00101545,0.00233234,0.00334779,45.39844,32.0,69.0,0.0,,15309.0,395.0,436.0,2121.0,45.0,613.0,1.0,45.0,0.0,,69.0,,174.0,,,64.0,,,,228.0,
GEOM120b.col,120,1491,123,19680,161502,OPTIMAL,83,2.09557,2131.04,2133.14,245.1875,495836.0,25198.0,0.0,872.0,2321820000.0,10752500.0,10887300.0,527144000.0,119204000.0,17948800.0,6.0,1071470.0,0.0,4676.0,733434.0,415799.0,5665.0,8559930.0,3152.0,1261160.0,266.0,40.0,134241.0,168858000.0,72.0
c21_5_d1.col,21,105,8,252,1113,OPTIMAL,7,0.0013058,0.00321776,0.00452356,45.58594,32.0,69.0,0.0,,15309.0,395.0,436.0,2121.0,45.0,613.0,1.0,45.0,0.0,,69.0,,174.0,,,64.0,,,,228.0,
