name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,restarts,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,minishrunken,decisions,lucky,subsumed,minimized,vivified,strengthened,weakened,fixed,reduced,substituted,chronological,rephased,stabilizing,eliminated,shrunken,walked
GEOM100b.col,100,1050,121,14000,101401,OPTIMAL,71,1.7881,91.1242,92.9123,118.64844,97350.0,4817.0,0.0,298.0,313054000.0,1509970.0,1536160.0,51306800.0,11231800.0,2917350.0,19.0,134470.0,0.0,603.0,198623.0,201480.0,10514.0,967603.0,1814.0,230576.0,127.0,32.0,64568.0,15265400.0,31.0
c21_7_d1.col,21,105,8,252,1114,OPTIMAL,7,0.00147647,0.00262114,0.00409761,45.39844,18.0,46.0,0.0,,9849.0,290.0,314.0,1372.0,6.0,398.0,2.0,67.0,0.0,,46.0,,162.0,,,52.0,,,,249.0,
GEOM100a.col,100,992,91,13000,90381,OPTIMAL,66,0.727385,249.667,250.395,131.53125,165585.0,6791.0,0.0,684.0,726602000.0,2993460.0,3040180.0,115888000.0,26889900.0,5213240.0,,269909.0,0.0,1725.0,311287.0,144629.0,5478.0,2100180.0,1640.0,395835.0,160.0,29.0,46024.0,30535800.0,44.0
c21_2_d2.col,21,105,11,336,1492,OPTIMAL,9,0.00168295,0.00214376,0.00382671,45.47656,4.0,6.0,0.0,,12407.0,207.0,213.0,1580.0,127.0,255.0,2.0,32.0,0.0,,6.0,,247.0,,,37.0,,,,340.0,
GEOM120.col,120,773,73,13920,72555,OPTIMAL,59,0.330154,1.59422,1.92437,76.96875,3596.0,282.0,0.0,28.0,10234300.0,47894.0,49379.0,1081920.0,206107.0,97331.0,6.0,5831.0,0.0,20.0,5595.0,42949.0,3414.0,11761.0,10.0,9970.0,13.0,7.0,14124.0,338952.0,1.0
GEOM60b.col,60,366,63,4800,24181,OPTIMAL,41,0.166993,1.39841,1.5654,61.94922,3133.0,255.0,0.0,43.0,11146900.0,58527.0,60625.0,1462460.0,321928.0,109884.0,10.0,4014.0,0.0,29.0,8546.0,22317.0,2992.0,18525.0,5.0,13629.0,15.0,8.0,7349.0,329501.0,1.0
GEOM20b.col,20,32,16,480,1325,OPTIMAL,13,0.00295701,0.00151155,0.00446856,45.41797,,0.0,0.0,,735.0,6.0,7.0,9.0,0.0,10.0,4.0,,0.0,,,,289.0,,,2.0,,,,0.0,
GEOM30.col,30,50,33,1620,4561,OPTIMAL,28,0.00920742,0.00419491,0.0134023,45.48047,,3.0,0.0,,21989.0,120.0,125.0,1225.0,47.0,361.0,,17.0,0.0,,3.0,,606.0,,,50.0,,,,560.0,
c21_6_d1.col,21,105,11,336,1492,OPTIMAL,9,0.00252154,0.00325834,0.00577988,45.48047,4.0,6.0,0.0,,12407.0,207.0,213.0,1580.0,127.0,255.0,2.0,32.0,0.0,,6.0,,247.0,,,37.0,,,,340.0,
c21_4_d2.col,21,105,11,336,1492,OPTIMAL,9,0.00254432,0.00342413,0.00596846,45.85938,4.0,6.0,0.0,,12407.0,207.0,213.0,1580.0,127.0,255.0,2.0,32.0,0.0,,6.0,,247.0,,,37.0,,,,340.0,
GEOM40.col,40,78,33,2160,6387,OPTIMAL,28,0.0115941,0.0049878,0.0165819,45.43359,6.0,4.0,0.0,,33187.0,203.0,212.0,2194.0,316.0,582.0,,18.0,0.0,,4.0,,712.0,,,71.0,,,,677.0,
c21_3_d1.col,21,105,8,252,1114,OPTIMAL,7,0.000913436,0.00167409,0.00258753,45.30859,18.0,46.0,0.0,,9849.0,290.0,314.0,1372.0,6.0,398.0,2.0,67.0,0.0,,46.0,,162.0,,,52.0,,,,249.0,
GEOM60.col,60,185,36,3840,13541,OPTIMAL,33,0.0167592,0.00654603,0.0233052,45.43359,1.0,6.0,0.0,,43111.0,258.0,277.0,3487.0,149.0,583.0,1.0,45.0,0.0,,6.0,,766.0,,,64.0,,,,1198.0,
GEOM70b.col,70,488,76,6440,35259,OPTIMAL,47,0.335327,1.66951,2.00484,65.97656,4018.0,215.0,0.0,24.0,15200200.0,55568.0,57567.0,1404030.0,304019.0,117730.0,14.0,4036.0,0.0,16.0,5281.0,40492.0,4320.0,14939.0,,13345.0,17.0,9.0,13267.0,356512.0,1.0
c21_1_d1.col,21,105,8,252,1114,OPTIMAL,7,0.00117347,0.00191011,0.00308358,45.5,18.0,46.0,0.0,,9849.0,290.0,314.0,1372.0,6.0,398.0,2.0,67.0,0.0,,46.0,,162.0,,,52.0,,,,249.0,
GEOM120b.col,120,1491,123,19680,161503,OPTIMAL,83,2.10937,2010.44,2012.55,235.96875,582283.0,28981.0,0.0,820.0,2433970000.0,11364600.0,11516800.0,534021000.0,118080000.0,19738500.0,6.0,1161930.0,0.0,5320.0,885571.0,313391.0,10436.0,8960680.0,2436.0,1426560.0,294.0,40.0,101047.0,168293000.0,82.0
c21_5_d1.col,21,105,8,252,1114,OPTIMAL,7,0.0013093,0.00195256,0.00326186,45.87891,18.0,46.0,0.0,,9849.0,290.0,314.0,1372.0,6.0,398.0,2.0,67.0,0.0,,46.0,,162.0,,,52.0,,,,249.0,
GEOM50.col,50,127,36,2700,8780,OPTIMAL,28,0.0259309,0.00692582,0.0328568,45.51562,4.0,13.0,0.0,,40352.0,195.0,224.0,2592.0,375.0,706.0,3.0,35.0,0.0,,13.0,,1066.0,,,90.0,,,,814.0,
