name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,restarts,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,restored,minishrunken,decisions,lucky,subsumed,fixed,reduced,substituted,chronological,rephased,reactivated,stabilizing,minimized,vivified,strengthened,weakened,eliminated,shrunken,walked
GEOM100b.col,100,1050,121,32500,382054,OPTIMAL,71,0.132051,116.121,116.253,138.90625,103758.0,22065.0,0.0,1914250.0,1075270000.0,3989420.0,4053640.0,123023000.0,15043.0,12567900.0,5716640.0,431.0,1401930.0,316905.0,2360120.0,5006.0,462904.0,167.0,951.0,58.0,0.0,8967.0,591157.0,292418.0,75051.0,43663900.0,33.0
c21_7_d1.col,21,105,8,315,1323,OPTIMAL,7,0.000631821,0.00430316,0.00493498,45.77734,56.0,5.0,0.0,,33223.0,898.0,908.0,9106.0,,37.0,1115.0,3.0,579.0,178.0,,,147.0,,,,0.0,,4.0,,,4560.0,
GEOM100a.col,100,992,91,24400,271922,OPTIMAL,66,0.0911169,158.848,158.939,125.05078,204896.0,26974.0,0.0,2149520.0,1644000000.0,5986010.0,6090480.0,207145000.0,5361.0,26821600.0,7766740.0,25.0,1920280.0,80354.0,3563460.0,2403.0,764547.0,194.0,139.0,57.0,0.0,28397.0,528448.0,228693.0,59672.0,72506900.0,39.0
c21_2_d2.col,21,105,11,441,2940,OPTIMAL,9,0.00134685,0.00386905,0.0052159,45.5,,6.0,0.0,,25863.0,333.0,346.0,2688.0,,200.0,505.0,7.0,65.0,314.0,,,92.0,,,,0.0,,6.0,,,561.0,
GEOM120.col,120,773,73,23280,186940,OPTIMAL,59,0.0646133,2.43354,2.49815,97.25781,1287.0,1244.0,0.0,79203.0,21870500.0,77697.0,79433.0,1426740.0,114.0,123252.0,209763.0,16.0,43491.0,30197.0,24395.0,1253.0,11309.0,16.0,38.0,8.0,0.0,381.0,81128.0,78468.0,22012.0,387404.0,1.0
GEOM60b.col,60,366,63,9600,74623,OPTIMAL,41,0.0252407,0.614709,0.63995,69.44141,556.0,412.0,0.0,9984.0,13506600.0,32448.0,33449.0,620364.0,75.0,75628.0,114226.0,69.0,10227.0,31781.0,7219.0,629.0,7717.0,7.0,,5.0,0.0,140.0,23053.0,29520.0,7560.0,102874.0,
GEOM20b.col,20,32,16,600,2085,OPTIMAL,13,0.00106615,0.00102712,0.00209328,45.76172,,0.0,0.0,,768.0,2.0,3.0,4.0,,0.0,6.0,14.0,,340.0,,,2.0,,,,0.0,,,,,1.0,
GEOM30.col,30,50,33,2370,9443,OPTIMAL,28,0.00286916,0.0031115,0.00598066,45.44922,,2.0,0.0,,32856.0,73.0,77.0,401.0,,12.0,1912.0,17.0,8.0,1067.0,,,20.0,,,,0.0,,2.0,,,103.0,
c21_6_d1.col,21,105,11,441,2940,OPTIMAL,9,0.000874827,0.00299715,0.00387197,45.69922,,6.0,0.0,,25863.0,333.0,346.0,2688.0,,200.0,505.0,7.0,65.0,314.0,,,92.0,,,,0.0,,6.0,,,561.0,
c21_4_d2.col,21,105,11,441,2940,OPTIMAL,9,0.00115568,0.00249079,0.00364647,45.64062,,6.0,0.0,,25863.0,333.0,346.0,2688.0,,200.0,505.0,7.0,65.0,314.0,,,92.0,,,,0.0,,6.0,,,561.0,
GEOM40.col,40,78,33,3146,13123,OPTIMAL,28,0.00387417,0.00360778,0.00748195,45.94141,,2.0,0.0,,93999.0,82.0,86.0,489.0,,12.0,6875.0,,8.0,1322.0,,,36.0,,,,0.0,,2.0,,,105.0,
c21_3_d1.col,21,105,8,315,1323,OPTIMAL,7,0.000698443,0.00621745,0.00691589,45.64062,56.0,5.0,0.0,,33223.0,898.0,908.0,9106.0,,37.0,1115.0,3.0,579.0,178.0,,,147.0,,,,0.0,,4.0,,,4560.0,
GEOM60.col,60,185,36,5100,25744,OPTIMAL,33,0.00929704,0.00473729,0.0140343,45.51562,,1.0,0.0,,54591.0,152.0,155.0,1035.0,,20.0,2202.0,7.0,35.0,915.0,,,46.0,,,,0.0,,1.0,,,230.0,
GEOM70b.col,70,488,76,14000,120307,OPTIMAL,47,0.0403008,2.63338,2.67368,77.72656,4418.0,1625.0,0.0,83861.0,39130400.0,143040.0,146904.0,3098930.0,3581.0,352647.0,314752.0,243.0,50542.0,72800.0,56805.0,1517.0,27517.0,25.0,84.0,15.0,0.0,294.0,75275.0,69864.0,17075.0,764383.0,
c21_1_d1.col,21,105,8,315,1323,OPTIMAL,7,0.000716015,0.00481703,0.00553304,45.88672,56.0,5.0,0.0,,33223.0,898.0,908.0,9106.0,,37.0,1115.0,3.0,579.0,178.0,,,147.0,,,,0.0,,4.0,,,4560.0,
GEOM120b.col,120,1491,123,39480,532014,SATISFIABLE,83,0.18568,3599.82,3600.0,306.67188,1968790.0,429440.0,0.0,3922110.0,17259200000.0,65884900.0,66832900.0,2636350000.0,14926.0,225664000.0,77374500.0,82.0,23417000.0,234462.0,41662900.0,4153.0,7171120.0,566.0,592.0,95.0,0.0,80433.0,1831930.0,469825.0,120966.0,815874000.0,150.0
c21_5_d1.col,21,105,8,315,1323,OPTIMAL,7,0.000725266,0.0040535,0.00477876,45.46875,56.0,5.0,0.0,,33223.0,898.0,908.0,9106.0,,37.0,1115.0,3.0,579.0,178.0,,,147.0,,,,0.0,,4.0,,,4560.0,
GEOM50.col,50,127,36,4236,19672,OPTIMAL,28,0.00618468,0.00486377,0.0110484,46.01953,,2.0,0.0,,121812.0,94.0,98.0,628.0,,12.0,7533.0,27.0,8.0,2929.0,,,36.0,,,,0.0,,2.0,,,113.0,
GEOM90.col,90,441,54,12150,81436,OPTIMAL,46,0.031956,0.0929932,0.124949,67.71484,43.0,113.0,0.0,,1357680.0,4233.0,4390.0,53011.0,,4013.0,24823.0,10.0,810.0,5595.0,421.0,,916.0,2.0,,1.0,0.0,,109.0,,,10103.0,
GEOM80.col,80,349,54,10800,68448,OPTIMAL,41,0.0280794,0.0418581,0.0699376,45.53906,22.0,31.0,0.0,,932714.0,1872.0,1901.0,26537.0,,1059.0,26526.0,65.0,449.0,13463.0,22.0,,405.0,,,,0.0,,31.0,,,8293.0,
GEOM90a.col,90,789,80,18720,192184,OPTIMAL,63,0.0637786,8.49527,8.55905,99.89062,3490.0,2464.0,0.0,188307.0,74464600.0,274996.0,279299.0,6455810.0,4864.0,713786.0,441726.0,37.0,117981.0,26628.0,124709.0,2880.0,31900.0,30.0,370.0,13.0,0.0,620.0,155027.0,113540.0,27566.0,1750640.0,4.0
c21_6_d2.col,21,105,11,441,2940,OPTIMAL,9,0.000884131,0.00259998,0.00348411,45.53906,,6.0,0.0,,25863.0,333.0,346.0,2688.0,,200.0,505.0,7.0,65.0,314.0,,,92.0,,,,0.0,,6.0,,,561.0,
GEOM90b.col,90,860,109,26460,285382,OPTIMAL,69,0.103064,40.5127,40.6158,114.87109,40372.0,12775.0,0.0,1046570.0,428073000.0,1782700.0,1810510.0,49316100.0,21170.0,4992580.0,2581340.0,340.0,647284.0,185149.0,1025510.0,5211.0,216120.0,117.0,183.0,57.0,0.0,2590.0,469505.0,279318.0,66965.0,14745500.0,12.0
c55_1_d1.col,55,362,8,825,4161,OPTIMAL,7,0.00137036,0.00446904,0.0058394,45.54297,40.0,6.0,0.0,,40212.0,894.0,903.0,9635.0,,37.0,1348.0,,536.0,279.0,,,143.0,,,,0.0,,4.0,,,4731.0,
