name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,restarts,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,restored,minishrunken,decisions,lucky,weakened,subsumed,minimized,strengthened,vivified,fixed,reduced,substituted,eliminated,chronological,rephased,reactivated,stabilizing,shrunken,walked
GEOM100b.col,100,1050,121,32500,382115,OPTIMAL,71,0.13063,174.643,174.773,139.96484,228442.0,38422.0,0.0,2105150.0,1963780000.0,7477010.0,7598100.0,229320000.0,11235.0,23576000.0,9692440.0,511.0,296445.0,2613770.0,0.0,759966.0,26931.0,321281.0,4448300.0,5240.0,76743.0,874645.0,219.0,105.0,62.0,77004900.0,49.0
c21_7_d1.col,21,105,8,315,1327,OPTIMAL,7,0.000720864,0.00321515,0.00393601,45.64844,22.0,0.0,0.0,,21211.0,578.0,580.0,5529.0,,23.0,662.0,5.0,,348.0,0.0,,,184.0,,,,121.0,,,,2797.0,
GEOM100a.col,100,992,91,24400,271968,OPTIMAL,66,0.0911822,115.884,115.976,133.24609,74598.0,17244.0,0.0,1886730.0,1108930000.0,3905160.0,3968080.0,135801000.0,5297.0,21433900.0,4986450.0,26.0,220134.0,980998.0,0.0,455664.0,13022.0,83070.0,2568700.0,2347.0,58826.0,500356.0,165.0,168.0,62.0,37639800.0,31.0
c21_2_d2.col,21,105,11,441,2946,OPTIMAL,9,0.00135456,0.00284288,0.00419745,45.23438,,5.0,0.0,,18065.0,236.0,248.0,1700.0,,65.0,392.0,7.0,,58.0,0.0,5.0,,328.0,,,,65.0,,,,454.0,
GEOM120.col,120,773,73,23280,186977,OPTIMAL,59,0.0624476,2.46554,2.52799,96.54688,990.0,1146.0,0.0,74375.0,17872200.0,72119.0,73603.0,1377290.0,,125260.0,184603.0,16.0,39855.0,33741.0,0.0,45992.0,302.0,31569.0,23884.0,714.0,11207.0,9253.0,11.0,,3.0,370129.0,2.0
GEOM60b.col,60,366,63,9600,74655,OPTIMAL,41,0.0257492,0.527693,0.553442,68.21094,463.0,325.0,0.0,,12159400.0,26676.0,27463.0,513829.0,122.0,59928.0,103982.0,66.0,29430.0,8557.0,0.0,21713.0,136.0,33514.0,5025.0,602.0,7526.0,6622.0,7.0,,5.0,74013.0,
GEOM20b.col,20,32,16,600,2093,OPTIMAL,13,0.00103049,0.00136448,0.00239498,45.99219,,0.0,0.0,,941.0,6.0,7.0,11.0,,0.0,10.0,14.0,,,0.0,,,415.0,,,,5.0,,,,2.0,
GEOM30.col,30,50,33,2370,9460,OPTIMAL,28,0.00420992,0.00483649,0.00904641,45.92969,,2.0,0.0,,32748.0,73.0,77.0,401.0,,12.0,1912.0,17.0,,8.0,0.0,2.0,,1307.0,,,,20.0,,,,103.0,
c21_6_d1.col,21,105,11,441,2946,OPTIMAL,9,0.00131583,0.00294661,0.00426244,45.50391,,5.0,0.0,,18065.0,236.0,248.0,1700.0,,65.0,392.0,7.0,,58.0,0.0,5.0,,328.0,,,,65.0,,,,454.0,
c21_4_d2.col,21,105,11,441,2946,OPTIMAL,9,0.000879185,0.00198144,0.00286062,45.50391,,5.0,0.0,,18065.0,236.0,248.0,1700.0,,65.0,392.0,7.0,,58.0,0.0,5.0,,328.0,,,,65.0,,,,454.0,
GEOM40.col,40,78,33,3146,13140,OPTIMAL,28,0.00495343,0.00317077,0.0081242,45.76562,,2.0,0.0,,40437.0,73.0,77.0,401.0,,12.0,2568.0,17.0,,8.0,0.0,2.0,,1562.0,,,,20.0,,,,103.0,
c21_3_d1.col,21,105,8,315,1327,OPTIMAL,7,0.000853852,0.00292913,0.00378299,45.51562,22.0,0.0,0.0,,21211.0,578.0,580.0,5529.0,,23.0,662.0,5.0,,348.0,0.0,,,184.0,,,,121.0,,,,2797.0,
GEOM60.col,60,185,36,5100,25762,OPTIMAL,33,0.0128593,0.00732058,0.0201799,45.51562,,1.0,0.0,,50855.0,132.0,135.0,775.0,,20.0,2224.0,7.0,,35.0,0.0,1.0,,1110.0,,,,31.0,,,,200.0,
GEOM70b.col,70,488,76,14000,120345,OPTIMAL,47,0.0383563,2.58929,2.62765,79.03516,2860.0,1450.0,0.0,63984.0,36771300.0,125109.0,128583.0,2787950.0,2240.0,341416.0,274480.0,264.0,68295.0,42967.0,0.0,75959.0,335.0,74551.0,46545.0,1646.0,16799.0,24969.0,23.0,54.0,17.0,613187.0,1.0
c21_1_d1.col,21,105,8,315,1327,OPTIMAL,7,0.000710714,0.00406731,0.00477802,45.58203,22.0,0.0,0.0,,21211.0,578.0,580.0,5529.0,,23.0,662.0,5.0,,348.0,0.0,,,184.0,,,,121.0,,,,2797.0,
GEOM120b.col,120,1491,123,39480,532076,SATISFIABLE,83,0.180472,3599.82,3600.0,272.16797,3154920.0,691361.0,0.0,4367120.0,24999300000.0,93331900.0,94897500.0,3620940000.0,30883.0,316555000.0,112543000.0,42.0,625292.0,32886200.0,0.0,2302370.0,105000.0,231337.0,59533800.0,13502.0,157544.0,10624800.0,685.0,1545.0,96.0,1173590000.0,193.0
c21_5_d1.col,21,105,8,315,1327,OPTIMAL,7,0.000726963,0.00306616,0.00379312,45.46484,22.0,0.0,0.0,,21211.0,578.0,580.0,5529.0,,23.0,662.0,5.0,,348.0,0.0,,,184.0,,,,121.0,,,,2797.0,
GEOM50.col,50,127,36,4236,19690,OPTIMAL,28,0.00692421,0.00520274,0.0121269,45.46875,,2.0,0.0,,121193.0,94.0,98.0,628.0,,12.0,7497.0,27.0,,8.0,0.0,2.0,,3286.0,,,,36.0,,,,113.0,
GEOM90.col,90,441,54,12150,81463,OPTIMAL,46,0.0280496,0.0930182,0.121068,68.66406,9.0,79.0,0.0,,1400140.0,4165.0,4321.0,49062.0,,2641.0,25806.0,10.0,,1024.0,0.0,77.0,,6126.0,230.0,,,975.0,1.0,,1.0,12122.0,
GEOM80.col,80,349,54,10800,68475,OPTIMAL,41,0.0236499,0.0392277,0.0628776,45.47266,4.0,14.0,0.0,,860447.0,1634.0,1677.0,21087.0,,1690.0,23910.0,65.0,,276.0,0.0,14.0,,14536.0,18.0,,,317.0,,,,5002.0,
