name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,subsumed,restarts,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,minishrunken,decisions,lucky,vivified,minimized,strengthened,weakened,fixed,reduced,substituted,chronological,rephased,stabilizing,eliminated,shrunken,walked
GEOM100b.col,100,1050,121,18100,208507,OPTIMAL,71,5.19449,165.672,170.866,134.33594,1332360.0,102975.0,23084.0,0.0,1408850.0,1036850000.0,3821280.0,3878040.0,111831000.0,12361400.0,4577740.0,9.0,8602.0,0.0,443947.0,216649.0,882.0,2126980.0,4.0,405477.0,149.0,23.0,55412.0,34437400.0,42.0
c21_7_d1.col,21,105,8,231,945,OPTIMAL,7,0.00115996,0.00413057,0.00529053,45.76172,518.0,64.0,8.0,0.0,,30797.0,880.0,891.0,9335.0,123.0,1082.0,1.0,,0.0,8.0,,92.0,,,144.0,,,,4514.0,
GEOM100a.col,100,992,91,17100,187432,OPTIMAL,66,2.01036,194.366,196.377,124.70312,1294280.0,131367.0,23414.0,0.0,1589460.0,1164780000.0,4123850.0,4196090.0,130452000.0,17043500.0,5227660.0,1.0,14091.0,0.0,444495.0,210478.0,402.0,2421560.0,5.0,520362.0,160.0,23.0,53421.0,43121000.0,45.0
c21_2_d2.col,21,105,11,315,1914,OPTIMAL,9,0.00400157,0.00316702,0.00716859,45.85547,100.0,,4.0,0.0,,19191.0,294.0,309.0,2142.0,77.0,382.0,2.0,,0.0,4.0,,145.0,,,56.0,,,,771.0,
GEOM120.col,120,773,73,18000,144280,OPTIMAL,59,0.880923,3.59565,4.47657,95.75,43589.0,2064.0,1455.0,0.0,84670.0,23357300.0,87285.0,89207.0,1651420.0,148875.0,146245.0,1.0,540.0,0.0,82376.0,79560.0,460.0,33841.0,,12718.0,17.0,6.0,21543.0,408496.0,3.0
GEOM60b.col,60,366,63,6000,45037,OPTIMAL,41,0.45659,0.804866,1.26146,67.67578,6846.0,215.0,205.0,0.0,2.0,8103060.0,19550.0,20079.0,381057.0,44480.0,33829.0,3.0,70.0,0.0,20569.0,28860.0,399.0,3690.0,12.0,4248.0,7.0,3.0,7201.0,61788.0,
GEOM20b.col,20,32,16,440,1392,OPTIMAL,13,0.00273308,0.000880732,0.00361381,45.42969,,,0.0,0.0,,674.0,4.0,6.0,6.0,0.0,8.0,4.0,,0.0,,,188.0,,,4.0,,,,1.0,
GEOM30.col,30,50,33,1800,6740,OPTIMAL,28,0.0166276,0.00435923,0.0209868,45.92188,51.0,,1.0,0.0,,26228.0,141.0,147.0,1103.0,19.0,1085.0,2.0,,0.0,1.0,,279.0,,,33.0,,,,370.0,
c21_6_d1.col,21,105,11,315,1914,OPTIMAL,9,0.00416099,0.00383276,0.00799375,45.55859,100.0,,4.0,0.0,,19191.0,294.0,309.0,2142.0,77.0,382.0,2.0,,0.0,4.0,,145.0,,,56.0,,,,771.0,
c21_4_d2.col,21,105,11,315,1914,OPTIMAL,9,0.00417764,0.00390032,0.00807796,45.68359,100.0,,4.0,0.0,,19191.0,294.0,309.0,2142.0,77.0,382.0,2.0,,0.0,4.0,,145.0,,,56.0,,,,771.0,
GEOM40.col,40,78,33,2393,9397,OPTIMAL,28,0.0232475,0.00550326,0.0287508,45.6875,51.0,,1.0,0.0,,38795.0,149.0,159.0,1161.0,19.0,2107.0,,,0.0,1.0,,279.0,,,41.0,,,,370.0,
c21_3_d1.col,21,105,8,231,945,OPTIMAL,7,0.00114711,0.00395483,0.00510193,45.625,518.0,64.0,8.0,0.0,,30797.0,880.0,891.0,9335.0,123.0,1082.0,1.0,,0.0,8.0,,92.0,,,144.0,,,,4514.0,
GEOM60.col,60,185,36,4620,23216,OPTIMAL,33,0.0381172,0.00607146,0.0441887,45.8125,44.0,,0.0,0.0,,37566.0,127.0,128.0,1050.0,4.0,1480.0,,,0.0,,,303.0,,,36.0,,,,322.0,
GEOM70b.col,70,488,76,8330,67255,OPTIMAL,47,0.919332,4.03173,4.95106,78.45703,42038.0,3811.0,1651.0,0.0,76132.0,32424700.0,121095.0,124470.0,2512810.0,273756.0,179506.0,9.0,187.0,0.0,73952.0,64486.0,291.0,38444.0,,22613.0,22.0,9.0,15679.0,640591.0,3.0
c21_1_d1.col,21,105,8,231,945,OPTIMAL,7,0.00116922,0.0041906,0.00535982,45.51953,518.0,64.0,8.0,0.0,,30797.0,880.0,891.0,9335.0,123.0,1082.0,1.0,,0.0,8.0,,92.0,,,144.0,,,,4514.0,
GEOM120b.col,120,1491,123,26280,341175,OPTIMAL,83,6.29974,2523.6,2529.9,273.57031,15537700.0,1684760.0,348028.0,0.0,3366610.0,11499200000.0,43133500.0,43880400.0,1638020000.0,134640000.0,53928800.0,2.0,83132.0,0.0,1829750.0,445085.0,970.0,26814600.0,12.0,5312050.0,452.0,32.0,112790.0,555161000.0,142.0
c21_5_d1.col,21,105,8,231,945,OPTIMAL,7,0.00152054,0.00409972,0.00562026,45.52344,518.0,64.0,8.0,0.0,,30797.0,880.0,891.0,9335.0,123.0,1082.0,1.0,,0.0,8.0,,92.0,,,144.0,,,,4514.0,
GEOM50.col,50,127,36,2993,13155,OPTIMAL,28,0.0512716,0.00830724,0.0595788,45.82422,50.0,,3.0,0.0,,51374.0,178.0,186.0,1429.0,31.0,2588.0,3.0,,0.0,3.0,,267.0,,,51.0,,,,387.0,
GEOM90.col,90,441,54,9900,65068,OPTIMAL,46,0.245319,0.0825716,0.32789,66.45312,772.0,31.0,57.0,0.0,,790160.0,3545.0,3644.0,45005.0,2594.0,10606.0,1.0,,0.0,57.0,,709.0,117.0,,734.0,1.0,1.0,,10206.0,
GEOM80.col,80,349,54,8000,49315,OPTIMAL,41,0.28598,0.049561,0.335541,64.26953,259.0,63.0,22.0,0.0,,392520.0,1318.0,1354.0,14831.0,698.0,8326.0,5.0,,0.0,21.0,,713.0,,,355.0,,,,3715.0,
GEOM90a.col,90,789,80,14220,143734,OPTIMAL,63,1.03239,10.6408,11.6732,95.82422,103269.0,6071.0,3380.0,0.0,209419.0,77875600.0,290732.0,295820.0,6529120.0,727984.0,366544.0,2.0,522.0,0.0,114612.0,95211.0,528.0,144236.0,,35124.0,36.0,12.0,24477.0,1675000.0,7.0
c21_6_d2.col,21,105,11,315,1914,OPTIMAL,9,0.00431335,0.00384489,0.00815824,45.89453,100.0,,4.0,0.0,,19191.0,294.0,309.0,2142.0,77.0,382.0,2.0,,0.0,4.0,,145.0,,,56.0,,,,771.0,
