name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,restarts,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,restored,minishrunken,decisions,lucky,subsumed,minimized,vivified,strengthened,weakened,fixed,reduced,substituted,eliminated,chronological,rephased,reactivated,stabilizing,shrunken,walked
GEOM100b.col,100,1050,121,32496,380795,OPTIMAL,71,0.134269,131.92,132.054,137.29297,111244.0,17631.0,0.0,1762980.0,1045140000.0,3783380.0,3843870.0,114947000.0,14951.0,11232500.0,5353530.0,388.0,1458700.0,0.0,7467.0,678000.0,290896.0,317061.0,2033170.0,4500.0,76258.0,440665.0,145.0,126.0,53.0,42365500.0,29.0
c21_7_d1.col,21,105,8,315,1323,OPTIMAL,7,0.000719572,0.00434473,0.0050643,45.89453,56.0,5.0,0.0,,33223.0,898.0,908.0,9106.0,,37.0,1115.0,3.0,579.0,0.0,,4.0,,178.0,,,,147.0,,,,4560.0,
GEOM100a.col,100,992,91,24371,270898,OPTIMAL,66,0.0919233,102.131,102.223,124.48828,76265.0,16543.0,0.0,1637890.0,896644000.0,3161480.0,3217400.0,102784000.0,11792.0,13878800.0,4237200.0,25.0,973491.0,0.0,6638.0,610420.0,283670.0,80679.0,1827190.0,2165.0,81494.0,416650.0,144.0,1004.0,60.0,34061300.0,26.0
c21_2_d2.col,21,105,11,441,2940,OPTIMAL,9,0.00134855,0.0041959,0.00554445,46.10547,,6.0,0.0,,25863.0,333.0,346.0,2688.0,,200.0,505.0,7.0,65.0,0.0,,6.0,,314.0,,,,92.0,,,,561.0,
GEOM120.col,120,773,73,23244,186286,OPTIMAL,59,0.070822,2.58856,2.65938,98.03516,1042.0,1507.0,0.0,86228.0,23400600.0,80807.0,82613.0,1558360.0,334.0,143394.0,218759.0,16.0,44247.0,0.0,120.0,89339.0,81282.0,30176.0,29853.0,1499.0,22862.0,11378.0,16.0,151.0,8.0,384074.0,1.0
GEOM60b.col,60,366,63,9611,74357,OPTIMAL,41,0.0262727,0.645946,0.672218,68.26172,561.0,438.0,0.0,10693.0,12828300.0,32423.0,33380.0,655785.0,832.0,78305.0,109920.0,90.0,9599.0,0.0,66.0,23358.0,29078.0,32292.0,6580.0,653.0,7614.0,7030.0,9.0,,5.0,92998.0,
GEOM20b.col,20,32,16,657,2356,OPTIMAL,13,0.000789179,0.000924341,0.00171352,45.50391,,0.0,0.0,,1301.0,5.0,7.0,12.0,,0.0,16.0,14.0,,0.0,,,,443.0,,,,4.0,,,,3.0,
GEOM30.col,30,50,33,2406,9913,OPTIMAL,28,0.00435645,0.0053392,0.00969565,45.50391,2.0,8.0,0.0,,34162.0,83.0,88.0,459.0,,9.0,1882.0,17.0,17.0,0.0,,8.0,,1201.0,,,,24.0,,,,99.0,
c21_6_d1.col,21,105,11,441,2940,OPTIMAL,9,0.0013091,0.00424796,0.00555706,45.56641,,6.0,0.0,,25863.0,333.0,346.0,2688.0,,200.0,505.0,7.0,65.0,0.0,,6.0,,314.0,,,,92.0,,,,561.0,
c21_4_d2.col,21,105,11,441,2940,OPTIMAL,9,0.000857777,0.00279453,0.0036523,46.05859,,6.0,0.0,,25863.0,333.0,346.0,2688.0,,200.0,505.0,7.0,65.0,0.0,,6.0,,314.0,,,,92.0,,,,561.0,
