name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,restarts,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,restored,minishrunken,decisions,lucky,subsumed,minimized,vivified,strengthened,weakened,fixed,reduced,substituted,chronological,rephased,reactivated,stabilizing,eliminated,shrunken,walked
GEOM100b.col,100,1050,121,32496,380856,OPTIMAL,71,0.136042,161.732,161.868,141.45312,182505.0,28483.0,0.0,2534300.0,1661660000.0,6101680.0,6203060.0,187880000.0,20418.0,18626000.0,8083390.0,511.0,2162340.0,0.0,12479.0,778911.0,303089.0,322113.0,3585740.0,3902.0,717743.0,205.0,491.0,83.0,79315.0,67195100.0,40.0
c21_7_d1.col,21,105,8,315,1327,OPTIMAL,7,0.000735253,0.00395658,0.00469184,45.59766,22.0,0.0,0.0,,21211.0,578.0,580.0,5529.0,,23.0,662.0,5.0,348.0,0.0,,,,184.0,,,121.0,,,,,2797.0,
GEOM100a.col,100,992,91,24371,270944,OPTIMAL,66,0.0952675,153.485,153.58,128.80469,214109.0,28796.0,0.0,2326360.0,1595380000.0,5884170.0,5987970.0,204473000.0,8831.0,23979300.0,7655430.0,26.0,2012650.0,0.0,24797.0,645026.0,253361.0,82431.0,3518310.0,2964.0,767263.0,199.0,457.0,69.0,71242.0,73269200.0,42.0
c21_2_d2.col,21,105,11,441,2946,OPTIMAL,9,0.00133385,0.00289352,0.00422737,45.48047,,5.0,0.0,,18065.0,236.0,248.0,1700.0,,65.0,392.0,7.0,58.0,0.0,,5.0,,328.0,,,65.0,,,,,454.0,
GEOM120.col,120,773,73,23244,186323,OPTIMAL,59,0.0643926,2.72051,2.7849,97.25,1452.0,1404.0,0.0,113970.0,26248300.0,98974.0,100874.0,1922280.0,332.0,175030.0,222031.0,16.0,49357.0,0.0,119.0,87955.0,80701.0,31472.0,34047.0,1465.0,13563.0,18.0,,10.0,22824.0,523784.0,1.0
GEOM60b.col,60,366,63,9611,74389,OPTIMAL,41,0.0265134,0.849227,0.875741,68.87109,635.0,564.0,0.0,21219.0,18729500.0,50086.0,51494.0,1054850.0,508.0,145656.0,147383.0,90.0,14620.0,0.0,62.0,39102.0,42771.0,33554.0,16116.0,820.0,11524.0,13.0,28.0,8.0,11754.0,143435.0,
GEOM20b.col,20,32,16,657,2364,OPTIMAL,13,0.00115482,0.00182849,0.00298331,45.51172,,0.0,0.0,,8417.0,26.0,27.0,78.0,,0.0,690.0,3.0,,0.0,,,,419.0,,,14.0,,,,,3.0,
GEOM30.col,30,50,33,2406,9930,OPTIMAL,28,0.00442759,0.0048571,0.00928468,45.44922,2.0,8.0,0.0,,34060.0,83.0,88.0,459.0,,9.0,1882.0,17.0,17.0,0.0,,8.0,,1435.0,,,24.0,,,,,99.0,
c21_6_d1.col,21,105,11,441,2946,OPTIMAL,9,0.00134363,0.00201852,0.00336215,45.94141,,5.0,0.0,,18065.0,236.0,248.0,1700.0,,65.0,392.0,7.0,58.0,0.0,,5.0,,328.0,,,65.0,,,,,454.0,
c21_4_d2.col,21,105,11,441,2946,OPTIMAL,9,0.00132998,0.00303196,0.00436194,45.51562,,5.0,0.0,,18065.0,236.0,248.0,1700.0,,65.0,392.0,7.0,58.0,0.0,,5.0,,328.0,,,65.0,,,,,454.0,
GEOM40.col,40,78,33,3175,13621,OPTIMAL,28,0.00633264,0.0057138,0.0120464,45.87891,2.0,8.0,0.0,,41652.0,83.0,88.0,459.0,,9.0,2712.0,17.0,17.0,0.0,,8.0,,1734.0,,,24.0,,,,,99.0,
c21_3_d1.col,21,105,8,315,1327,OPTIMAL,7,0.000704908,0.00417465,0.00487956,45.51562,22.0,0.0,0.0,,21211.0,578.0,580.0,5529.0,,23.0,662.0,5.0,348.0,0.0,,,,184.0,,,121.0,,,,,2797.0,
GEOM60.col,60,185,36,5192,26372,OPTIMAL,33,0.0132349,0.00546176,0.0186967,45.81641,,0.0,0.0,,60084.0,132.0,133.0,866.0,,6.0,2621.0,5.0,38.0,0.0,,,,1264.0,,,20.0,,,,,240.0,
GEOM70b.col,70,488,76,13984,119809,OPTIMAL,47,0.0400691,2.23404,2.2741,76.80469,1948.0,1542.0,0.0,41235.0,28193500.0,91528.0,94235.0,1884950.0,1842.0,214595.0,222329.0,284.0,34003.0,0.0,210.0,69514.0,65474.0,74647.0,38411.0,1428.0,18473.0,19.0,258.0,10.0,16612.0,366635.0,1.0
c21_1_d1.col,21,105,8,315,1327,OPTIMAL,7,0.000704868,0.00390289,0.00460776,46.00781,22.0,0.0,0.0,,21211.0,578.0,580.0,5529.0,,23.0,662.0,5.0,348.0,0.0,,,,184.0,,,121.0,,,,,2797.0,
GEOM120b.col,120,1491,123,39480,530281,OPTIMAL,83,0.186115,1332.75,1332.94,198.25781,489949.0,202585.0,0.0,4877520.0,7536870000.0,25270900.0,25695200.0,867522000.0,27161.0,103729000.0,31845500.0,75.0,6952890.0,0.0,53721.0,1922290.0,589834.0,233040.0,17277600.0,14102.0,3143220.0,395.0,1409.0,113.0,156282.0,239034000.0,90.0
c21_5_d1.col,21,105,8,315,1327,OPTIMAL,7,0.000757317,0.00305394,0.00381126,45.46875,22.0,0.0,0.0,,21211.0,578.0,580.0,5529.0,,23.0,662.0,5.0,348.0,0.0,,,,184.0,,,121.0,,,,,2797.0,
GEOM50.col,50,127,36,4324,20441,OPTIMAL,28,0.00708612,0.00516469,0.0122508,45.71875,,10.0,0.0,,123378.0,112.0,117.0,710.0,,7.0,7675.0,27.0,11.0,0.0,,10.0,,3757.0,,,50.0,,,,,113.0,
GEOM90.col,90,441,54,12182,81522,OPTIMAL,46,0.0292908,0.0939731,0.123264,67.62891,1.0,47.0,0.0,,1341940.0,4163.0,4276.0,52833.0,,3601.0,24882.0,10.0,796.0,0.0,,44.0,,6420.0,140.0,,858.0,2.0,,1.0,,10186.0,
GEOM80.col,80,349,54,10820,68657,OPTIMAL,41,0.0228607,0.0442587,0.0671194,45.66016,21.0,24.0,0.0,,1123930.0,2104.0,2150.0,29312.0,,2063.0,32988.0,54.0,393.0,0.0,,23.0,,15047.0,50.0,,446.0,,,,,8077.0,
GEOM90a.col,90,789,80,18713,191313,OPTIMAL,63,0.0727913,11.5184,11.5912,96.67188,5561.0,3240.0,0.0,304486.0,97650300.0,404054.0,409971.0,9420730.0,4259.0,1014770.0,528099.0,37.0,157440.0,0.0,124.0,169874.0,109351.0,28216.0,221043.0,2848.0,46727.0,40.0,,17.0,28030.0,2607170.0,5.0
c21_6_d2.col,21,105,11,441,2946,OPTIMAL,9,0.000870423,0.00201088,0.00288131,45.41406,,5.0,0.0,,18065.0,236.0,248.0,1700.0,,65.0,392.0,7.0,58.0,0.0,,5.0,,328.0,,,65.0,,,,,454.0,
GEOM90b.col,90,860,109,26409,284319,OPTIMAL,69,0.102236,58.454,58.5562,123.25781,52923.0,13118.0,0.0,1427160.0,685871000.0,2856850.0,2896920.0,86441200.0,3161.0,9784950.0,3705740.0,335.0,957081.0,0.0,3574.0,390588.0,162223.0,188229.0,1721630.0,4367.0,308112.0,134.0,99.0,44.0,44670.0,26155600.0,24.0
c55_1_d1.col,55,362,8,825,4165,OPTIMAL,7,0.00177231,0.00453483,0.00630714,45.53906,15.0,9.0,0.0,,53422.0,940.0,978.0,14611.0,,183.0,1608.0,,404.0,0.0,,9.0,,298.0,,,210.0,,,,,6317.0,
