name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,subsumed,restarts,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,minishrunken,decisions,lucky,vivified,minimized,strengthened,weakened,fixed,reduced,substituted,chronological,rephased,stabilizing,eliminated,shrunken,walked
GEOM100b.col,100,1050,121,18098,207850,OPTIMAL,71,5.40721,214.432,219.839,138.5,1678890.0,132504.0,20087.0,0.0,1527420.0,1310470000.0,4737150.0,4805300.0,143419000.0,15293500.0,5641500.0,8.0,8741.0,0.0,511743.0,210602.0,1087.0,2671580.0,3.0,501097.0,166.0,22.0,55947.0,50816500.0,48.0
c21_7_d1.col,21,105,8,231,945,OPTIMAL,7,0.00195513,0.00634448,0.00829961,46.03125,518.0,64.0,8.0,0.0,,30797.0,880.0,891.0,9335.0,123.0,1082.0,1.0,,0.0,8.0,,92.0,,,144.0,,,,4514.0,
GEOM100a.col,100,992,91,17098,186361,OPTIMAL,66,2.38736,96.3762,98.7635,123.16016,663162.0,62002.0,13373.0,0.0,1004660.0,583537000.0,1968670.0,2004270.0,57254300.0,7097780.0,2490600.0,1.0,3516.0,0.0,414241.0,186965.0,451.0,1130140.0,,256304.0,105.0,19.0,51671.0,17796400.0,28.0
c21_2_d2.col,21,105,11,315,1914,OPTIMAL,9,0.00443652,0.00392471,0.00836122,45.5625,100.0,,4.0,0.0,,19191.0,294.0,309.0,2142.0,77.0,382.0,2.0,,0.0,4.0,,145.0,,,56.0,,,,771.0,
GEOM120.col,120,773,73,18012,143526,OPTIMAL,59,0.982688,3.09112,4.07381,93.13672,33826.0,1408.0,1248.0,0.0,63737.0,20937400.0,73940.0,75637.0,1403980.0,130654.0,120540.0,1.0,42.0,0.0,63942.0,71579.0,531.0,23439.0,,10685.0,15.0,6.0,20003.0,338721.0,2.0
GEOM60b.col,60,366,63,5968,44561,OPTIMAL,41,0.50447,1.58626,2.09073,70.53125,10831.0,1668.0,416.0,0.0,19670.0,14925400.0,45247.0,46456.0,903512.0,120963.0,81884.0,4.0,30.0,0.0,25170.0,27728.0,702.0,16180.0,2.0,10217.0,12.0,6.0,7444.0,152491.0,1.0
GEOM20b.col,20,32,16,448,1470,OPTIMAL,13,0.0043773,0.00165485,0.00603215,45.93359,,,0.0,0.0,,1430.0,8.0,10.0,17.0,0.0,63.0,3.0,,0.0,,,183.0,,,7.0,,,,3.0,
GEOM30.col,30,50,33,1887,7434,OPTIMAL,28,0.0193775,0.00497742,0.0243549,45.50781,52.0,,1.0,0.0,,26279.0,142.0,148.0,1114.0,20.0,985.0,2.0,,0.0,1.0,,291.0,,,34.0,,,,370.0,
c21_6_d1.col,21,105,11,315,1914,OPTIMAL,9,0.00373544,0.00300671,0.00674215,45.8125,100.0,,4.0,0.0,,19191.0,294.0,309.0,2142.0,77.0,382.0,2.0,,0.0,4.0,,145.0,,,56.0,,,,771.0,
c21_4_d2.col,21,105,11,315,1914,OPTIMAL,9,0.00364621,0.00276732,0.00641352,45.57422,100.0,,4.0,0.0,,19191.0,294.0,309.0,2142.0,77.0,382.0,2.0,,0.0,4.0,,145.0,,,56.0,,,,771.0,
GEOM40.col,40,78,33,2481,10181,OPTIMAL,28,0.0239307,0.00494887,0.0288796,45.875,52.0,,1.0,0.0,,30178.0,145.0,151.0,1139.0,20.0,1416.0,2.0,,0.0,1.0,,291.0,,,37.0,,,,370.0,
c21_3_d1.col,21,105,8,231,945,OPTIMAL,7,0.00185004,0.00597852,0.00782856,45.875,518.0,64.0,8.0,0.0,,30797.0,880.0,891.0,9335.0,123.0,1082.0,1.0,,0.0,8.0,,92.0,,,144.0,,,,4514.0,
GEOM60.col,60,185,36,4616,23237,OPTIMAL,33,0.0418468,0.00699559,0.0488424,45.875,44.0,,0.0,0.0,,44286.0,176.0,179.0,1824.0,25.0,1564.0,,,0.0,,,303.0,,,57.0,,,,504.0,
GEOM70b.col,70,488,76,8295,66869,OPTIMAL,47,0.97532,4.27768,5.253,78.83203,35845.0,3180.0,1827.0,0.0,82130.0,31413800.0,127816.0,130933.0,2626460.0,311312.0,182192.0,9.0,50.0,0.0,55680.0,40334.0,551.0,49615.0,,23158.0,22.0,7.0,10313.0,587968.0,4.0
c21_1_d1.col,21,105,8,231,945,OPTIMAL,7,0.00134399,0.00405204,0.00539602,45.45312,518.0,64.0,8.0,0.0,,30797.0,880.0,891.0,9335.0,123.0,1082.0,1.0,,0.0,8.0,,92.0,,,144.0,,,,4514.0,
GEOM120b.col,120,1491,123,26260,340273,OPTIMAL,83,6.7952,1243.25,1250.04,198.875,4966520.0,425015.0,184713.0,0.0,3419640.0,5343910000.0,17847400.0,18177000.0,586926000.0,71128100.0,23386100.0,2.0,48227.0,0.0,1648680.0,426083.0,1622.0,12218600.0,13.0,2292790.0,308.0,32.0,113462.0,135378000.0,90.0
c21_5_d1.col,21,105,8,231,945,OPTIMAL,7,0.00182225,0.00606135,0.0078836,45.88672,518.0,64.0,8.0,0.0,,30797.0,880.0,891.0,9335.0,123.0,1082.0,1.0,,0.0,8.0,,92.0,,,144.0,,,,4514.0,
GEOM50.col,50,127,36,3094,13946,OPTIMAL,28,0.0522707,0.0122586,0.0645294,46.01172,46.0,,1.0,0.0,,46057.0,176.0,181.0,1360.0,33.0,2045.0,3.0,,0.0,1.0,,253.0,,,51.0,,,,357.0,
GEOM90.col,90,441,54,9965,65404,OPTIMAL,46,0.253164,0.108371,0.361535,66.17969,916.0,24.0,73.0,0.0,,994991.0,4503.0,4653.0,58221.0,3748.0,12154.0,1.0,,0.0,72.0,,622.0,396.0,,977.0,2.0,1.0,,12522.0,
GEOM80.col,80,349,54,7949,48951,OPTIMAL,41,0.308622,0.0554137,0.364036,64.31641,446.0,43.0,9.0,0.0,,462422.0,1474.0,1507.0,16952.0,583.0,9921.0,4.0,,0.0,9.0,,621.0,,,353.0,,,,4989.0,
GEOM90a.col,90,789,80,14228,142969,OPTIMAL,63,1.12351,10.438,11.5615,94.00781,89794.0,5401.0,2420.0,0.0,177552.0,70541100.0,262761.0,266651.0,6277190.0,691290.0,330787.0,2.0,90.0,0.0,97977.0,59365.0,317.0,128924.0,,29849.0,32.0,9.0,16639.0,1686720.0,6.0
c21_6_d2.col,21,105,11,315,1914,OPTIMAL,9,0.00430675,0.0034782,0.00778495,45.46875,100.0,,4.0,0.0,,19191.0,294.0,309.0,2142.0,77.0,382.0,2.0,,0.0,4.0,,145.0,,,56.0,,,,771.0,
GEOM90b.col,90,860,109,15926,169462,OPTIMAL,69,3.47227,93.5142,96.9865,115.65234,766172.0,43848.0,12839.0,0.0,994338.0,574374000.0,2337320.0,2368450.0,66304700.0,7557980.0,2713790.0,6.0,1293.0,0.0,374155.0,171123.0,512.0,1357140.0,,238577.0,129.0,24.0,47860.0,18796200.0,35.0
c55_1_d1.col,55,362,8,605,2997,OPTIMAL,7,0.00401427,0.0039082,0.00792248,45.46875,565.0,52.0,5.0,0.0,,30993.0,852.0,859.0,9211.0,32.0,1115.0,,,0.0,5.0,,110.0,,,173.0,,,,5033.0,
GEOM50a.col,50,238,61,6268,41328,OPTIMAL,50,0.194795,0.405216,0.600011,65.08203,6461.0,400.0,380.0,0.0,4.0,4084740.0,14657.0,15077.0,208922.0,11573.0,22652.0,4.0,22.0,0.0,9265.0,14583.0,264.0,1664.0,,2337.0,4.0,2.0,3828.0,50919.0,
GEOM20a.col,20,37,24,860,3258,OPTIMAL,20,0.0100225,0.00290576,0.0129283,45.53125,4.0,,3.0,0.0,,8323.0,54.0,62.0,266.0,4.0,335.0,4.0,,0.0,3.0,,288.0,,,21.0,,,,30.0,
GEOM100.col,100,547,64,12514,88935,OPTIMAL,50,0.580277,0.705055,1.28533,79.36719,8384.0,237.0,351.0,0.0,8.0,5352900.0,15582.0,15962.0,231435.0,16106.0,32668.0,7.0,5.0,0.0,20140.0,27754.0,316.0,1647.0,2.0,2645.0,5.0,3.0,7561.0,59460.0,
GEOM110.col,110,638,64,13757,101686,OPTIMAL,50,0.66631,0.808442,1.47475,83.77344,8900.0,171.0,394.0,0.0,1.0,5419540.0,16975.0,17443.0,255872.0,19000.0,32676.0,7.0,9.0,0.0,24020.0,30252.0,361.0,2384.0,2.0,3188.0,5.0,3.0,8292.0,57003.0,
c21_5_d2.col,21,105,8,231,945,OPTIMAL,7,0.001812,0.00539875,0.00721075,45.47266,518.0,64.0,8.0,0.0,,30797.0,880.0,891.0,9335.0,123.0,1082.0,1.0,,0.0,8.0,,92.0,,,144.0,,,,4514.0,
c21_8_d2.col,21,105,11,315,1914,OPTIMAL,9,0.00330349,0.00273749,0.00604098,45.53516,100.0,,4.0,0.0,,19191.0,294.0,309.0,2142.0,77.0,382.0,2.0,,0.0,4.0,,145.0,,,56.0,,,,771.0,
c21_7_d2.col,21,105,8,231,945,OPTIMAL,7,0.00160479,0.00429996,0.00590475,45.47266,518.0,64.0,8.0,0.0,,30797.0,880.0,891.0,9335.0,123.0,1082.0,1.0,,0.0,8.0,,92.0,,,144.0,,,,4514.0,
GEOM70a.col,70,459,72,10786,88886,OPTIMAL,61,0.431279,4.22254,4.65381,83.25,70548.0,4714.0,2039.0,0.0,105683.0,31774100.0,146283.0,148880.0,2813590.0,193176.0,183943.0,,65.0,0.0,59198.0,47662.0,473.0,48413.0,,16804.0,21.0,5.0,13069.0,904616.0,5.0
c21_4_d1.col,21,105,11,315,1914,OPTIMAL,9,0.00430573,0.00400194,0.00830767,45.41016,100.0,,4.0,0.0,,19191.0,294.0,309.0,2142.0,77.0,382.0,2.0,,0.0,4.0,,145.0,,,56.0,,,,771.0,
GEOM110b.col,110,1256,121,21991,268833,OPTIMAL,77,5.984,817.663,823.647,189.83984,4904880.0,341948.0,74290.0,0.0,1785800.0,3972680000.0,13854100.0,14049700.0,488712000.0,51180900.0,15772500.0,4.0,33640.0,0.0,887734.0,192172.0,723.0,8275090.0,,1405180.0,225.0,20.0,52499.0,150018000.0,68.0
