name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,restarts,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,minishrunken,decisions,lucky,subsumed,minimized,vivified,strengthened,weakened,fixed,reduced,substituted,chronological,rephased,stabilizing,eliminated,shrunken,walked
GEOM100b.col,100,1050,121,18098,207885,OPTIMAL,71,5.69651,194.269,199.966,140.25781,139718.0,20595.0,0.0,1455750.0,1141070000.0,4228610.0,4293820.0,123709000.0,10893600.0,5120990.0,13.0,1620070.0,0.0,6080.0,483283.0,202037.0,7550.0,2341930.0,26.0,474106.0,160.0,23.0,54370.0,47691700.0,44.0
c21_7_d1.col,21,105,8,231,948,OPTIMAL,7,0.00180759,0.0031977,0.00500529,45.90625,15.0,2.0,0.0,,14911.0,427.0,432.0,3995.0,14.0,478.0,2.0,239.0,0.0,,2.0,,113.0,,,77.0,,,,1978.0,
GEOM100a.col,100,992,91,17098,186394,OPTIMAL,66,2.14606,120.326,122.472,119.34766,72890.0,18761.0,0.0,1247360.0,731656000.0,2529270.0,2575130.0,75881200.0,10100300.0,3209200.0,1.0,768944.0,0.0,3101.0,513534.0,226103.0,3223.0,1493940.0,25.0,334147.0,135.0,24.0,62299.0,22002400.0,37.0
c21_2_d2.col,21,105,11,315,1918,OPTIMAL,9,0.00429438,0.00313472,0.00742911,45.99219,1.0,8.0,0.0,,13906.0,204.0,213.0,1347.0,62.0,284.0,2.0,65.0,0.0,,8.0,,209.0,,,25.0,,,,453.0,
GEOM120.col,120,773,73,18012,143555,OPTIMAL,59,0.929773,3.66138,4.59116,93.67188,1477.0,1394.0,0.0,79020.0,22279400.0,82883.0,84819.0,1559730.0,142747.0,129812.0,1.0,37840.0,0.0,32.0,81306.0,75646.0,1730.0,29867.0,23.0,11730.0,16.0,6.0,20902.0,391434.0,2.0
GEOM60b.col,60,366,63,5968,44581,OPTIMAL,41,0.469433,0.981853,1.45129,68.03906,680.0,405.0,0.0,,9781390.0,24445.0,25170.0,448885.0,51560.0,44242.0,4.0,7238.0,0.0,35.0,20649.0,27630.0,1936.0,4895.0,20.0,5554.0,7.0,4.0,7178.0,78797.0,
GEOM20b.col,20,32,16,448,1476,OPTIMAL,13,0.00307185,0.00105088,0.00412273,45.44141,,0.0,0.0,,2433.0,11.0,12.0,31.0,0.0,186.0,1.0,,0.0,,,,188.0,,,7.0,,,,2.0,
GEOM30.col,30,50,33,1887,7448,OPTIMAL,28,0.0173106,0.00450478,0.0218154,45.50391,,1.0,0.0,,26324.0,142.0,148.0,1114.0,20.0,985.0,2.0,52.0,0.0,,1.0,,521.0,,,34.0,,,,370.0,
c21_6_d1.col,21,105,11,315,1918,OPTIMAL,9,0.00434019,0.00345738,0.00779757,45.94141,1.0,8.0,0.0,,13906.0,204.0,213.0,1347.0,62.0,284.0,2.0,65.0,0.0,,8.0,,209.0,,,25.0,,,,453.0,
c21_4_d2.col,21,105,11,315,1918,OPTIMAL,9,0.00354333,0.00238552,0.00592885,45.51562,1.0,8.0,0.0,,13906.0,204.0,213.0,1347.0,62.0,284.0,2.0,65.0,0.0,,8.0,,209.0,,,25.0,,,,453.0,
GEOM40.col,40,78,33,2481,10195,OPTIMAL,28,0.0244626,0.00515012,0.0296127,45.51562,,1.0,0.0,,29669.0,142.0,148.0,1114.0,20.0,1355.0,2.0,52.0,0.0,,1.0,,533.0,,,34.0,,,,370.0,
c21_3_d1.col,21,105,8,231,948,OPTIMAL,7,0.00114803,0.00224225,0.00339028,45.51562,15.0,2.0,0.0,,14911.0,427.0,432.0,3995.0,14.0,478.0,2.0,239.0,0.0,,2.0,,113.0,,,77.0,,,,1978.0,
GEOM60.col,60,185,36,4616,23253,OPTIMAL,33,0.0407691,0.00574267,0.0465118,45.51562,,0.0,0.0,,35092.0,126.0,127.0,1021.0,4.0,1253.0,1.0,44.0,0.0,,,,496.0,,,35.0,,,,314.0,
