name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,restarts,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,restored,minishrunken,decisions,lucky,subsumed,minimized,vivified,strengthened,weakened,fixed,reduced,substituted,chronological,rephased,reactivated,stabilizing,eliminated,shrunken,walked
GEOM100b.col,100,1050,121,64760,511094,OPTIMAL,71,0.154972,128.741,128.896,150.34766,122678.0,18863.0,0.0,2035870.0,1326380000.0,4672640.0,4743940.0,141764000.0,24656.0,13551700.0,6216300.0,324.0,1736140.0,0.0,19233.0,938441.0,660903.0,620468.0,2635360.0,14020.0,541095.0,183.0,472.0,68.0,195204.0,53041900.0,32.0
c21_7_d1.col,21,105,8,315,1323,OPTIMAL,7,0.000694805,0.00612245,0.00681725,45.89453,56.0,5.0,0.0,,33223.0,898.0,908.0,9106.0,,37.0,1115.0,3.0,579.0,0.0,,4.0,,178.0,,,147.0,,,,,4560.0,
GEOM100a.col,100,992,91,48466,368186,OPTIMAL,66,0.113048,112.925,113.039,150.04688,87173.0,16849.0,0.0,1675300.0,1103040000.0,3966770.0,4033320.0,134568000.0,8855.0,18038700.0,5132220.0,25.0,1082630.0,0.0,13276.0,747040.0,576534.0,153372.0,2579660.0,8939.0,528132.0,163.0,198.0,57.0,177756.0,40954600.0,33.0
c21_2_d2.col,21,105,11,462,3024,OPTIMAL,9,0.00102927,0.00268159,0.00371086,45.85156,,1.0,0.0,,24807.0,352.0,361.0,2726.0,,110.0,406.0,7.0,72.0,0.0,,1.0,,325.0,,,83.0,,,,,952.0,
GEOM120.col,120,773,73,43913,269472,OPTIMAL,59,0.0914014,2.57011,2.66152,110.83203,1629.0,1091.0,0.0,94576.0,27130400.0,70894.0,72553.0,1327890.0,42.0,119803.0,252012.0,16.0,51282.0,0.0,183.0,123040.0,180043.0,54047.0,26101.0,4028.0,10417.0,12.0,14.0,5.0,54639.0,327088.0,1.0
GEOM60b.col,60,366,63,18465,110083,OPTIMAL,41,0.0317636,0.755516,0.787279,75.94922,1858.0,384.0,0.0,11940.0,27112600.0,36816.0,37952.0,690808.0,150.0,77710.0,197111.0,69.0,11555.0,0.0,,37266.0,63090.0,65354.0,10488.0,2641.0,10028.0,11.0,,8.0,18714.0,98383.0,
GEOM20b.col,20,32,16,1006,3709,OPTIMAL,13,0.00146034,0.00192671,0.00338704,45.69531,10.0,0.0,0.0,,16051.0,34.0,35.0,50.0,,0.0,306.0,12.0,,0.0,,,,295.0,,,30.0,,,,,0.0,
GEOM30.col,30,50,33,3229,12879,OPTIMAL,28,0.00467386,0.00616921,0.0108431,45.44531,,2.0,0.0,,161093.0,161.0,169.0,806.0,,2.0,4341.0,,25.0,0.0,,2.0,,1263.0,,,81.0,,,,,242.0,
c21_6_d1.col,21,105,11,462,3024,OPTIMAL,9,0.00124681,0.00398465,0.00523147,45.51172,,1.0,0.0,,24807.0,352.0,361.0,2726.0,,110.0,406.0,7.0,72.0,0.0,,1.0,,325.0,,,83.0,,,,,952.0,
c21_4_d2.col,21,105,11,462,3024,OPTIMAL,9,0.00125437,0.00398349,0.00523785,45.69922,,1.0,0.0,,24807.0,352.0,361.0,2726.0,,110.0,406.0,7.0,72.0,0.0,,1.0,,325.0,,,83.0,,,,,952.0,
GEOM40.col,40,78,33,4605,18959,OPTIMAL,28,0.00775353,0.0105186,0.0182722,45.63672,,2.0,0.0,,188334.0,199.0,207.0,952.0,,2.0,6941.0,,25.0,0.0,,2.0,,1612.0,,,113.0,,,,,263.0,
