name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,restarts,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,restored,minishrunken,decisions,lucky,subsumed,minimized,vivified,strengthened,weakened,fixed,reduced,substituted,eliminated,chronological,rephased,reactivated,stabilizing,shrunken,walked
GEOM100b.col,100,1050,121,64760,511155,OPTIMAL,71,0.155417,145.781,145.937,161.04688,130174.0,18039.0,0.0,1856740.0,1366070000.0,4927620.0,5000790.0,152380000.0,20183.0,15021100.0,6490790.0,543.0,1803020.0,0.0,12337.0,701930.0,534530.0,636067.0,3013760.0,7620.0,159002.0,530269.0,159.0,770.0,41.0,58053400.0,34.0
c21_7_d1.col,21,105,8,315,1327,OPTIMAL,7,0.00070957,0.00407098,0.00478055,44.35547,22.0,0.0,0.0,,21211.0,578.0,580.0,5529.0,,23.0,662.0,5.0,348.0,0.0,,,,184.0,,,,121.0,,,,2797.0,
GEOM100a.col,100,992,91,48466,368232,OPTIMAL,66,0.111449,87.3849,87.4963,136.78125,58813.0,13714.0,0.0,1366880.0,765876000.0,2554540.0,2600690.0,79024100.0,13270.0,9713470.0,3515770.0,26.0,832284.0,0.0,7464.0,785896.0,675720.0,158062.0,1533640.0,7288.0,210682.0,344443.0,131.0,552.0,60.0,24680400.0,22.0
c21_2_d2.col,21,105,11,462,3030,OPTIMAL,9,0.00130052,0.00308091,0.00438143,45.43359,,3.0,0.0,,18011.0,230.0,238.0,1665.0,,91.0,276.0,7.0,42.0,0.0,,3.0,,378.0,,,,59.0,,,,516.0,
GEOM120.col,120,773,73,43913,269509,OPTIMAL,59,0.0870561,2.7745,2.86155,113.34375,887.0,974.0,0.0,93932.0,32862500.0,79108.0,80706.0,1488760.0,1054.0,139465.0,348641.0,16.0,64627.0,0.0,224.0,179992.0,272767.0,55961.0,27924.0,5605.0,83441.0,11558.0,14.0,341.0,6.0,391218.0,1.0
GEOM60b.col,60,366,63,18465,110115,OPTIMAL,41,0.035435,0.865651,0.901086,75.62109,1103.0,359.0,0.0,12237.0,21055600.0,33942.0,34945.0,675207.0,30.0,84146.0,150816.0,43.0,10715.0,0.0,10.0,34861.0,60376.0,68441.0,8112.0,1977.0,18028.0,8692.0,9.0,,5.0,93156.0,
GEOM20b.col,20,32,16,1006,3717,OPTIMAL,13,0.00148874,0.00217252,0.00366126,46.0,10.0,4.0,0.0,,16949.0,38.0,39.0,63.0,,0.0,336.0,12.0,,0.0,,4.0,,540.0,,,,35.0,,,,4.0,
GEOM30.col,30,50,33,3229,12896,OPTIMAL,28,0.00522157,0.0088264,0.014048,45.51172,2.0,1.0,0.0,,178304.0,165.0,172.0,769.0,,8.0,4872.0,,21.0,0.0,,1.0,,1636.0,,,,86.0,,,,217.0,
c21_6_d1.col,21,105,11,462,3030,OPTIMAL,9,0.00131269,0.00335069,0.00466338,45.44922,,3.0,0.0,,18011.0,230.0,238.0,1665.0,,91.0,276.0,7.0,42.0,0.0,,3.0,,378.0,,,,59.0,,,,516.0,
c21_4_d2.col,21,105,11,462,3030,OPTIMAL,9,0.00129876,0.00311444,0.00441321,45.45312,,3.0,0.0,,18011.0,230.0,238.0,1665.0,,91.0,276.0,7.0,42.0,0.0,,3.0,,378.0,,,,59.0,,,,516.0,
GEOM40.col,40,78,33,4605,18976,OPTIMAL,28,0.00604018,0.00639463,0.0124348,45.45703,3.0,3.0,0.0,,194779.0,209.0,216.0,926.0,,3.0,6607.0,,24.0,0.0,,3.0,,2058.0,,,,113.0,,,,265.0,
c21_3_d1.col,21,105,8,315,1327,OPTIMAL,7,0.000684101,0.0039288,0.0046129,45.58203,22.0,0.0,0.0,,21211.0,578.0,580.0,5529.0,,23.0,662.0,5.0,348.0,0.0,,,,184.0,,,,121.0,,,,2797.0,
GEOM60.col,60,185,36,8856,40786,OPTIMAL,33,0.0146476,0.00942896,0.0240766,45.88281,,3.0,0.0,,213489.0,305.0,310.0,1863.0,,27.0,3410.0,,33.0,0.0,,3.0,,1607.0,,,,118.0,,,,311.0,
GEOM70b.col,70,488,76,26033,168477,OPTIMAL,47,0.0497616,2.30049,2.35025,85.125,2514.0,1493.0,0.0,63273.0,39541600.0,93515.0,96299.0,1833210.0,2114.0,182919.0,232406.0,191.0,40553.0,0.0,1004.0,97162.0,136761.0,134673.0,32219.0,3382.0,38743.0,19605.0,19.0,26.0,10.0,383071.0,1.0
c21_1_d1.col,21,105,8,315,1327,OPTIMAL,7,0.000715049,0.0041137,0.00482875,46.07422,22.0,0.0,0.0,,21211.0,578.0,580.0,5529.0,,23.0,662.0,5.0,348.0,0.0,,,,184.0,,,,121.0,,,,2797.0,
GEOM120b.col,120,1491,123,80468,696028,OPTIMAL,83,0.216315,1025.63,1025.85,230.07031,532009.0,168897.0,0.0,3789600.0,5742240000.0,18552600.0,18892000.0,601842000.0,32947.0,64279800.0,24955700.0,42.0,5453550.0,0.0,51719.0,2518410.0,1394100.0,481943.0,12330100.0,13606.0,430843.0,2425530.0,349.0,733.0,115.0,165547000.0,73.0
