name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,restarts,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,minishrunken,decisions,lucky,weakened,subsumed,minimized,strengthened,vivified,fixed,reduced,substituted,chronological,rephased,stabilizing,eliminated,shrunken,walked
GEOM100b.col,100,1050,121,37303,285354,OPTIMAL,71,6.33578,151.139,157.475,155.0,108985.0,19193.0,0.0,1271580.0,911733000.0,3389360.0,3438120.0,97138000.0,9536950.0,4095410.0,13.0,593926.0,1232260.0,0.0,807622.0,7556.0,14783.0,1957960.0,34.0,371674.0,144.0,24.0,184248.0,30930500.0,40.0
c21_7_d1.col,21,105,8,231,948,OPTIMAL,7,0.00170918,0.00317384,0.00488302,45.83203,15.0,2.0,0.0,,14911.0,427.0,432.0,3995.0,14.0,478.0,2.0,,239.0,0.0,2.0,,113.0,,,77.0,,,,1978.0,
GEOM100a.col,100,992,91,34236,256009,OPTIMAL,66,2.4934,183.145,185.639,139.88672,132040.0,19974.0,0.0,1503760.0,1113630000.0,3892610.0,3959850.0,117421000.0,13673200.0,4959420.0,1.0,545502.0,1291740.0,0.0,798094.0,12722.0,6914.0,2343010.0,98.0,496010.0,160.0,26.0,169589.0,41408100.0,44.0
c21_2_d2.col,21,105,11,357,2086,OPTIMAL,9,0.00407849,0.00437069,0.00844918,45.60547,1.0,4.0,0.0,,20043.0,251.0,259.0,2076.0,109.0,297.0,2.0,,50.0,0.0,4.0,,265.0,,,49.0,,,,657.0,
GEOM120.col,120,773,73,34196,209093,OPTIMAL,59,1.11349,3.68981,4.8033,117.96094,1316.0,1249.0,0.0,85223.0,22972100.0,72203.0,73808.0,1326360.0,121696.0,95853.0,1.0,172942.0,46387.0,0.0,132989.0,99.0,3342.0,23317.0,28.0,10003.0,14.0,5.0,53727.0,318208.0,2.0
GEOM60b.col,60,366,63,11262,66105,OPTIMAL,41,0.573404,0.796385,1.36979,74.77344,321.0,235.0,0.0,13.0,9754900.0,16341.0,16852.0,285574.0,28197.0,27214.0,1.0,28102.0,5063.0,0.0,14837.0,1.0,3580.0,2450.0,18.0,3842.0,6.0,4.0,8647.0,46856.0,
GEOM20b.col,20,32,16,715,2498,OPTIMAL,13,0.00439664,0.00134624,0.00574288,45.97656,,1.0,0.0,,2863.0,18.0,21.0,40.0,0.0,86.0,3.0,,,0.0,1.0,,418.0,,,13.0,,,,3.0,
GEOM30.col,30,50,33,2629,10070,OPTIMAL,28,0.0207049,0.00655587,0.0272608,45.55469,,4.0,0.0,,39859.0,164.0,172.0,967.0,30.0,705.0,1.0,,42.0,0.0,4.0,,708.0,,,36.0,,,,335.0,
c21_6_d1.col,21,105,11,357,2086,OPTIMAL,9,0.00303264,0.00275819,0.00579083,45.49219,1.0,4.0,0.0,,20043.0,251.0,259.0,2076.0,109.0,297.0,2.0,,50.0,0.0,4.0,,265.0,,,49.0,,,,657.0,
c21_4_d2.col,21,105,11,357,2086,OPTIMAL,9,0.00261911,0.00261675,0.00523586,45.55469,1.0,4.0,0.0,,20043.0,251.0,259.0,2076.0,109.0,297.0,2.0,,50.0,0.0,4.0,,265.0,,,49.0,,,,657.0,
GEOM40.col,40,78,33,3775,14939,OPTIMAL,28,0.0307027,0.00812347,0.0388262,45.55469,,5.0,0.0,,53290.0,180.0,189.0,1050.0,30.0,977.0,,,42.0,0.0,5.0,,720.0,,,42.0,,,,355.0,
c21_3_d1.col,21,105,8,231,948,OPTIMAL,7,0.00109368,0.00233234,0.00342603,45.49609,15.0,2.0,0.0,,14911.0,427.0,432.0,3995.0,14.0,478.0,2.0,,239.0,0.0,2.0,,113.0,,,77.0,,,,1978.0,
GEOM60.col,60,185,36,7605,35172,OPTIMAL,33,0.0500768,0.0111545,0.0612313,45.49609,,4.0,0.0,,74146.0,223.0,226.0,1592.0,26.0,777.0,,,57.0,0.0,4.0,,823.0,,,61.0,,,,432.0,
GEOM70b.col,70,488,76,15819,97234,OPTIMAL,47,1.15354,4.56637,5.71991,86.28516,3221.0,1639.0,0.0,73227.0,40321500.0,103956.0,106793.0,2019340.0,218331.0,157289.0,6.0,167393.0,43721.0,0.0,136130.0,209.0,5370.0,36704.0,77.0,20197.0,22.0,8.0,50607.0,468726.0,3.0
c21_1_d1.col,21,105,8,231,948,OPTIMAL,7,0.00138002,0.00235754,0.00373756,45.5625,15.0,2.0,0.0,,14911.0,427.0,432.0,3995.0,14.0,478.0,2.0,,239.0,0.0,2.0,,113.0,,,77.0,,,,1978.0,
GEOM120b.col,120,1491,123,53831,451420,OPTIMAL,83,7.48943,1556.05,1563.54,258.35938,680472.0,248295.0,0.0,3699130.0,7001670000.0,25108300.0,25542500.0,880104000.0,87231400.0,31583100.0,2.0,1125570.0,7554910.0,0.0,2234930.0,75377.0,12893.0,17036700.0,130.0,3026270.0,393.0,35.0,351313.0,223681000.0,120.0
c21_5_d1.col,21,105,8,231,948,OPTIMAL,7,0.00120824,0.00258206,0.0037903,45.625,15.0,2.0,0.0,,14911.0,427.0,432.0,3995.0,14.0,478.0,2.0,,239.0,0.0,2.0,,113.0,,,77.0,,,,1978.0,
GEOM50.col,50,127,36,5076,21501,OPTIMAL,28,0.0668172,0.0121024,0.0789196,45.50391,,3.0,0.0,,78934.0,272.0,282.0,1935.0,65.0,1105.0,3.0,,38.0,0.0,3.0,,1076.0,,,71.0,,,,444.0,
GEOM90.col,90,441,54,18868,100963,OPTIMAL,46,0.322503,0.17138,0.493882,76.83594,124.0,88.0,0.0,,1878740.0,4734.0,4868.0,53810.0,3354.0,9260.0,1.0,,1027.0,0.0,87.0,,2409.0,299.0,,905.0,2.0,1.0,,14481.0,
GEOM80.col,80,349,54,14073,73627,OPTIMAL,41,0.370102,0.0764275,0.446529,71.125,23.0,27.0,0.0,,636853.0,1426.0,1476.0,15375.0,611.0,3783.0,5.0,,354.0,0.0,27.0,,2600.0,,,382.0,,,,4552.0,
GEOM90a.col,90,789,80,28671,201569,OPTIMAL,63,1.2802,11.8881,13.1683,113.20703,6535.0,2456.0,0.0,227282.0,87487600.0,313392.0,317755.0,7005370.0,765267.0,386725.0,2.0,222152.0,122437.0,0.0,218875.0,560.0,4392.0,157750.0,63.0,35418.0,35.0,9.0,69242.0,1898160.0,7.0
c21_6_d2.col,21,105,11,357,2086,OPTIMAL,9,0.00282666,0.00287827,0.00570492,46.00391,1.0,4.0,0.0,,20043.0,251.0,259.0,2076.0,109.0,297.0,2.0,,50.0,0.0,4.0,,265.0,,,49.0,,,,657.0,
GEOM90b.col,90,860,109,31910,234237,OPTIMAL,69,3.92913,47.4645,51.3936,132.63281,36661.0,11609.0,0.0,641049.0,327632000.0,1291570.0,1311010.0,32100600.0,2680870.0,1579300.0,3.0,504584.0,501364.0,0.0,542890.0,2197.0,10939.0,652081.0,48.0,147113.0,95.0,21.0,158212.0,9589240.0,22.0
c55_1_d1.col,55,362,8,605,3000,OPTIMAL,7,0.00516662,0.00614808,0.0113147,45.39453,52.0,5.0,0.0,,38896.0,962.0,980.0,11832.0,74.0,1316.0,,,590.0,0.0,5.0,,121.0,,,214.0,,,,6184.0,
GEOM50a.col,50,238,61,10796,59902,OPTIMAL,50,0.237911,0.423139,0.66105,69.14453,317.0,463.0,0.0,5598.0,4260540.0,14808.0,15215.0,211452.0,14398.0,19626.0,4.0,25719.0,5597.0,0.0,12407.0,,2116.0,2189.0,,2293.0,4.0,2.0,7698.0,49799.0,
GEOM20a.col,20,37,24,1298,4838,OPTIMAL,20,0.0103313,0.00314278,0.013474,45.88672,,2.0,0.0,,14116.0,71.0,74.0,299.0,14.0,139.0,4.0,,5.0,0.0,2.0,,817.0,,,19.0,,,,65.0,
GEOM100.col,100,547,64,22954,131362,OPTIMAL,50,0.698688,0.830742,1.52943,93.80859,576.0,342.0,0.0,,7165560.0,17522.0,17994.0,252094.0,19064.0,27054.0,7.0,57279.0,9593.0,0.0,29411.0,,2729.0,1842.0,29.0,3171.0,5.0,3.0,17654.0,70050.0,
GEOM110.col,110,638,64,25626,149803,OPTIMAL,50,0.81821,1.32496,2.14317,102.60938,536.0,326.0,0.0,8.0,10459600.0,20686.0,21179.0,308992.0,21955.0,34167.0,7.0,127960.0,14602.0,0.0,57131.0,6.0,2728.0,2068.0,30.0,3772.0,6.0,3.0,39868.0,84723.0,
c21_5_d2.col,21,105,8,231,948,OPTIMAL,7,0.00130735,0.00255291,0.00386026,45.46094,15.0,2.0,0.0,,14911.0,427.0,432.0,3995.0,14.0,478.0,2.0,,239.0,0.0,2.0,,113.0,,,77.0,,,,1978.0,
c21_8_d2.col,21,105,11,357,2086,OPTIMAL,9,0.00339885,0.0027464,0.00614525,46.01172,1.0,4.0,0.0,,20043.0,251.0,259.0,2076.0,109.0,297.0,2.0,,50.0,0.0,4.0,,265.0,,,49.0,,,,657.0,
c21_7_d2.col,21,105,8,231,948,OPTIMAL,7,0.00134819,0.00277677,0.00412496,45.52344,15.0,2.0,0.0,,14911.0,427.0,432.0,3995.0,14.0,478.0,2.0,,239.0,0.0,2.0,,113.0,,,77.0,,,,1978.0,
GEOM70a.col,70,459,72,19927,126019,OPTIMAL,61,0.505712,3.27528,3.78099,90.66016,2500.0,2013.0,0.0,92370.0,28555300.0,88239.0,90336.0,1663510.0,125351.0,116450.0,1.0,100506.0,45353.0,0.0,85426.0,203.0,2442.0,28477.0,37.0,12727.0,18.0,7.0,31135.0,435345.0,3.0
c21_4_d1.col,21,105,11,357,2086,OPTIMAL,9,0.00301416,0.00263262,0.00564678,46.01953,1.0,4.0,0.0,,20043.0,251.0,259.0,2076.0,109.0,297.0,2.0,,50.0,0.0,4.0,,265.0,,,49.0,,,,657.0,
GEOM110b.col,110,1256,121,44888,361219,OPTIMAL,77,6.74798,1051.4,1058.15,203.08594,496042.0,115619.0,0.0,2666510.0,5102590000.0,19051400.0,19316300.0,655412000.0,63522000.0,21792100.0,7.0,706245.0,6740710.0,0.0,1360430.0,51456.0,13382.0,11426000.0,111.0,1894380.0,304.0,26.0,221474.0,207792000.0,92.0
GEOM80a.col,80,612,79,24839,165338,OPTIMAL,63,0.975499,5.86777,6.84327,103.35156,4934.0,1596.0,0.0,81454.0,49101700.0,155892.0,158612.0,3247640.0,263202.0,196091.0,1.0,121595.0,70235.0,0.0,106712.0,656.0,4204.0,57392.0,42.0,18984.0,21.0,7.0,38340.0,1096160.0,4.0
GEOM30a.col,30,81,32,2887,12642,OPTIMAL,27,0.0251278,0.00627066,0.0313985,45.66016,,6.0,0.0,,42998.0,114.0,122.0,672.0,26.0,249.0,4.0,,9.0,0.0,6.0,,924.0,,,42.0,,,,105.0,
GEOM80b.col,80,663,98,23939,162866,OPTIMAL,60,2.66193,9.02683,11.6888,111.28906,6713.0,3017.0,0.0,121077.0,74830900.0,229954.0,234664.0,4506610.0,331339.0,295746.0,3.0,179885.0,101161.0,0.0,198349.0,981.0,8951.0,86279.0,50.0,32340.0,34.0,12.0,56580.0,1399600.0,7.0
GEOM50b.col,50,249,54,7649,40783,OPTIMAL,35,0.328326,0.139881,0.468207,63.89062,56.0,49.0,0.0,,1514300.0,3056.0,3167.0,48075.0,4694.0,7142.0,2.0,,349.0,0.0,49.0,,3164.0,189.0,,919.0,1.0,1.0,,7982.0,
GEOM60a.col,60,339,61,13316,78830,OPTIMAL,50,0.325427,0.701673,1.0271,78.14453,357.0,571.0,0.0,13383.0,7021160.0,20103.0,20690.0,286607.0,20107.0,27211.0,2.0,33547.0,8315.0,0.0,17577.0,3.0,2002.0,2999.0,25.0,3380.0,7.0,3.0,10169.0,68474.0,
GEOM70.col,70,267,44,11305,55354,OPTIMAL,38,0.13549,0.0595407,0.195031,66.57422,25.0,33.0,0.0,,548382.0,1935.0,1999.0,20336.0,1155.0,3694.0,,,375.0,0.0,32.0,,1553.0,45.0,,420.0,1.0,1.0,,5481.0,
GEOM30b.col,30,81,27,2882,12333,OPTIMAL,26,0.0156077,0.00448955,0.0200972,45.53906,,2.0,0.0,,16171.0,46.0,50.0,178.0,3.0,255.0,,,1.0,0.0,2.0,,408.0,,,26.0,,,,11.0,
c21_3_d2.col,21,105,8,231,948,OPTIMAL,7,0.00136463,0.00275673,0.00412136,45.53906,15.0,2.0,0.0,,14911.0,427.0,432.0,3995.0,14.0,478.0,2.0,,239.0,0.0,2.0,,113.0,,,77.0,,,,1978.0,
c21_8_d1.col,21,105,11,357,2086,OPTIMAL,9,0.00415846,0.00427779,0.00843626,46.02734,1.0,4.0,0.0,,20043.0,251.0,259.0,2076.0,109.0,297.0,2.0,,50.0,0.0,4.0,,265.0,,,49.0,,,,657.0,
c21_1_d2.col,21,105,8,231,948,OPTIMAL,7,0.00111419,0.00225426,0.00336845,45.60156,15.0,2.0,0.0,,14911.0,427.0,432.0,3995.0,14.0,478.0,2.0,,239.0,0.0,2.0,,113.0,,,77.0,,,,1978.0,
GEOM40a.col,40,146,50,5946,29002,OPTIMAL,37,0.138701,0.0408664,0.179567,58.95703,38.0,24.0,0.0,,413224.0,1570.0,1603.0,15506.0,946.0,2445.0,10.0,,341.0,0.0,24.0,,2345.0,,,339.0,,,,3878.0,
GEOM40b.col,40,157,40,5327,26326,OPTIMAL,33,0.0709099,0.0279058,0.0988157,58.05469,9.0,36.0,0.0,,317737.0,942.0,980.0,7583.0,323.0,2138.0,,,121.0,0.0,34.0,,1836.0,,,236.0,,,,1305.0,
c21_2_d1.col,21,105,11,357,2086,OPTIMAL,9,0.00265301,0.00273581,0.00538883,45.48047,1.0,4.0,0.0,,20043.0,251.0,259.0,2076.0,109.0,297.0,2.0,,50.0,0.0,4.0,,265.0,,,49.0,,,,657.0,
GEOM110a.col,110,1207,109,39551,315176,OPTIMAL,69,5.41694,183.764,189.181,167.14453,155712.0,23674.0,0.0,1991510.0,1058040000.0,4519980.0,4595000.0,138452000.0,12635800.0,5829230.0,13.0,737961.0,1602680.0,0.0,1048610.0,9011.0,10415.0,2698180.0,56.0,581834.0,186.0,29.0,230463.0,46725200.0,51.0
GEOM120a.col,120,1434,109,53365,438920,OPTIMAL,82,4.89412,1154.26,1159.15,219.53125,895221.0,152396.0,0.0,3102570.0,4779730000.0,28914500.0,29337300.0,887830000.0,69034400.0,33768000.0,5.0,837904.0,11598900.0,0.0,1770250.0,38569.0,8274.0,16292100.0,116.0,3381660.0,332.0,26.0,259541.0,328294000.0,102.0
c55_2_d2.col,55,362,8,605,3000,OPTIMAL,7,0.00370393,0.00485547,0.00855941,45.84375,52.0,5.0,0.0,,38896.0,962.0,980.0,11832.0,74.0,1316.0,,,590.0,0.0,5.0,,121.0,,,214.0,,,,6184.0,
GEOM20.col,20,20,24,1136,3679,OPTIMAL,21,0.00536337,0.00185753,0.0072209,45.54297,,0.0,0.0,,5132.0,17.0,18.0,53.0,4.0,238.0,2.0,,,0.0,,,302.0,,,10.0,,,,17.0,
