name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,restarts,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,restored,minishrunken,decisions,lucky,subsumed,minimized,vivified,strengthened,weakened,fixed,reduced,substituted,chronological,rephased,reactivated,stabilizing,eliminated,shrunken,walked
GEOM100b.col,100,1050,121,64389,508367,OPTIMAL,71,0.152963,134.034,134.187,148.82031,112308.0,13832.0,0.0,1635010.0,1182820000.0,4065650.0,4126400.0,125411000.0,22881.0,11791800.0,5526960.0,249.0,1533580.0,0.0,9938.0,801982.0,642590.0,620992.0,2393080.0,10538.0,457597.0,160.0,214.0,64.0,190783.0,48092400.0,32.0
c21_7_d1.col,21,105,8,315,1323,OPTIMAL,7,0.000478049,0.00442165,0.0048997,46.27734,56.0,5.0,0.0,,33223.0,898.0,908.0,9106.0,,37.0,1115.0,3.0,579.0,0.0,,4.0,,178.0,,,147.0,,,,,4560.0,
GEOM100a.col,100,992,91,48058,365646,OPTIMAL,66,0.111136,202.713,202.824,141.67578,175749.0,30625.0,0.0,1756250.0,2166990000.0,7670270.0,7793300.0,268264000.0,8982.0,39502800.0,9735220.0,25.0,2227820.0,0.0,27393.0,925061.0,584198.0,151674.0,4785130.0,9185.0,926677.0,221.0,299.0,69.0,177852.0,81909600.0,45.0
c21_2_d2.col,21,105,11,462,3024,OPTIMAL,9,0.00133385,0.00417977,0.00551361,45.92578,,1.0,0.0,,24807.0,352.0,361.0,2726.0,,110.0,406.0,7.0,72.0,0.0,,1.0,,325.0,,,83.0,,,,,952.0,
GEOM120.col,120,773,73,43198,266102,OPTIMAL,59,0.0858192,3.28865,3.37447,117.01562,3723.0,1717.0,0.0,176539.0,44578100.0,145067.0,148203.0,2699510.0,1046.0,198372.0,277773.0,16.0,100727.0,0.0,270.0,206759.0,270983.0,52376.0,47404.0,5537.0,22145.0,26.0,,16.0,82539.0,878427.0,
GEOM60b.col,60,366,63,18162,108561,OPTIMAL,41,0.0312777,0.972537,1.00381,73.88281,1802.0,504.0,0.0,24336.0,31574800.0,56342.0,58092.0,1127720.0,520.0,138811.0,220986.0,69.0,19844.0,0.0,127.0,69076.0,92714.0,64384.0,18469.0,2511.0,13799.0,15.0,,12.0,27799.0,165447.0,
GEOM20b.col,20,32,16,900,3328,OPTIMAL,13,0.00117655,0.00128156,0.0024581,46.0,2.0,2.0,0.0,,5689.0,21.0,28.0,41.0,,0.0,165.0,12.0,,0.0,,2.0,,392.0,,,18.0,,,,,0.0,
GEOM30.col,30,50,33,2943,12061,OPTIMAL,28,0.0037661,0.00553034,0.00929644,45.51562,,8.0,0.0,,159265.0,338.0,350.0,2014.0,,59.0,5038.0,,64.0,0.0,,8.0,,1469.0,,,127.0,,,,,726.0,
c21_6_d1.col,21,105,11,462,3024,OPTIMAL,9,0.00126413,0.00413942,0.00540356,45.51562,,1.0,0.0,,24807.0,352.0,361.0,2726.0,,110.0,406.0,7.0,72.0,0.0,,1.0,,325.0,,,83.0,,,,,952.0,
c21_4_d2.col,21,105,11,462,3024,OPTIMAL,9,0.001317,0.00408383,0.00540083,45.51562,,1.0,0.0,,24807.0,352.0,361.0,2726.0,,110.0,406.0,7.0,72.0,0.0,,1.0,,325.0,,,83.0,,,,,952.0,
GEOM40.col,40,78,33,4211,17748,OPTIMAL,28,0.00519242,0.00596854,0.011161,45.64062,,8.0,0.0,,180080.0,379.0,406.0,2191.0,,59.0,7712.0,,64.0,0.0,,8.0,,1837.0,,,174.0,,,,,756.0,
c21_3_d1.col,21,105,8,315,1323,OPTIMAL,7,0.000474862,0.00423656,0.00471142,45.76562,56.0,5.0,0.0,,33223.0,898.0,908.0,9106.0,,37.0,1115.0,3.0,579.0,0.0,,4.0,,178.0,,,147.0,,,,,4560.0,
GEOM60.col,60,185,36,8418,39258,OPTIMAL,33,0.0117702,0.00913944,0.0209096,45.57812,,10.0,0.0,,201256.0,303.0,309.0,1838.0,,65.0,3842.0,,32.0,0.0,,9.0,,1207.0,,,141.0,,,,,231.0,
GEOM70b.col,70,488,76,25743,166807,OPTIMAL,47,0.0530112,2.15604,2.20905,85.71094,1900.0,1373.0,0.0,59209.0,34937100.0,87212.0,89673.0,1728550.0,1676.0,178158.0,198288.0,263.0,34143.0,0.0,252.0,75996.0,93506.0,129949.0,29632.0,2928.0,18157.0,17.0,,10.0,25860.0,359814.0,
c21_1_d1.col,21,105,8,315,1323,OPTIMAL,7,0.000715024,0.00480991,0.00552494,45.46094,56.0,5.0,0.0,,33223.0,898.0,908.0,9106.0,,37.0,1115.0,3.0,579.0,0.0,,4.0,,178.0,,,147.0,,,,,4560.0,
GEOM120b.col,120,1491,123,79965,692159,SATISFIABLE,83,0.224699,3599.78,3600.0,260.36719,3357650.0,454236.0,0.0,4084100.0,24107300000.0,95531100.0,96901000.0,3780010000.0,30917.0,279687000.0,112790000.0,82.0,36374800.0,0.0,97571.0,2683480.0,1377590.0,467127.0,58343500.0,13627.0,10397500.0,694.0,363.0,106.0,426346.0,1413330000.0,190.0
c21_5_d1.col,21,105,8,315,1323,OPTIMAL,7,0.000690195,0.00610133,0.00679153,46.07812,56.0,5.0,0.0,,33223.0,898.0,908.0,9106.0,,37.0,1115.0,3.0,579.0,0.0,,4.0,,178.0,,,147.0,,,,,4560.0,
GEOM50.col,50,127,36,6365,28587,OPTIMAL,28,0.0124548,0.0149874,0.0274422,45.52734,110.0,1.0,0.0,,729646.0,406.0,412.0,1684.0,,8.0,14569.0,27.0,22.0,0.0,,1.0,,4541.0,,,263.0,,,,,408.0,
GEOM90.col,90,441,54,22009,120803,OPTIMAL,46,0.0370668,0.141742,0.178808,76.51172,33.0,67.0,0.0,,2721600.0,4217.0,4356.0,43896.0,,2715.0,30969.0,10.0,581.0,0.0,,67.0,,8892.0,179.0,,1163.0,2.0,,1.0,,9070.0,
GEOM80.col,80,349,54,18882,100878,OPTIMAL,41,0.0314997,0.0854385,0.116938,72.50781,519.0,12.0,0.0,,5114320.0,2497.0,2535.0,20382.0,,802.0,66582.0,54.0,443.0,0.0,,11.0,,25694.0,22.0,,1080.0,,,,,5605.0,
GEOM90a.col,90,789,80,36809,263657,OPTIMAL,63,0.0839949,8.84339,8.92739,110.69141,7924.0,3054.0,0.0,270439.0,98125700.0,308389.0,313891.0,7270710.0,6760.0,695935.0,500882.0,37.0,151605.0,0.0,720.0,277574.0,237537.0,58154.0,149840.0,1962.0,41436.0,37.0,58.0,18.0,70387.0,1965400.0,3.0
