name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,restarts,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,restored,minishrunken,decisions,lucky,subsumed,minimized,vivified,strengthened,weakened,fixed,reduced,substituted,chronological,rephased,reactivated,stabilizing,eliminated,shrunken,walked
GEOM100b.col,100,1050,121,64389,508428,OPTIMAL,71,0.15097,159.126,159.277,159.90625,164377.0,16825.0,0.0,1962100.0,1550530000.0,5579670.0,5663850.0,181182000.0,20647.0,17573300.0,7250620.0,511.0,2045200.0,0.0,14061.0,753320.0,646409.0,628194.0,3330340.0,13952.0,599659.0,175.0,19.0,52.0,191773.0,72066600.0,39.0
c21_7_d1.col,21,105,8,315,1327,OPTIMAL,7,0.000690536,0.00300395,0.00369449,45.96094,22.0,0.0,0.0,,21211.0,578.0,580.0,5529.0,,23.0,662.0,5.0,348.0,0.0,,,,184.0,,,121.0,,,,,2797.0,
GEOM100a.col,100,992,91,48058,365692,OPTIMAL,66,0.110779,174.96,175.071,141.44141,178460.0,21990.0,0.0,1650590.0,1801270000.0,6345840.0,6450620.0,224537000.0,13450.0,29934600.0,8228930.0,26.0,1956300.0,0.0,25084.0,863906.0,674581.0,156304.0,4016960.0,7559.0,778058.0,194.0,570.0,64.0,209153.0,78249700.0,41.0
c21_2_d2.col,21,105,11,462,3030,OPTIMAL,9,0.000864078,0.00230385,0.00316793,45.91797,,3.0,0.0,,18011.0,230.0,238.0,1665.0,,91.0,276.0,7.0,42.0,0.0,,3.0,,378.0,,,59.0,,,,,516.0,
GEOM120.col,120,773,73,43198,266139,OPTIMAL,59,0.083793,2.70105,2.78485,114.28906,2161.0,1716.0,0.0,125275.0,33052600.0,103713.0,106093.0,1957940.0,66.0,156988.0,226306.0,16.0,68466.0,0.0,224.0,152014.0,177936.0,55951.0,39144.0,3843.0,15817.0,18.0,,10.0,53649.0,502966.0,
GEOM60b.col,60,366,63,18162,108593,OPTIMAL,41,0.0300147,0.758408,0.788422,75.99219,1024.0,360.0,0.0,11542.0,21319600.0,34486.0,35524.0,634135.0,679.0,76000.0,141971.0,66.0,11876.0,0.0,18.0,35885.0,61026.0,67537.0,8388.0,1773.0,8712.0,10.0,,8.0,17892.0,95757.0,
GEOM20b.col,20,32,16,900,3336,OPTIMAL,13,0.00139867,0.00211894,0.00351761,45.25781,,0.0,0.0,,14349.0,31.0,32.0,80.0,,0.0,864.0,,,0.0,,,,424.0,,,20.0,,,,,2.0,
GEOM30.col,30,50,33,2943,12078,OPTIMAL,28,0.00365077,0.00569108,0.00934185,45.44922,,8.0,0.0,,157367.0,338.0,350.0,2014.0,,59.0,5038.0,,64.0,0.0,,8.0,,1731.0,,,127.0,,,,,726.0,
c21_6_d1.col,21,105,11,462,3030,OPTIMAL,9,0.00124663,0.00325682,0.00450345,45.45312,,3.0,0.0,,18011.0,230.0,238.0,1665.0,,91.0,276.0,7.0,42.0,0.0,,3.0,,378.0,,,59.0,,,,,516.0,
c21_4_d2.col,21,105,11,462,3030,OPTIMAL,9,0.00127691,0.0028211,0.00409801,45.45312,,3.0,0.0,,18011.0,230.0,238.0,1665.0,,91.0,276.0,7.0,42.0,0.0,,3.0,,378.0,,,59.0,,,,,516.0,
