name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,subsumed,restarts,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,minishrunken,decisions,lucky,vivified,minimized,strengthened,weakened,fixed,reduced,substituted,chronological,rephased,stabilizing,eliminated,shrunken,walked
GEOM100b.col,100,1050,121,37078,283770,OPTIMAL,71,6.41123,154.655,161.066,160.73828,1195700.0,95266.0,12534.0,0.0,1135420.0,932442000.0,3341570.0,3387630.0,103247000.0,11018500.0,4004120.0,5.0,8678.0,0.0,773776.0,495689.0,932.0,1944200.0,2.0,342596.0,135.0,21.0,154104.0,36403100.0,37.0
c21_7_d1.col,21,105,8,231,945,OPTIMAL,7,0.00169201,0.00588635,0.00757837,45.64453,518.0,64.0,8.0,0.0,,30797.0,880.0,891.0,9335.0,123.0,1082.0,1.0,,0.0,8.0,,92.0,,,144.0,,,,4514.0,
GEOM100a.col,100,992,91,33984,253905,OPTIMAL,66,2.54662,219.233,221.78,147.63672,1384940.0,131686.0,22822.0,0.0,1406360.0,1290100000.0,4371150.0,4446560.0,133727000.0,18018000.0,5458740.0,1.0,16718.0,0.0,841579.0,629147.0,380.0,2728930.0,,558366.0,171.0,25.0,196345.0,42313200.0,48.0
c21_2_d2.col,21,105,11,357,2082,OPTIMAL,9,0.00418273,0.0045956,0.00877833,45.41016,85.0,6.0,2.0,0.0,,25354.0,357.0,365.0,2505.0,98.0,407.0,2.0,,0.0,2.0,,220.0,,,66.0,,,,860.0,
GEOM120.col,120,773,73,33693,206250,OPTIMAL,59,1.15095,3.77803,4.92898,115.73828,42725.0,1722.0,1359.0,0.0,78495.0,23859400.0,73531.0,75128.0,1385960.0,127561.0,100473.0,1.0,82.0,0.0,129268.0,171016.0,485.0,24817.0,,10575.0,15.0,7.0,52973.0,331214.0,2.0
GEOM60b.col,60,366,63,11139,65245,OPTIMAL,41,0.572885,1.01026,1.58315,76.26562,8367.0,475.0,169.0,0.0,14.0,11710200.0,15135.0,15569.0,262735.0,23345.0,26392.0,3.0,1.0,0.0,33372.0,56277.0,554.0,2676.0,20.0,3449.0,5.0,3.0,17331.0,50997.0,
GEOM20b.col,20,32,16,644,2254,OPTIMAL,13,0.00428474,0.00108914,0.00537388,45.67969,,,1.0,0.0,,2840.0,16.0,17.0,34.0,0.0,84.0,3.0,,0.0,1.0,,241.0,,,11.0,,,,0.0,
GEOM30.col,30,50,33,2373,9378,OPTIMAL,28,0.0251823,0.0074681,0.0326504,45.62109,42.0,,4.0,0.0,,40653.0,166.0,174.0,994.0,30.0,727.0,,,0.0,4.0,,389.0,,,34.0,,,,338.0,
c21_6_d1.col,21,105,11,357,2082,OPTIMAL,9,0.00408983,0.0045269,0.00861673,45.49609,85.0,6.0,2.0,0.0,,25354.0,357.0,365.0,2505.0,98.0,407.0,2.0,,0.0,2.0,,220.0,,,66.0,,,,860.0,
c21_4_d2.col,21,105,11,357,2082,OPTIMAL,9,0.00287769,0.00308306,0.00596075,45.43359,85.0,6.0,2.0,0.0,,25354.0,357.0,365.0,2505.0,98.0,407.0,2.0,,0.0,2.0,,220.0,,,66.0,,,,860.0,
