name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,restarts,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,minishrunken,decisions,lucky,subsumed,minimized,vivified,strengthened,weakened,fixed,reduced,substituted,chronological,rephased,stabilizing,eliminated,shrunken,walked
GEOM100b.col,100,1050,121,37078,283805,OPTIMAL,71,6.3229,268.342,274.665,161.48047,141334.0,18154.0,0.0,1630390.0,1543000000.0,5963200.0,6040010.0,186248000.0,21472200.0,6930710.0,13.0,1979150.0,0.0,17891.0,827650.0,495198.0,14599.0,3685190.0,26.0,588876.0,187.0,25.0,153533.0,64778700.0,55.0
c21_7_d1.col,21,105,8,231,948,OPTIMAL,7,0.00175327,0.00344805,0.00520131,45.66406,15.0,2.0,0.0,,14911.0,427.0,432.0,3995.0,14.0,478.0,2.0,239.0,0.0,,2.0,,113.0,,,77.0,,,,1978.0,
GEOM100a.col,100,992,91,33984,253938,OPTIMAL,66,2.43837,116.43,118.869,139.35156,76941.0,16666.0,0.0,1151710.0,780164000.0,2632230.0,2678510.0,75657900.0,9828040.0,3346190.0,1.0,822191.0,0.0,6919.0,719390.0,535026.0,6431.0,1531320.0,98.0,345357.0,134.0,22.0,166431.0,22539600.0,36.0
c21_2_d2.col,21,105,11,357,2086,OPTIMAL,9,0.00413652,0.00400961,0.00814613,45.49609,1.0,4.0,0.0,,20043.0,251.0,259.0,2076.0,109.0,297.0,2.0,50.0,0.0,,4.0,,265.0,,,49.0,,,,657.0,
GEOM120.col,120,773,73,33693,206279,OPTIMAL,59,1.09048,2.94507,4.03554,115.66016,1235.0,1191.0,0.0,75575.0,20367700.0,69660.0,71130.0,1286500.0,122148.0,93747.0,1.0,35156.0,0.0,86.0,81292.0,85817.0,3182.0,27374.0,14.0,9455.0,13.0,5.0,26280.0,300375.0,2.0
GEOM60b.col,60,366,63,11139,65265,OPTIMAL,41,0.566191,1.15283,1.71902,74.98438,460.0,405.0,0.0,10446.0,12322000.0,26575.0,27281.0,473289.0,54857.0,38641.0,3.0,9835.0,0.0,2.0,32017.0,55774.0,3742.0,5921.0,28.0,5616.0,8.0,4.0,17283.0,78638.0,
GEOM20b.col,20,32,16,644,2260,OPTIMAL,13,0.00375208,0.00135354,0.00510562,45.45312,,1.0,0.0,,3537.0,9.0,11.0,18.0,0.0,159.0,1.0,,0.0,,1.0,,250.0,,,3.0,,,,1.0,
GEOM30.col,30,50,33,2373,9392,OPTIMAL,28,0.0187002,0.00592135,0.0246216,45.51562,,4.0,0.0,,40653.0,166.0,174.0,994.0,30.0,737.0,,42.0,0.0,,4.0,,650.0,,,34.0,,,,338.0,
c21_6_d1.col,21,105,11,357,2086,OPTIMAL,9,0.00416819,0.0041555,0.00832368,45.51562,1.0,4.0,0.0,,20043.0,251.0,259.0,2076.0,109.0,297.0,2.0,50.0,0.0,,4.0,,265.0,,,49.0,,,,657.0,
c21_4_d2.col,21,105,11,357,2086,OPTIMAL,9,0.00410073,0.00378968,0.0078904,45.51562,1.0,4.0,0.0,,20043.0,251.0,259.0,2076.0,109.0,297.0,2.0,50.0,0.0,,4.0,,265.0,,,49.0,,,,657.0,
GEOM40.col,40,78,33,3408,13903,OPTIMAL,28,0.0290063,0.00721125,0.0362176,45.94141,,4.0,0.0,,49040.0,168.0,176.0,1005.0,30.0,955.0,,42.0,0.0,,4.0,,727.0,,,36.0,,,,339.0,
c21_3_d1.col,21,105,8,231,948,OPTIMAL,7,0.0010931,0.00224175,0.00333485,46.00391,15.0,2.0,0.0,,14911.0,427.0,432.0,3995.0,14.0,478.0,2.0,239.0,0.0,,2.0,,113.0,,,77.0,,,,1978.0,
GEOM60.col,60,185,36,7305,34009,OPTIMAL,33,0.0536757,0.0110926,0.0647683,46.00391,,4.0,0.0,,73434.0,227.0,230.0,1637.0,27.0,736.0,,57.0,0.0,,4.0,,823.0,,,59.0,,,,421.0,
GEOM70b.col,70,488,76,15612,96160,OPTIMAL,47,1.11174,3.05112,4.16286,86.38281,3350.0,1188.0,0.0,55825.0,27498300.0,79779.0,81993.0,1526140.0,160250.0,125121.0,6.0,31259.0,0.0,177.0,78619.0,83090.0,5446.0,28740.0,40.0,15751.0,17.0,7.0,24746.0,369299.0,3.0
c21_1_d1.col,21,105,8,231,948,OPTIMAL,7,0.00118529,0.0023271,0.0035124,46.07031,15.0,2.0,0.0,,14911.0,427.0,432.0,3995.0,14.0,478.0,2.0,239.0,0.0,,2.0,,113.0,,,77.0,,,,1978.0,
GEOM120b.col,120,1491,123,53469,449150,OPTIMAL,83,7.40757,3264.52,3271.93,262.07422,1793220.0,435300.0,0.0,3978850.0,15098700000.0,57483500.0,58395500.0,2078740000.0,177887000.0,68517000.0,2.0,20088200.0,0.0,88629.0,2606400.0,990931.0,12673.0,36324700.0,129.0,6640640.0,565.0,36.0,306999.0,676864000.0,178.0
