name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,restarts,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,restored,minishrunken,decisions,lucky,weakened,subsumed,minimized,strengthened,vivified,fixed,reduced,substituted,chronological,rephased,reactivated,stabilizing,eliminated,shrunken,walked
GEOM100b.col,100,1050,121,114976,711958,OPTIMAL,71,0.185688,134.847,135.033,192.59766,113216.0,18086.0,0.0,1327870.0,1223060000.0,4041220.0,4103920.0,118058000.0,20785.0,11030700.0,5930950.0,292.0,1006700.0,1687680.0,0.0,748977.0,11187.0,1105710.0,2368840.0,12011.0,473249.0,151.0,82.0,56.0,313497.0,44332500.0,31.0
c21_7_d1.col,21,105,8,315,1323,OPTIMAL,7,0.000691427,0.00624173,0.00693315,45.77344,56.0,5.0,0.0,,33223.0,898.0,908.0,9106.0,,37.0,1115.0,3.0,,579.0,0.0,4.0,,178.0,,,147.0,,,,,4560.0,
GEOM100a.col,100,992,91,81230,499242,OPTIMAL,66,0.135287,178.6,178.735,160.8125,197467.0,26346.0,0.0,1757150.0,1905770000.0,6480260.0,6588500.0,223840000.0,14264.0,30412300.0,9005090.0,25.0,1224750.0,2254260.0,0.0,891556.0,33894.0,250332.0,3877490.0,13916.0,801355.0,192.0,2068.0,58.0,388478.0,74046400.0,47.0
c21_2_d2.col,21,105,11,561,3420,OPTIMAL,9,0.00149966,0.00459613,0.0060958,46.03906,,8.0,0.0,,32861.0,391.0,403.0,3168.0,,220.0,441.0,7.0,,46.0,0.0,8.0,,347.0,,,83.0,,,,,672.0,
GEOM120.col,120,773,73,60140,334380,OPTIMAL,59,0.0902697,3.54259,3.63286,125.46094,2054.0,997.0,0.0,124451.0,38133600.0,101787.0,103564.0,1934330.0,1604.0,179035.0,226590.0,16.0,388538.0,104004.0,0.0,185621.0,491.0,71816.0,32540.0,233.0,14164.0,19.0,,11.0,128390.0,556776.0,1.0
GEOM60b.col,60,366,63,26292,141391,OPTIMAL,41,0.0341824,0.978734,1.01292,80.60156,2058.0,504.0,0.0,23180.0,36321500.0,42889.0,44100.0,772265.0,153.0,86091.0,214340.0,69.0,90239.0,21208.0,0.0,42183.0,185.0,95686.0,11253.0,11.0,11330.0,11.0,,9.0,30267.0,114551.0,
GEOM20b.col,20,32,16,1106,4109,OPTIMAL,13,0.000991477,0.00124737,0.00223885,45.50391,10.0,0.0,0.0,,18118.0,34.0,35.0,50.0,,0.0,374.0,12.0,,,0.0,,,303.0,,,30.0,,,,,0.0,
GEOM30.col,30,50,33,3350,13363,OPTIMAL,28,0.0051147,0.0100891,0.0152038,45.50391,39.0,0.0,0.0,,165937.0,217.0,221.0,1177.0,,10.0,4982.0,13.0,,38.0,0.0,,,1118.0,,,87.0,,,,,441.0,
c21_6_d1.col,21,105,11,561,3420,OPTIMAL,9,0.00141029,0.00332264,0.00473293,45.44141,,8.0,0.0,,32861.0,391.0,403.0,3168.0,,220.0,441.0,7.0,,46.0,0.0,8.0,,347.0,,,83.0,,,,,672.0,
c21_4_d2.col,21,105,11,561,3420,OPTIMAL,9,0.00141539,0.00487297,0.00628836,45.50391,,8.0,0.0,,32861.0,391.0,403.0,3168.0,,220.0,441.0,7.0,,46.0,0.0,8.0,,347.0,,,83.0,,,,,672.0,
