name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,restarts,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,restored,minishrunken,decisions,lucky,subsumed,fixed,reduced,substituted,minimized,vivified,strengthened,weakened,chronological,rephased,reactivated,stabilizing,eliminated,shrunken,walked
GEOM100b.col,100,1050,121,114976,712019,OPTIMAL,71,0.179696,139.22,139.399,190.75781,136827.0,23944.0,0.0,1632050.0,1453460000.0,5006190.0,5083100.0,157614000.0,21761.0,15797500.0,6806630.0,511.0,1963770.0,1133280.0,2925900.0,20246.0,0.0,14703.0,786073.0,1024500.0,543046.0,178.0,66.0,55.0,314657.0,56735800.0,34.0
c21_7_d1.col,21,105,8,315,1327,OPTIMAL,7,0.000701387,0.00341374,0.00411513,45.76562,22.0,0.0,0.0,,21211.0,578.0,580.0,5529.0,,23.0,662.0,5.0,348.0,184.0,,,0.0,,,,121.0,,,,,2797.0,
GEOM100a.col,100,992,91,81230,499288,OPTIMAL,66,0.121743,163.733,163.855,154.16016,193196.0,22310.0,0.0,1813840.0,1772770000.0,5997190.0,6101350.0,209280000.0,18887.0,25842800.0,8732220.0,26.0,2112700.0,262653.0,3679770.0,2897.0,0.0,27690.0,977224.0,1409310.0,763674.0,207.0,735.0,73.0,455523.0,76055400.0,41.0
c21_2_d2.col,21,105,11,561,3426,OPTIMAL,9,0.00132033,0.00287339,0.00419373,45.42188,,10.0,0.0,,16223.0,177.0,188.0,1141.0,,86.0,219.0,7.0,17.0,374.0,,,0.0,,10.0,,38.0,,,,,264.0,
GEOM120.col,120,773,73,60140,334417,OPTIMAL,59,0.0957167,2.81173,2.90745,123.13672,2034.0,1379.0,0.0,85828.0,34385300.0,91699.0,93721.0,1716460.0,280.0,134856.0,287687.0,16.0,76002.0,77639.0,31675.0,,0.0,361.0,124426.0,254716.0,13481.0,18.0,,10.0,84451.0,484572.0,1.0
GEOM60b.col,60,366,63,26292,141423,OPTIMAL,41,0.034638,0.902993,0.937631,81.91406,1574.0,494.0,0.0,19960.0,32868600.0,39360.0,40765.0,759739.0,148.0,87281.0,230717.0,43.0,20724.0,101636.0,11563.0,8.0,0.0,235.0,38400.0,89009.0,11140.0,9.0,,5.0,29958.0,110923.0,
GEOM20b.col,20,32,16,1106,4117,OPTIMAL,13,0.000937461,0.00151902,0.00245648,45.29688,10.0,4.0,0.0,,18652.0,36.0,37.0,57.0,,0.0,391.0,12.0,,611.0,,,0.0,,4.0,,33.0,,,,,2.0,
GEOM30.col,30,50,33,3350,13380,OPTIMAL,28,0.00385579,0.00559411,0.0094499,45.92578,22.0,1.0,0.0,,130122.0,136.0,137.0,536.0,,16.0,3643.0,13.0,13.0,1882.0,,,0.0,,1.0,,71.0,,,,,108.0,
c21_6_d1.col,21,105,11,561,3426,OPTIMAL,9,0.00133233,0.00291872,0.00425105,45.4375,,10.0,0.0,,16223.0,177.0,188.0,1141.0,,86.0,219.0,7.0,17.0,374.0,,,0.0,,10.0,,38.0,,,,,264.0,
c21_4_d2.col,21,105,11,561,3426,OPTIMAL,9,0.00117874,0.00197579,0.00315453,45.98828,,10.0,0.0,,16223.0,177.0,188.0,1141.0,,86.0,219.0,7.0,17.0,374.0,,,0.0,,10.0,,38.0,,,,,264.0,
GEOM40.col,40,78,33,4814,19812,OPTIMAL,28,0.00513664,0.0064753,0.0116119,45.625,28.0,2.0,0.0,,219714.0,214.0,218.0,621.0,,18.0,7513.0,7.0,8.0,1942.0,,,0.0,,2.0,,152.0,,,,,89.0,
c21_3_d1.col,21,105,8,315,1327,OPTIMAL,7,0.000691754,0.00322933,0.00392109,45.5,22.0,0.0,0.0,,21211.0,578.0,580.0,5529.0,,23.0,662.0,5.0,348.0,184.0,,,0.0,,,,121.0,,,,,2797.0,
GEOM60.col,60,185,36,9992,45330,OPTIMAL,33,0.0109922,0.0106937,0.0216859,45.5625,,6.0,0.0,,232886.0,342.0,350.0,2745.0,,89.0,3848.0,,36.0,1711.0,,,0.0,,6.0,,177.0,,,,,599.0,
GEOM70b.col,70,488,76,38792,219513,OPTIMAL,47,0.0535645,2.75173,2.80529,93.42188,4030.0,1390.0,0.0,67888.0,46787200.0,116345.0,119629.0,2302000.0,4394.0,247823.0,291976.0,191.0,60382.0,203589.0,41319.0,,0.0,797.0,81149.0,145744.0,23178.0,19.0,,9.0,44349.0,566066.0,3.0
c21_1_d1.col,21,105,8,315,1327,OPTIMAL,7,0.000688393,0.0040935,0.0047819,46.0625,22.0,0.0,0.0,,21211.0,578.0,580.0,5529.0,,23.0,662.0,5.0,348.0,184.0,,,0.0,,,,121.0,,,,,2797.0,
GEOM120b.col,120,1491,123,157846,1005540.0,OPTIMAL,83,0.249107,1175.19,1175.44,293.77734,913870.0,192412.0,0.0,4667760.0,8412050000.0,29362900.0,29864100.0,1083930000.0,25186.0,101816000.0,38864000.0,42.0,8876910.0,974557.0,19898800.0,22347.0,0.0,76305.0,2367010.0,2573570.0,3748180.0,436.0,688.0,101.0,821054.0,344352000.0,114.0
c21_5_d1.col,21,105,8,315,1327,OPTIMAL,7,0.000690335,0.00340029,0.00409063,45.51172,22.0,0.0,0.0,,21211.0,578.0,580.0,5529.0,,23.0,662.0,5.0,348.0,184.0,,,0.0,,,,121.0,,,,,2797.0,
GEOM50.col,50,127,36,7620,33226,OPTIMAL,28,0.00841864,0.0139566,0.0223752,46.0,106.0,3.0,0.0,,748501.0,503.0,514.0,2372.0,,130.0,16197.0,27.0,35.0,5043.0,,,0.0,,3.0,,299.0,,,,,489.0,
GEOM90.col,90,441,54,29194,149639,OPTIMAL,46,0.0361611,0.179945,0.216107,80.32812,168.0,85.0,0.0,,3804080.0,4564.0,4690.0,45973.0,,2869.0,30687.0,10.0,785.0,12219.0,249.0,,0.0,,82.0,,1188.0,2.0,,1.0,,10701.0,
GEOM80.col,80,349,54,23876,120779,OPTIMAL,41,0.0302389,0.101354,0.131593,71.81641,429.0,22.0,0.0,,6808640.0,2328.0,2406.0,21205.0,,756.0,66417.0,65.0,433.0,34150.0,15.0,,0.0,,22.0,,1055.0,,,,,7027.0,
GEOM90a.col,90,789,80,59720,356224,OPTIMAL,63,0.0850225,9.62068,9.7057,125.625,7420.0,2558.0,0.0,283894.0,128117000.0,333195.0,338331.0,7656730.0,9974.0,878341.0,622286.0,37.0,220172.0,100306.0,170175.0,7955.0,0.0,1226.0,261649.0,528907.0,42325.0,39.0,80.0,18.0,162485.0,2053760.0,4.0
c21_6_d2.col,21,105,11,561,3426,OPTIMAL,9,0.00138582,0.0022942,0.00368002,45.81641,,10.0,0.0,,16223.0,177.0,188.0,1141.0,,86.0,219.0,7.0,17.0,374.0,,,0.0,,10.0,,38.0,,,,,264.0,
