name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,restarts,weakened,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,minishrunken,decisions,lucky,subsumed,strengthened,minimized,vivified,fixed,reduced,chronological,rephased,stabilizing,eliminated,shrunken,walked
GEOM100b.col,100,1050,121,67192,404875,OPTIMAL,71,6.41233,134.683,141.095,179.82812,98909.0,960517.0,16847.0,0.0,752739.0,898352000.0,3019180.0,3067090.0,90310800.0,8462160.0,3640890.0,6.0,1305480.0,801577.0,0.0,8182.0,745.0,1622540.0,334115.0,131.0,24.0,308504.0,32619000.0,35.0
c21_7_d1.col,21,105,8,231,945,OPTIMAL,7,0.00171676,0.00485894,0.0065757,45.64453,64.0,,8.0,0.0,,30797.0,880.0,891.0,9335.0,123.0,1082.0,1.0,518.0,8.0,0.0,,92.0,,144.0,,,,4514.0,
GEOM100a.col,100,992,91,57578,349344,OPTIMAL,66,2.49835,198.75,201.249,167.54297,125968.0,805384.0,24226.0,0.0,1324930.0,1227220000.0,4158090.0,4230230.0,130499000.0,15692200.0,5187530.0,1.0,1400460.0,670009.0,0.0,14658.0,846.0,2520630.0,519404.0,157.0,24.0,258057.0,41582400.0,43.0
c21_2_d2.col,21,105,11,555,2874,OPTIMAL,9,0.00448787,0.00511586,0.00960373,45.48047,6.0,,5.0,0.0,,31911.0,331.0,339.0,2493.0,180.0,382.0,2.0,70.0,5.0,0.0,,21.0,,56.0,,,,637.0,
GEOM120.col,120,773,73,46936,260024,OPTIMAL,59,1.03541,3.90992,4.94533,131.38281,1182.0,247342.0,1341.0,0.0,84146.0,26001200.0,77068.0,78695.0,1486840.0,135998.0,106090.0,1.0,58848.0,140583.0,0.0,244.0,356.0,30879.0,10657.0,14.0,5.0,78402.0,332344.0,2.0
GEOM60b.col,60,366,63,15906,84661,OPTIMAL,41,0.575258,1.75623,2.33149,82.18359,1253.0,85364.0,486.0,0.0,22422.0,20914100.0,42511.0,43702.0,809665.0,103398.0,69687.0,3.0,18032.0,42377.0,0.0,176.0,456.0,11466.0,9621.0,13.0,6.0,26888.0,130670.0,1.0
GEOM20b.col,20,32,16,784,2768,OPTIMAL,13,0.00536063,0.00183315,0.00719378,45.86328,,,0.0,0.0,,2135.0,11.0,13.0,18.0,0.0,56.0,3.0,,,0.0,,146.0,,10.0,,,,0.0,
GEOM30.col,30,50,33,2756,10564,OPTIMAL,28,0.022056,0.00688632,0.0289424,45.92578,,,2.0,0.0,,34441.0,140.0,142.0,832.0,32.0,575.0,2.0,33.0,2.0,0.0,,375.0,,34.0,,,,280.0,
c21_6_d1.col,21,105,11,555,2874,OPTIMAL,9,0.00314686,0.00333133,0.0064782,45.92578,6.0,,5.0,0.0,,31911.0,331.0,339.0,2493.0,180.0,382.0,2.0,70.0,5.0,0.0,,21.0,,56.0,,,,637.0,
c21_4_d2.col,21,105,11,555,2874,OPTIMAL,9,0.00293255,0.00328604,0.0062186,45.92578,6.0,,5.0,0.0,,31911.0,331.0,339.0,2493.0,180.0,382.0,2.0,70.0,5.0,0.0,,21.0,,56.0,,,,637.0,
