name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,restarts,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,minishrunken,decisions,lucky,weakened,subsumed,minimized,strengthened,vivified,fixed,reduced,substituted,chronological,rephased,stabilizing,eliminated,shrunken,walked
GEOM100b.col,100,1050,121,67192,404910,OPTIMAL,71,6.19557,148.571,154.766,193.55469,105976.0,21984.0,0.0,1024300.0,1023830000.0,3510720.0,3567760.0,101757000.0,10166600.0,4304380.0,13.0,1148830.0,1351280.0,0.0,947897.0,8899.0,46417.0,2069230.0,82.0,414159.0,168.0,27.0,368285.0,32544500.0,47.0
c21_7_d1.col,21,105,8,231,948,OPTIMAL,7,0.00149745,0.00248598,0.00398343,45.82812,15.0,2.0,0.0,,14911.0,427.0,432.0,3995.0,14.0,478.0,2.0,,239.0,0.0,2.0,,113.0,,,77.0,,,,1978.0,
GEOM100a.col,100,992,91,57578,349377,OPTIMAL,66,2.39904,184.266,186.665,163.24609,134250.0,20006.0,0.0,1418000.0,1190290000.0,4003650.0,4072880.0,119592000.0,14126800.0,5020250.0,1.0,1140040.0,1522290.0,0.0,905730.0,12979.0,13026.0,2396850.0,307.0,506771.0,161.0,25.0,366494.0,42434100.0,45.0
c21_2_d2.col,21,105,11,555,2878,OPTIMAL,9,0.00357319,0.00255282,0.00612601,45.60547,,6.0,0.0,,18424.0,169.0,179.0,1247.0,75.0,207.0,2.0,,49.0,0.0,6.0,,357.0,,,37.0,,,,398.0,
GEOM120.col,120,773,73,46936,260053,OPTIMAL,59,1.06185,3.78402,4.84587,132.24219,1239.0,1211.0,0.0,83187.0,26094600.0,77310.0,78902.0,1481860.0,135485.0,105570.0,1.0,245787.0,59204.0,0.0,138071.0,254.0,5347.0,25638.0,,10603.0,15.0,5.0,77943.0,360437.0,2.0
GEOM60b.col,60,366,63,15906,84681,OPTIMAL,41,0.554833,1.36952,1.92436,80.19531,823.0,303.0,0.0,22824.0,17016000.0,23838.0,24553.0,436208.0,42975.0,44034.0,1.0,123684.0,20031.0,0.0,50288.0,2.0,7280.0,4770.0,,5870.0,9.0,6.0,39522.0,76515.0,
GEOM20b.col,20,32,16,784,2774,OPTIMAL,13,0.00471829,0.00178057,0.00649887,45.41797,,0.0,0.0,,2864.0,15.0,16.0,28.0,0.0,53.0,3.0,,,0.0,,,476.0,,,10.0,,,,1.0,
GEOM30.col,30,50,33,2756,10578,OPTIMAL,28,0.0181185,0.00588797,0.0240065,45.54297,,2.0,0.0,,34564.0,140.0,142.0,832.0,32.0,564.0,2.0,,33.0,0.0,2.0,,748.0,,,34.0,,,,280.0,
c21_6_d1.col,21,105,11,555,2878,OPTIMAL,9,0.00290416,0.00202589,0.00493005,45.42578,,6.0,0.0,,18424.0,169.0,179.0,1247.0,75.0,207.0,2.0,,49.0,0.0,6.0,,357.0,,,37.0,,,,398.0,
c21_4_d2.col,21,105,11,555,2878,OPTIMAL,9,0.00345218,0.00216966,0.00562183,45.48828,,6.0,0.0,,18424.0,169.0,179.0,1247.0,75.0,207.0,2.0,,49.0,0.0,6.0,,357.0,,,37.0,,,,398.0,
