name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,restarts,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,restored,minishrunken,decisions,lucky,subsumed,minimized,vivified,strengthened,weakened,fixed,reduced,substituted,chronological,rephased,reactivated,stabilizing,eliminated,shrunken,walked
GEOM100b.col,100,1050,121,114137,707359,OPTIMAL,71,0.18716,150.81,150.997,191.88281,129338.0,18587.0,0.0,1542490.0,1570740000.0,5208480.0,5287500.0,163790000.0,20796.0,17362700.0,7050320.0,366.0,1977710.0,0.0,16364.0,748467.0,1001400.0,1099920.0,3243500.0,11716.0,587817.0,176.0,97.0,55.0,311424.0,58887200.0,37.0
c21_7_d1.col,21,105,8,315,1323,OPTIMAL,7,0.000699131,0.00592437,0.0066235,46.07422,56.0,5.0,0.0,,33223.0,898.0,908.0,9106.0,,37.0,1115.0,3.0,579.0,0.0,,4.0,,178.0,,,147.0,,,,,4560.0,
GEOM100a.col,100,992,91,80217,494282,OPTIMAL,66,0.129076,149.228,149.357,163.10547,184936.0,21007.0,0.0,1753080.0,1676040000.0,5513230.0,5608590.0,188236000.0,9813.0,23508300.0,7249260.0,25.0,1972900.0,0.0,25267.0,774178.0,1030820.0,247102.0,3373920.0,12235.0,691826.0,187.0,174.0,65.0,329475.0,71306900.0,36.0
c21_2_d2.col,21,105,11,561,3420,OPTIMAL,9,0.00113566,0.00320392,0.00433958,45.53906,,8.0,0.0,,32861.0,391.0,403.0,3168.0,,220.0,441.0,7.0,46.0,0.0,,8.0,,347.0,,,83.0,,,,,672.0,
GEOM120.col,120,773,73,58712,328158,OPTIMAL,59,0.0833239,2.64785,2.73117,119.58594,1094.0,1051.0,0.0,67093.0,25960900.0,63429.0,64783.0,1194850.0,,113784.0,203860.0,16.0,46404.0,0.0,381.0,76885.0,125741.0,71894.0,21185.0,,8796.0,10.0,,3.0,41413.0,302202.0,2.0
GEOM60b.col,60,366,63,25787,139061,OPTIMAL,41,0.0341467,0.791677,0.825824,80.73828,1915.0,327.0,0.0,22269.0,35942100.0,38383.0,39388.0,764244.0,802.0,87789.0,208062.0,69.0,18767.0,0.0,,35368.0,87806.0,93938.0,8931.0,9.0,10002.0,13.0,,13.0,29118.0,114049.0,
GEOM20b.col,20,32,16,979,3644,OPTIMAL,13,0.000928388,0.00116853,0.00209692,45.49609,2.0,0.0,0.0,,6083.0,25.0,26.0,55.0,,0.0,173.0,12.0,,0.0,,,,412.0,,,13.0,,,,,0.0,
GEOM30.col,30,50,33,2995,12269,OPTIMAL,28,0.00350533,0.00552926,0.00903458,45.625,,2.0,0.0,,149021.0,208.0,210.0,918.0,,31.0,4703.0,,18.0,0.0,,2.0,,1425.0,,,117.0,,,,,158.0,
c21_6_d1.col,21,105,11,561,3420,OPTIMAL,9,0.00136209,0.00467435,0.00603644,45.98828,,8.0,0.0,,32861.0,391.0,403.0,3168.0,,220.0,441.0,7.0,46.0,0.0,,8.0,,347.0,,,83.0,,,,,672.0,
c21_4_d2.col,21,105,11,561,3420,OPTIMAL,9,0.00136019,0.00470705,0.00606723,45.625,,8.0,0.0,,32861.0,391.0,403.0,3168.0,,220.0,441.0,7.0,46.0,0.0,,8.0,,347.0,,,83.0,,,,,672.0,
GEOM40.col,40,78,33,4311,18148,OPTIMAL,28,0.00723057,0.00744991,0.0146805,45.62891,,2.0,0.0,,185684.0,226.0,228.0,972.0,,31.0,8434.0,,18.0,0.0,,2.0,,1801.0,,,138.0,,,,,158.0,
c21_3_d1.col,21,105,8,315,1323,OPTIMAL,7,0.000681743,0.00469325,0.00537499,45.99219,56.0,5.0,0.0,,33223.0,898.0,908.0,9106.0,,37.0,1115.0,3.0,579.0,0.0,,4.0,,178.0,,,147.0,,,,,4560.0,
GEOM60.col,60,185,36,9287,42734,OPTIMAL,33,0.0118797,0.0108299,0.0227097,45.50391,6.0,4.0,0.0,,274168.0,306.0,315.0,1964.0,,51.0,6013.0,,25.0,0.0,,4.0,,1296.0,,,176.0,,,,,378.0,
GEOM70b.col,70,488,76,38264,216891,OPTIMAL,47,0.0595398,2.5896,2.64914,93.95312,4446.0,1353.0,0.0,95410.0,57452900.0,130800.0,134404.0,2675300.0,931.0,260820.0,368849.0,241.0,73099.0,0.0,1089.0,108835.0,202963.0,191053.0,39109.0,66.0,26461.0,26.0,196.0,16.0,66384.0,677126.0,
c21_1_d1.col,21,105,8,315,1323,OPTIMAL,7,0.000684901,0.00621368,0.00689858,45.51172,56.0,5.0,0.0,,33223.0,898.0,908.0,9106.0,,37.0,1115.0,3.0,579.0,0.0,,4.0,,178.0,,,147.0,,,,,4560.0,
GEOM120b.col,120,1491,123,156562,998547,SATISFIABLE,83,0.263088,3599.74,3600.0,314.44922,3360680.0,422569.0,0.0,3490490.0,24482300000.0,96424400.0,97813100.0,3909170000.0,28860.0,313425000.0,114669000.0,82.0,37200900.0,0.0,96046.0,2757190.0,2570300.0,929128.0,58788400.0,21924.0,10528900.0,682.0,740.0,95.0,818941.0,1503630000.0,196.0
c21_5_d1.col,21,105,8,315,1323,OPTIMAL,7,0.000703282,0.00477003,0.00547331,46.01953,56.0,5.0,0.0,,33223.0,898.0,908.0,9106.0,,37.0,1115.0,3.0,579.0,0.0,,4.0,,178.0,,,147.0,,,,,4560.0,
GEOM50.col,50,127,36,6815,30387,OPTIMAL,28,0.00847949,0.0117536,0.0202331,46.02344,114.0,0.0,0.0,,696386.0,411.0,430.0,1476.0,,10.0,17907.0,27.0,26.0,0.0,,,,4807.0,,,266.0,,,,,244.0,
GEOM90.col,90,441,54,27881,144291,OPTIMAL,46,0.0366053,0.170355,0.206961,79.48828,134.0,74.0,0.0,,3576070.0,4747.0,4885.0,48723.0,,2441.0,29947.0,10.0,1024.0,0.0,,74.0,,10222.0,265.0,,1284.0,2.0,,1.0,,13335.0,
GEOM80.col,80,349,54,22527,115458,OPTIMAL,41,0.0299225,0.0977632,0.127686,72.04688,385.0,33.0,0.0,,5741830.0,2372.0,2428.0,19696.0,,760.0,78338.0,54.0,487.0,0.0,,32.0,,30370.0,13.0,,1063.0,,,,,5697.0,
GEOM90a.col,90,789,80,58925,352121,OPTIMAL,63,0.0873219,9.03753,9.12485,124.33594,7148.0,3259.0,0.0,261716.0,118860000.0,346295.0,351781.0,7977580.0,5378.0,784569.0,568602.0,37.0,200480.0,0.0,1216.0,238575.0,388671.0,96338.0,164014.0,1978.0,42940.0,37.0,,16.0,121518.0,2301250.0,5.0
c21_6_d2.col,21,105,11,561,3420,OPTIMAL,9,0.0013754,0.00485482,0.00623022,45.84375,,8.0,0.0,,32861.0,391.0,403.0,3168.0,,220.0,441.0,7.0,46.0,0.0,,8.0,,347.0,,,83.0,,,,,672.0,
GEOM90b.col,90,860,109,86915,526288,OPTIMAL,69,0.134273,43.3751,43.5094,161.61719,40600.0,10139.0,0.0,941132.0,596093000.0,1956870.0,1986320.0,54982300.0,20231.0,5560470.0,2961440.0,81.0,866589.0,0.0,5935.0,693612.0,981464.0,607493.0,1120800.0,5205.0,231192.0,122.0,207.0,57.0,309377.0,17957900.0,15.0
c55_1_d1.col,55,362,8,825,4161,OPTIMAL,7,0.00202021,0.00472758,0.0067478,45.79297,40.0,6.0,0.0,,40212.0,894.0,903.0,9635.0,,37.0,1348.0,,536.0,0.0,,4.0,,279.0,,,143.0,,,,,4731.0,
GEOM50a.col,50,238,61,16201,86603,OPTIMAL,50,0.021061,0.469706,0.490767,71.24219,958.0,503.0,0.0,7182.0,8983970.0,19248.0,19790.0,255704.0,,11890.0,50893.0,42.0,11201.0,0.0,,13709.0,33039.0,12967.0,2966.0,,3694.0,6.0,,4.0,10756.0,76735.0,
GEOM20a.col,20,37,24,1544,6227,OPTIMAL,20,0.00227788,0.00334675,0.00562464,45.54297,4.0,2.0,0.0,,25580.0,93.0,98.0,457.0,,7.0,298.0,18.0,9.0,0.0,,2.0,,832.0,,,21.0,,,,,129.0,
GEOM100.col,100,547,64,38389,207222,OPTIMAL,50,0.0581692,0.720501,0.77867,98.39453,488.0,314.0,0.0,14680.0,9188890.0,14024.0,14391.0,195128.0,,13189.0,65543.0,91.0,16412.0,0.0,1.0,29283.0,75057.0,53936.0,1937.0,,2424.0,4.0,,2.0,24701.0,54408.0,
GEOM110.col,110,638,64,43808,239404,OPTIMAL,50,0.0611112,0.826772,0.887883,104.08984,346.0,424.0,0.0,13813.0,9299660.0,15026.0,15483.0,218683.0,,16568.0,61070.0,91.0,17726.0,0.0,1.0,33500.0,85736.0,61236.0,2127.0,,2838.0,4.0,,2.0,28331.0,50157.0,
c21_5_d2.col,21,105,8,315,1323,OPTIMAL,7,0.000460728,0.00419691,0.00465764,45.73438,56.0,5.0,0.0,,33223.0,898.0,908.0,9106.0,,37.0,1115.0,3.0,579.0,0.0,,4.0,,178.0,,,147.0,,,,,4560.0,
c21_8_d2.col,21,105,11,561,3420,OPTIMAL,9,0.00091719,0.00308732,0.00400451,45.60938,,8.0,0.0,,32861.0,391.0,403.0,3168.0,,220.0,441.0,7.0,46.0,0.0,,8.0,,347.0,,,83.0,,,,,672.0,
c21_7_d2.col,21,105,8,315,1323,OPTIMAL,7,0.000592211,0.00424242,0.00483464,45.54688,56.0,5.0,0.0,,33223.0,898.0,908.0,9106.0,,37.0,1115.0,3.0,579.0,0.0,,4.0,,178.0,,,147.0,,,,,4560.0,
GEOM70a.col,70,459,72,33511,189862,OPTIMAL,61,0.0515604,3.88848,3.94004,92.33594,4845.0,1965.0,0.0,134600.0,46126800.0,192018.0,194959.0,3800880.0,234.0,269418.0,275213.0,,100932.0,0.0,959.0,100322.0,150302.0,21906.0,74980.0,,22835.0,25.0,,9.0,48858.0,1307080.0,4.0
c21_4_d1.col,21,105,11,561,3420,OPTIMAL,9,0.00136285,0.00474147,0.00610432,45.84766,,8.0,0.0,,32861.0,391.0,403.0,3168.0,,220.0,441.0,7.0,46.0,0.0,,8.0,,347.0,,,83.0,,,,,672.0,
