name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,restarts,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,restored,minishrunken,decisions,lucky,subsumed,minimized,vivified,strengthened,weakened,fixed,reduced,substituted,chronological,rephased,reactivated,stabilizing,eliminated,shrunken,walked
GEOM100b.col,100,1050,121,114137,707420,OPTIMAL,71,0.22328,122.439,122.662,194.29297,87384.0,15035.0,0.0,1143080.0,1076560000.0,3370710.0,3424070.0,103727000.0,16372.0,10015600.0,5350680.0,628.0,1509760.0,0.0,9974.0,966969.0,1417230.0,1120690.0,1956710.0,28437.0,389571.0,151.0,550.0,75.0,439080.0,38710200.0,22.0
c21_7_d1.col,21,105,8,315,1327,OPTIMAL,7,0.000731195,0.00402816,0.00475935,45.74219,22.0,0.0,0.0,,21211.0,578.0,580.0,5529.0,,23.0,662.0,5.0,348.0,0.0,,,,184.0,,,121.0,,,,,2797.0,
GEOM100a.col,100,992,91,80217,494328,OPTIMAL,66,0.134966,112.838,112.973,158.99609,76695.0,14941.0,0.0,1351620.0,1038640000.0,3485030.0,3543950.0,115247000.0,8661.0,15176700.0,4844820.0,26.0,1155090.0,0.0,12488.0,815099.0,1023810.0,259294.0,2144870.0,18054.0,463085.0,152.0,364.0,58.0,320054.0,35602400.0,25.0
c21_2_d2.col,21,105,11,561,3426,OPTIMAL,9,0.0014864,0.00256219,0.00404859,45.93359,,10.0,0.0,,16223.0,177.0,188.0,1141.0,,86.0,219.0,7.0,17.0,0.0,,10.0,,374.0,,,38.0,,,,,264.0,
GEOM120.col,120,773,73,58712,328195,OPTIMAL,59,0.0828834,3.4921,3.57498,125.30469,1593.0,947.0,0.0,110185.0,39203800.0,112333.0,114167.0,2283640.0,302.0,206100.0,241857.0,16.0,88893.0,0.0,689.0,164121.0,254831.0,75978.0,49454.0,15.0,15198.0,19.0,,11.0,83970.0,640835.0,1.0
GEOM60b.col,60,366,63,25787,139093,OPTIMAL,41,0.0371811,0.623576,0.660757,79.73047,496.0,178.0,0.0,7272.0,18336000.0,18363.0,18976.0,337257.0,,29657.0,132262.0,66.0,10073.0,0.0,,15266.0,41735.0,100245.0,2985.0,,5029.0,4.0,,4.0,14047.0,72240.0,
GEOM20b.col,20,32,16,979,3652,OPTIMAL,13,0.00143678,0.00133609,0.00277287,45.52344,,0.0,0.0,,16590.0,43.0,44.0,114.0,,0.0,820.0,,,0.0,,,,813.0,,,39.0,,,,,6.0,
GEOM30.col,30,50,33,2995,12286,OPTIMAL,28,0.00326852,0.00514777,0.00841628,46.01953,,2.0,0.0,,146969.0,208.0,210.0,918.0,,31.0,4703.0,,18.0,0.0,,2.0,,1687.0,,,117.0,,,,,158.0,
c21_6_d1.col,21,105,11,561,3426,OPTIMAL,9,0.000990311,0.00195333,0.00294364,46.15234,,10.0,0.0,,16223.0,177.0,188.0,1141.0,,86.0,219.0,7.0,17.0,0.0,,10.0,,374.0,,,38.0,,,,,264.0,
c21_4_d2.col,21,105,11,561,3426,OPTIMAL,9,0.00136845,0.00295693,0.00432538,45.53906,,10.0,0.0,,16223.0,177.0,188.0,1141.0,,86.0,219.0,7.0,17.0,0.0,,10.0,,374.0,,,38.0,,,,,264.0,
