name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,restarts,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,minishrunken,decisions,lucky,subsumed,minimized,vivified,strengthened,weakened,fixed,reduced,chronological,rephased,stabilizing,eliminated,shrunken,walked,substituted
GEOM100b.col,100,1050,121,66678,402170,OPTIMAL,71,6.21658,128.065,134.281,195.53906,87782.0,10994.0,0.0,689569.0,870542000.0,2861670.0,2905330.0,86620000.0,8449420.0,3460210.0,6.0,1223770.0,0.0,7442.0,834432.0,955359.0,1205.0,1569490.0,314430.0,126.0,22.0,307159.0,33241100.0,33.0,
c21_7_d1.col,21,105,8,231,945,OPTIMAL,7,0.0017185,0.00616487,0.00788338,45.48047,64.0,8.0,0.0,,30797.0,880.0,891.0,9335.0,123.0,1082.0,1.0,518.0,0.0,,8.0,,92.0,,144.0,,,,4514.0,,
GEOM100a.col,100,992,91,56930,345689,OPTIMAL,66,2.42196,125.178,127.6,168.05078,80640.0,19422.0,0.0,1138730.0,850790000.0,2787240.0,2839260.0,83676400.0,10798300.0,3646040.0,1.0,940620.0,0.0,9465.0,921963.0,1134620.0,652.0,1679940.0,388108.0,145.0,25.0,364522.0,23442300.0,40.0,
c21_2_d2.col,21,105,11,555,2874,OPTIMAL,9,0.00390847,0.0036475,0.00755597,45.49609,6.0,5.0,0.0,,31911.0,331.0,339.0,2493.0,180.0,382.0,2.0,70.0,0.0,,5.0,,21.0,,56.0,,,,637.0,,
GEOM120.col,120,773,73,45891,255042,OPTIMAL,59,1.02303,4.77043,5.79346,132.40625,1464.0,1249.0,0.0,100990.0,31749000.0,90640.0,92422.0,1727760.0,157954.0,119817.0,1.0,81566.0,0.0,234.0,192702.0,364772.0,523.0,33217.0,12581.0,21.0,8.0,116634.0,447796.0,2.0,
GEOM60b.col,60,366,63,15734,83625,OPTIMAL,41,0.550727,1.34204,1.89276,77.41016,656.0,530.0,0.0,27339.0,15183300.0,33794.0,34746.0,643927.0,85232.0,51487.0,4.0,16031.0,0.0,1.0,36930.0,82705.0,472.0,9956.0,7370.0,10.0,4.0,26164.0,97596.0,,
GEOM20b.col,20,32,16,708,2510,OPTIMAL,13,0.00527523,0.0018658,0.00714104,45.62891,,1.0,0.0,,3461.0,20.0,21.0,46.0,0.0,110.0,3.0,,0.0,,1.0,,259.0,,14.0,,,,0.0,,
GEOM30.col,30,50,33,2428,9598,OPTIMAL,28,0.017991,0.00618878,0.0241798,45.75391,,3.0,0.0,,42106.0,169.0,175.0,981.0,32.0,667.0,,45.0,0.0,,3.0,,434.0,,40.0,,,,332.0,,
c21_6_d1.col,21,105,11,555,2874,OPTIMAL,9,0.00362809,0.00347322,0.00710131,45.44141,6.0,5.0,0.0,,31911.0,331.0,339.0,2493.0,180.0,382.0,2.0,70.0,0.0,,5.0,,21.0,,56.0,,,,637.0,,
c21_4_d2.col,21,105,11,555,2874,OPTIMAL,9,0.0034622,0.00357181,0.00703401,45.56641,6.0,5.0,0.0,,31911.0,331.0,339.0,2493.0,180.0,382.0,2.0,70.0,0.0,,5.0,,21.0,,56.0,,,,637.0,,
