run,seed,success,cpu_seconds,wall_seconds
1,0,1,0.000166000,0.000164666
2,1,1,0.000154000,0.000153137
3,2,1,0.000124000,0.000122990
4,3,1,0.000118000,0.000118222
5,4,1,0.000111000,0.000110409
6,5,1,0.000118000,0.000116906
7,6,1,0.000119000,0.000118625
8,7,1,0.000113000,0.000112899
9,8,1,0.000111000,0.000111166
10,9,1,0.000102000,0.000102215
11,10,1,0.000108000,0.000108492
12,11,1,0.000120000,0.000119863
13,12,1,0.000103000,0.000103092
14,13,1,0.000107000,0.000107568
15,14,1,0.000107000,0.000106353
16,15,1,0.000116000,0.000115606
17,16,1,0.000124000,0.000123650
18,17,1,0.000109000,0.000108759
19,18,1,0.000115000,0.000114713
20,19,1,0.000109000,0.000108908
