run,seed,success,cpu_seconds,wall_seconds
1,0,1,0.001949000,0.001947899
2,1,1,0.002034000,0.002033495
3,2,1,0.004031000,0.004030778
4,3,1,0.000466000,0.000465013
5,4,1,0.000444000,0.000443795
6,5,1,0.002393000,0.002393469
7,6,1,0.002696000,0.002696089
8,7,1,0.001994000,0.001992995
9,8,1,0.004147000,0.004146929
10,9,1,0.001429000,0.001427690
11,10,1,0.001966000,0.001965621
12,11,1,0.005448000,0.005447527
13,12,1,0.002495000,0.002494778
14,13,1,0.002228000,0.002227824
15,14,1,0.004532000,0.004531449
16,15,1,0.002403000,0.002402835
17,16,1,0.005284000,0.005283977
18,17,1,0.001399000,0.001398395
19,18,1,0.001040000,0.001039255
20,19,1,0.000939000,0.000938496
