run,seed,success,cpu_seconds,wall_seconds
1,0,1,0.000647000,0.000645957
2,1,1,0.000656000,0.000655979
3,2,1,0.000661000,0.000661311
4,3,1,0.000669000,0.000668935
5,4,1,0.000615000,0.000615111
6,5,1,0.000606000,0.000606565
7,6,1,0.000601000,0.000600010
8,7,1,0.000851000,0.000849858
9,8,1,0.000626000,0.000626360
10,9,1,0.000714000,0.000713567
11,10,1,0.000616000,0.000614941
12,11,1,0.000600000,0.000599826
13,12,1,0.000594000,0.000594047
14,13,1,0.000596000,0.000595259
15,14,1,0.000579000,0.000578834
16,15,1,0.000642000,0.000642468
17,16,1,0.000717000,0.000715900
18,17,1,0.000614000,0.000614326
19,18,1,0.000653000,0.000652415
20,19,1,0.000585000,0.000584446
