run,seed,success,cpu_seconds,wall_seconds
1,0,0,44.176365000,44.177587337
2,1,0,44.355456000,44.356339252
3,2,0,44.338028000,44.339457939
4,3,0,44.280324000,44.284622048
5,4,0,44.365835000,44.366748509
6,5,0,44.291780000,44.293573654
7,6,0,44.321288000,44.322761877
8,7,0,44.208976000,44.210498872
9,8,0,44.266931000,44.267892296
10,9,0,44.232881000,44.234612248
11,10,0,44.304822000,44.306197753
12,11,0,44.327166000,44.328133588
13,12,0,44.291572000,44.292966800
14,13,0,44.330207000,44.332122473
15,14,0,44.410713000,44.412485337
16,15,0,44.322895000,44.323827675
17,16,0,44.185744000,44.187155748
18,17,0,44.215736000,44.217330293
19,18,0,44.257907000,44.259203810
20,19,0,44.261759000,44.263339775
