name,method,V,E,initial_upper_bound,lower_bound,upper_bound,status,span,variables,clauses,cnf_calls,solver_calls,encoding_time,total_solving_time,time_used,timed_out,optimality_proven,run_id,source_sha,source_dirty,upstream_base_sha,input_sha256,solver_sha256,solver,solver_seed,time_limit,search_strategy,concurrency,command,runner_versions,host,platform,recorded_at
GEOM100.col,POP-S-B,100,547,65,50,50,OPTIMAL,50,6500,42055,17,17,0.541168848,0.627817673,1.168986521,FALSE,TRUE,1,aaee871cf6b933940232689b95a5fea4cdbad2eb,TRUE,8f19dbff4135e6cff9e4b147ebe8462603d5fe03,91be09009a797c20a68cfb43f78cb01019c2cfdb8915d86e640e95938c315b19,bd973250f588bcb893f3b12b622d3d5c9ee8e3c7aa67a862d71c77045cb612db,CaDiCaL 1.9.5,0,3600,descending-linear,1,/home/homulily/code/cadical-1.9.5/build/cadical --seed=0 '<temporary-cnf>',Python 3.14.4; networkx 3.6.1; numpy 2.5.0,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,2026-08-23T18:13:17.560660+07:00
GEOM100.col,POPH-S-B,100,547,65,50,50,OPTIMAL,50,13000,61455,17,17,0.711908257,0.774185125,1.486093382,FALSE,TRUE,1,aaee871cf6b933940232689b95a5fea4cdbad2eb,TRUE,8f19dbff4135e6cff9e4b147ebe8462603d5fe03,91be09009a797c20a68cfb43f78cb01019c2cfdb8915d86e640e95938c315b19,bd973250f588bcb893f3b12b622d3d5c9ee8e3c7aa67a862d71c77045cb612db,CaDiCaL 1.9.5,0,3600,descending-linear,1,/home/homulily/code/cadical-1.9.5/build/cadical --seed=0 '<temporary-cnf>',Python 3.14.4; networkx 3.6.1; numpy 2.5.0,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,2026-08-23T18:13:19.083276+07:00
GEOM100a.col,POP-S-B,100,992,92,66,66,OPTIMAL,66,9200,100464,28,28,2.04495805,226.0437086,228.0886667,FALSE,TRUE,1,aaee871cf6b933940232689b95a5fea4cdbad2eb,TRUE,8f19dbff4135e6cff9e4b147ebe8462603d5fe03,630c8dde843161518427f8d7ef92d9d1373781a7e028e2918c0070a86261b0f7,bd973250f588bcb893f3b12b622d3d5c9ee8e3c7aa67a862d71c77045cb612db,CaDiCaL 1.9.5,0,3600,descending-linear,1,/home/homulily/code/cadical-1.9.5/build/cadical --seed=0 '<temporary-cnf>',Python 3.14.4; networkx 3.6.1; numpy 2.5.0,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,2026-08-23T18:17:35.342328+07:00
GEOM100a.col,POPH-S-B,100,992,92,66,66,OPTIMAL,66,18400,127964,28,28,2.371422958,265.6980305,268.0694534,FALSE,TRUE,1,aaee871cf6b933940232689b95a5fea4cdbad2eb,TRUE,8f19dbff4135e6cff9e4b147ebe8462603d5fe03,630c8dde843161518427f8d7ef92d9d1373781a7e028e2918c0070a86261b0f7,bd973250f588bcb893f3b12b622d3d5c9ee8e3c7aa67a862d71c77045cb612db,CaDiCaL 1.9.5,0,3600,descending-linear,1,/home/homulily/code/cadical-1.9.5/build/cadical --seed=0 '<temporary-cnf>',Python 3.14.4; networkx 3.6.1; numpy 2.5.0,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,2026-08-23T18:22:03.497044+07:00
GEOM100b.col,POP-S-B,100,1050,122,71,71,OPTIMAL,71,12200,140300,53,53,5.000021026,93.93922868,98.93924971,FALSE,TRUE,1,aaee871cf6b933940232689b95a5fea4cdbad2eb,TRUE,8f19dbff4135e6cff9e4b147ebe8462603d5fe03,14092a37b220ef17894222b959c735f68203286fc653930904fe5f13c3741ce5,bd973250f588bcb893f3b12b622d3d5c9ee8e3c7aa67a862d71c77045cb612db,CaDiCaL 1.9.5,0,3600,descending-linear,1,/home/homulily/code/cadical-1.9.5/build/cadical --seed=0 '<temporary-cnf>',Python 3.14.4; networkx 3.6.1; numpy 2.5.0,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,2026-08-23T18:23:42.599156+07:00
GEOM100b.col,POPH-S-B,100,1050,122,71,71,OPTIMAL,71,24400,176800,53,53,6.325441749,72.57629131,78.90173306,FALSE,TRUE,1,aaee871cf6b933940232689b95a5fea4cdbad2eb,TRUE,8f19dbff4135e6cff9e4b147ebe8462603d5fe03,14092a37b220ef17894222b959c735f68203286fc653930904fe5f13c3741ce5,bd973250f588bcb893f3b12b622d3d5c9ee8e3c7aa67a862d71c77045cb612db,CaDiCaL 1.9.5,0,3600,descending-linear,1,/home/homulily/code/cadical-1.9.5/build/cadical --seed=0 '<temporary-cnf>',Python 3.14.4; networkx 3.6.1; numpy 2.5.0,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,2026-08-23T18:25:01.688983+07:00
GEOM110.col,POP-S-B,110,638,65,50,50,OPTIMAL,50,7150,48620,17,17,0.598897712,0.734053534,1.332951246,FALSE,TRUE,1,aaee871cf6b933940232689b95a5fea4cdbad2eb,TRUE,8f19dbff4135e6cff9e4b147ebe8462603d5fe03,2c127a146238aee20765edfcc35a16dc2fd856e5577bfe6afdc859b7dcaddb49,bd973250f588bcb893f3b12b622d3d5c9ee8e3c7aa67a862d71c77045cb612db,CaDiCaL 1.9.5,0,3600,descending-linear,1,/home/homulily/code/cadical-1.9.5/build/cadical --seed=0 '<temporary-cnf>',Python 3.14.4; networkx 3.6.1; numpy 2.5.0,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,2026-08-23T18:25:03.057856+07:00
GEOM110.col,POPH-S-B,110,638,65,50,50,OPTIMAL,50,14300,69960,17,17,0.749146046,0.831614453,1.580760499,FALSE,TRUE,1,aaee871cf6b933940232689b95a5fea4cdbad2eb,TRUE,8f19dbff4135e6cff9e4b147ebe8462603d5fe03,2c127a146238aee20765edfcc35a16dc2fd856e5577bfe6afdc859b7dcaddb49,bd973250f588bcb893f3b12b622d3d5c9ee8e3c7aa67a862d71c77045cb612db,CaDiCaL 1.9.5,0,3600,descending-linear,1,/home/homulily/code/cadical-1.9.5/build/cadical --seed=0 '<temporary-cnf>',Python 3.14.4; networkx 3.6.1; numpy 2.5.0,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,2026-08-23T18:25:04.679320+07:00
GEOM110a.col,POP-S-B,110,1207,110,69,69,OPTIMAL,69,12100,144870,43,43,4.671390238,332.2146988,336.886089,FALSE,TRUE,1,aaee871cf6b933940232689b95a5fea4cdbad2eb,TRUE,8f19dbff4135e6cff9e4b147ebe8462603d5fe03,9c37e408d641c20a1fc834cdfa27c50a49e532300506da93442ee8f07c8f7d3c,bd973250f588bcb893f3b12b622d3d5c9ee8e3c7aa67a862d71c77045cb612db,CaDiCaL 1.9.5,0,3600,descending-linear,1,/home/homulily/code/cadical-1.9.5/build/cadical --seed=0 '<temporary-cnf>',Python 3.14.4; networkx 3.6.1; numpy 2.5.0,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,2026-08-23T18:30:41.711942+07:00
GEOM110a.col,POPH-S-B,110,1207,110,69,69,OPTIMAL,69,24200,181060,43,43,5.197650918,244.595735,249.7933859,FALSE,TRUE,1,aaee871cf6b933940232689b95a5fea4cdbad2eb,TRUE,8f19dbff4135e6cff9e4b147ebe8462603d5fe03,9c37e408d641c20a1fc834cdfa27c50a49e532300506da93442ee8f07c8f7d3c,bd973250f588bcb893f3b12b622d3d5c9ee8e3c7aa67a862d71c77045cb612db,CaDiCaL 1.9.5,0,3600,descending-linear,1,/home/homulily/code/cadical-1.9.5/build/cadical --seed=0 '<temporary-cnf>',Python 3.14.4; networkx 3.6.1; numpy 2.5.0,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,2026-08-23T18:34:51.663400+07:00
GEOM110b.col,POP-S-B,110,1256,122,77,77,OPTIMAL,77,13420,166652,47,47,5.568756856,245.7413148,251.3100717,FALSE,TRUE,1,aaee871cf6b933940232689b95a5fea4cdbad2eb,TRUE,8f19dbff4135e6cff9e4b147ebe8462603d5fe03,aea172a16bc42de0504b35909d35fce000ded1613c496d28ea719a2d44ba7c51,bd973250f588bcb893f3b12b622d3d5c9ee8e3c7aa67a862d71c77045cb612db,CaDiCaL 1.9.5,0,3600,descending-linear,1,/home/homulily/code/cadical-1.9.5/build/cadical --seed=0 '<temporary-cnf>',Python 3.14.4; networkx 3.6.1; numpy 2.5.0,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,2026-08-23T18:39:03.143212+07:00
GEOM110b.col,POPH-S-B,110,1256,122,77,77,OPTIMAL,77,26840,206802,47,47,6.125394566,253.8345106,259.9599052,FALSE,TRUE,1,aaee871cf6b933940232689b95a5fea4cdbad2eb,TRUE,8f19dbff4135e6cff9e4b147ebe8462603d5fe03,aea172a16bc42de0504b35909d35fce000ded1613c496d28ea719a2d44ba7c51,bd973250f588bcb893f3b12b622d3d5c9ee8e3c7aa67a862d71c77045cb612db,CaDiCaL 1.9.5,0,3600,descending-linear,1,/home/homulily/code/cadical-1.9.5/build/cadical --seed=0 '<temporary-cnf>',Python 3.14.4; networkx 3.6.1; numpy 2.5.0,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,2026-08-23T18:43:23.283381+07:00
