name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,timed_out,optimality_proven,run_id,source_sha,source_dirty,input_sha256,binary_sha256,command,host,platform,compiler,runner_versions,concurrency,recorded_at,solver,solver_seed,method,time_limit,incremental,incremental_variable,symmetry_breaking,pairwise,width
GEOM100.col,100,547,65,4900,31703,OPTIMAL,50,0.166357,0.32838,0.494737,69.04688,0,1,1,509f41020245d12b4e03b0c6681826c72245d1f3,False,91be09009a797c20a68cfb43f78cb01019c2cfdb8915d86e640e95938c315b19,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/GEOM100.col 1L -t 3600,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-13T16:43:32.940183+07:00,CaDiCaL,0,1L,3600,False,,False,False,
GEOM100a.col,100,992,92,6500,70980,OPTIMAL,66,0.605512,227.107,227.712,135.63672,0,1,1,509f41020245d12b4e03b0c6681826c72245d1f3,False,630c8dde843161518427f8d7ef92d9d1373781a7e028e2918c0070a86261b0f7,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/GEOM100a.col 1L -t 3600,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-13T16:47:20.811847+07:00,CaDiCaL,0,1L,3600,False,,False,False,
GEOM100b.col,100,1050,122,7000,80500,OPTIMAL,71,1.45874,90.5164,91.9751,109.98828,0,1,1,509f41020245d12b4e03b0c6681826c72245d1f3,False,14092a37b220ef17894222b959c735f68203286fc653930904fe5f13c3741ce5,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/GEOM100b.col 1L -t 3600,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-13T16:48:53.039231+07:00,CaDiCaL,0,1L,3600,False,,False,False,
GEOM110.col,110,638,65,5390,36652,OPTIMAL,50,0.188087,0.39702,0.585107,71.05469,0,1,1,509f41020245d12b4e03b0c6681826c72245d1f3,False,2c127a146238aee20765edfcc35a16dc2fd856e5577bfe6afdc859b7dcaddb49,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/GEOM110.col 1L -t 3600,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-13T16:48:53.702599+07:00,CaDiCaL,0,1L,3600,False,,False,False,
GEOM110a.col,110,1207,110,7480,89556,OPTIMAL,69,1.27858,255.308,256.587,153.74219,0,1,1,509f41020245d12b4e03b0c6681826c72245d1f3,False,9c37e408d641c20a1fc834cdfa27c50a49e532300506da93442ee8f07c8f7d3c,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/GEOM110a.col 1L -t 3600,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-13T17:04:03.389233+07:00,CaDiCaL,0,1L,3600,False,,False,False,
GEOM110b.col,110,1256,122,8360,103816,OPTIMAL,77,1.57023,244.651,246.221,142.49609,0,1,1,509f41020245d12b4e03b0c6681826c72245d1f3,False,aea172a16bc42de0504b35909d35fce000ded1613c496d28ea719a2d44ba7c51,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/GEOM110b.col 1L -t 3600,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-13T17:08:09.824881+07:00,CaDiCaL,0,1L,3600,False,,False,False,
GEOM120.col,120,773,74,6960,51794,OPTIMAL,59,0.258014,1.56851,1.82653,76.25781,0,1,1,509f41020245d12b4e03b0c6681826c72245d1f3,False,26357a9d4e2d8b08cdf055e2a882589f86c22c313fd9674a7f44b405c2aade4a,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/GEOM120.col 1L -t 3600,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-13T17:08:11.695369+07:00,CaDiCaL,0,1L,3600,False,,False,False,
GEOM120a.col,120,1434,110,9720,125874,OPTIMAL,82,1.1101,129.593,130.703,128.40234,0,1,1,509f41020245d12b4e03b0c6681826c72245d1f3,False,a920a2c75d8d4fde3a531cb30857d83f245364a0b88d5a18f86336b96bf07ab6,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/GEOM120a.col 1L -t 3600,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-13T17:10:22.576810+07:00,CaDiCaL,0,1L,3600,False,,False,False,
GEOM120b.col,120,1491,124,9840,132102,OPTIMAL,83,1.77257,2308.1,2309.87,253.90234,0,1,1,509f41020245d12b4e03b0c6681826c72245d1f3,False,745355ab3817a87504580de4d77629dce60b8f48ea8fb2c5da33224e8ef92e29,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/GEOM120b.col 1L -t 3600,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-13T17:48:52.714224+07:00,CaDiCaL,0,1L,3600,False,,False,False,
GEOM20.col,20,20,25,400,800,OPTIMAL,21,0.00161965,0.00158707,0.00320673,51.13672,0,1,1,509f41020245d12b4e03b0c6681826c72245d1f3,False,08ed5ea76ef3bcb2228f4669162b3aa8c234de6a4dd75c3155a603919bc0167a,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/GEOM20.col 1L -t 3600,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-13T17:48:52.768005+07:00,CaDiCaL,0,1L,3600,False,,False,False,
GEOM20a.col,20,37,25,380,1083,OPTIMAL,20,0.00255042,0.00170674,0.00425717,51.13672,0,1,1,509f41020245d12b4e03b0c6681826c72245d1f3,False,5fe086947cbc99c9630087a727d0c9fe00065a9c4f6d6ebea7115ab4a8c161fb,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/GEOM20a.col 1L -t 3600,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-13T17:48:52.877430+07:00,CaDiCaL,0,1L,3600,False,,False,False,
GEOM20b.col,20,32,17,240,624,OPTIMAL,13,0.0012956,0.000836735,0.00213233,51.26172,0,1,1,509f41020245d12b4e03b0c6681826c72245d1f3,False,6be144806384554ada26f70be526ed0d42afb61a447cd96f826be5dbcf60288a,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/GEOM20b.col 1L -t 3600,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-13T17:48:52.981454+07:00,CaDiCaL,0,1L,3600,False,,False,False,
GEOM30.col,30,50,34,810,2160,OPTIMAL,28,0.0053601,0.00317727,0.00853737,51.13672,0,1,1,509f41020245d12b4e03b0c6681826c72245d1f3,False,489bd893683e4c3672aba625abb2643d68f9c2a6d3776c9b26400831c548bd51,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/GEOM30.col 1L -t 3600,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-13T17:48:53.095741+07:00,CaDiCaL,0,1L,3600,False,,False,False,
GEOM30a.col,30,81,33,780,2886,OPTIMAL,27,0.00702993,0.00760388,0.0146338,51.13672,0,1,1,509f41020245d12b4e03b0c6681826c72245d1f3,False,10bfa32a02f1c8633027611fc7eb773d3d5088d3bc49d1419471fc4ca266eca9,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/GEOM30a.col 1L -t 3600,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-13T17:48:53.208728+07:00,CaDiCaL,0,1L,3600,False,,False,False,
GEOM30b.col,30,81,28,750,2775,OPTIMAL,26,0.00318936,0.00132614,0.0045155,51.13672,0,1,1,509f41020245d12b4e03b0c6681826c72245d1f3,False,41e7babfc1e85334f1653ee7e88e11a11b0065ce2d50a72a801b4b00cfe2330a,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/GEOM30b.col 1L -t 3600,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-13T17:48:53.305801+07:00,CaDiCaL,0,1L,3600,False,,False,False,
