name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,timed_out,optimality_proven,run_id,source_sha,source_dirty,input_sha256,binary_sha256,command,host,platform,compiler,runner_versions,concurrency,recorded_at,solver,solver_seed,method,time_limit,incremental,incremental_variable,symmetry_breaking,pairwise,width
GEOM100.col,100,547,65,9800,46304,OPTIMAL,50,0.199672,0.339831,0.539503,71.55859,0,1,1,509f41020245d12b4e03b0c6681826c72245d1f3,FALSE,91be09009a797c20a68cfb43f78cb01019c2cfdb8915d86e640e95938c315b19,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/GEOM100.col 2L -t 3600 --use-symmetry-breaking,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-15T12:08:39.845100+07:00,CaDiCaL,0,2L,3600,FALSE,,TRUE,FALSE,
GEOM100a.col,100,992,92,13000,90381,OPTIMAL,66,0.666584,243.832,244.498,138.76562,0,1,1,509f41020245d12b4e03b0c6681826c72245d1f3,FALSE,630c8dde843161518427f8d7ef92d9d1373781a7e028e2918c0070a86261b0f7,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/GEOM100a.col 2L -t 3600 --use-symmetry-breaking,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-15T12:12:44.482434+07:00,CaDiCaL,0,2L,3600,FALSE,,TRUE,FALSE,
GEOM100b.col,100,1050,122,14000,101401,OPTIMAL,71,1.61253,92.8478,94.4603,126.93359,0,1,1,509f41020245d12b4e03b0c6681826c72245d1f3,FALSE,14092a37b220ef17894222b959c735f68203286fc653930904fe5f13c3741ce5,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/GEOM100b.col 2L -t 3600 --use-symmetry-breaking,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-15T12:14:19.245101+07:00,CaDiCaL,0,2L,3600,FALSE,,TRUE,FALSE,
GEOM110.col,110,638,65,10780,52713,OPTIMAL,50,0.232604,0.62412,0.856724,77.38281,0,1,1,509f41020245d12b4e03b0c6681826c72245d1f3,FALSE,2c127a146238aee20765edfcc35a16dc2fd856e5577bfe6afdc859b7dcaddb49,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/GEOM110.col 2L -t 3600 --use-symmetry-breaking,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-15T12:14:20.221978+07:00,CaDiCaL,0,2L,3600,FALSE,,TRUE,FALSE,
GEOM110a.col,110,1207,110,14960,111887,OPTIMAL,69,1.36122,101.296,102.657,132.03906,0,1,1,509f41020245d12b4e03b0c6681826c72245d1f3,FALSE,9c37e408d641c20a1fc834cdfa27c50a49e532300506da93442ee8f07c8f7d3c,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/GEOM110a.col 2L -t 3600 --use-symmetry-breaking,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-15T12:16:03.083907+07:00,CaDiCaL,0,2L,3600,FALSE,,TRUE,FALSE,
GEOM110b.col,110,1256,122,16720,128787,OPTIMAL,77,1.72962,179.428,181.157,136.35156,0,1,1,509f41020245d12b4e03b0c6681826c72245d1f3,FALSE,aea172a16bc42de0504b35909d35fce000ded1613c496d28ea719a2d44ba7c51,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/GEOM110b.col 2L -t 3600 --use-symmetry-breaking,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-15T12:19:04.571175+07:00,CaDiCaL,0,2L,3600,FALSE,,TRUE,FALSE,
GEOM120.col,120,773,74,13920,72555,OPTIMAL,59,0.31909,1.67247,1.99156,83.14453,0,1,1,509f41020245d12b4e03b0c6681826c72245d1f3,FALSE,26357a9d4e2d8b08cdf055e2a882589f86c22c313fd9674a7f44b405c2aade4a,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/GEOM120.col 2L -t 3600 --use-symmetry-breaking,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-15T12:19:06.705444+07:00,CaDiCaL,0,2L,3600,FALSE,,TRUE,FALSE,
GEOM120a.col,120,1434,110,19440,154915,OPTIMAL,82,1.20522,111.5,112.705,144.87891,0,1,1,509f41020245d12b4e03b0c6681826c72245d1f3,FALSE,a920a2c75d8d4fde3a531cb30857d83f245364a0b88d5a18f86336b96bf07ab6,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/GEOM120a.col 2L -t 3600 --use-symmetry-breaking,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-15T12:20:59.647557+07:00,CaDiCaL,0,2L,3600,FALSE,,TRUE,FALSE,
GEOM120b.col,120,1491,124,19680,161503,OPTIMAL,83,1.91051,1871.22,1873.14,231.20703,0,1,1,509f41020245d12b4e03b0c6681826c72245d1f3,FALSE,745355ab3817a87504580de4d77629dce60b8f48ea8fb2c5da33224e8ef92e29,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/GEOM120b.col 2L -t 3600 --use-symmetry-breaking,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-15T12:52:13.122738+07:00,CaDiCaL,0,2L,3600,FALSE,,TRUE,FALSE,
GEOM20.col,20,20,25,800,1981,OPTIMAL,21,0.00340878,0.00127313,0.0046819,50.62891,0,1,1,509f41020245d12b4e03b0c6681826c72245d1f3,FALSE,08ed5ea76ef3bcb2228f4669162b3aa8c234de6a4dd75c3155a603919bc0167a,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/GEOM20.col 2L -t 3600 --use-symmetry-breaking,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-15T12:52:13.188479+07:00,CaDiCaL,0,2L,3600,FALSE,,TRUE,FALSE,
GEOM20a.col,20,37,25,760,2204,OPTIMAL,20,0.00425058,0.00194034,0.00619092,50.50391,0,1,1,509f41020245d12b4e03b0c6681826c72245d1f3,FALSE,5fe086947cbc99c9630087a727d0c9fe00065a9c4f6d6ebea7115ab4a8c161fb,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/GEOM20a.col 2L -t 3600 --use-symmetry-breaking,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-15T12:52:13.295448+07:00,CaDiCaL,0,2L,3600,FALSE,,TRUE,FALSE,
